Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2021/22

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Arboga;1984;Västmanlands län;19;Samtliga;Engelska;90,2;95,1;87,0;138;58;80;94,9;~100;~100;14,4;14,6;14,3;
Arboga;1984;Västmanlands län;19;Samtliga;Matematik;85,6;88,5;83,7;131;54;77;69,5;70,4;68,8;8,3;8,9;7,9;
Arboga;1984;Västmanlands län;19;Samtliga;Svenska;90,1;92,9;88,0;118;52;66;84,7;~100;..;11,5;13,9;9,5;
Arboga;1984;Västmanlands län;19;Samtliga;Svenska som andraspråk;77,3;..;82,4;17;..;..;..;..;..;5,0;..;4,5;
Arboga;1984;Västmanlands län;19;Kommunal;Engelska;90,2;95,1;87,0;138;58;80;94,9;~100;~100;14,4;14,6;14,3;
Arboga;1984;Västmanlands län;19;Kommunal;Matematik;85,6;88,5;83,7;131;54;77;69,5;70,4;68,8;8,3;8,9;7,9;
Arboga;1984;Västmanlands län;19;Kommunal;Svenska;90,1;92,9;88,0;118;52;66;84,7;~100;..;11,5;13,9;9,5;
Arboga;1984;Västmanlands län;19;Kommunal;Svenska som andraspråk;77,3;..;82,4;17;..;..;..;..;..;5,0;..;4,5;
Arjeplog;2506;Norrbottens län;25;Samtliga;Svenska;90,5;100,0;..;19;..;..;~100;100,0;..;12,5;14,5;..;
Arjeplog;2506;Norrbottens län;25;Samtliga;Engelska;95,5;100,0;90,9;21;11;10;100,0;100,0;100,0;15,4;16,6;14,0;
