Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2023/24
Valt uttag: 2024-02-22

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Ale;1440;Västra Götalands län;14;Samtliga;263,7;200,2;75,9;33,0;302;249;82,5;38;
Ale;1440;Västra Götalands län;14;Kommunal;244,9;183,3;74,8;30,4;283;231;81,6;35;
Ale;1440;Västra Götalands län;14;Enskild;18,8;16,9;89,8;2,6;21;20;95,2;3;
Alingsås;1489;Västra Götalands län;14;Samtliga;348,8;250,2;71,7;46,4;408;330;80,9;49;
Alingsås;1489;Västra Götalands län;14;Kommunal;292,9;213,9;73,0;35,9;343;285;83,1;38;
Alingsås;1489;Västra Götalands län;14;Enskild;55,9;36,3;64,9;10,5;65;45;69,2;11;
Alvesta;0764;Kronobergs län;07;Samtliga;188,7;123,7;65,6;28,4;220;172;78,2;30;
Alvesta;0764;Kronobergs län;07;Kommunal;184,4;120,7;65,4;27,9;211;167;79,1;29;
Alvesta;0764;Kronobergs län;07;Enskild;4,3;3,0;71,1;0,5;9;5;55,6;1;
Aneby;0604;Jönköpings län;06;Samtliga;64,6;41,0;63,5;8,3;75;56;74,7;9;
Aneby;0604;Jönköpings län;06;Kommunal;56,1;37,4;66,8;7,3;65;51;78,5;8;
Aneby;0604;Jönköpings län;06;Enskild;8,5;3,6;42,4;1,0;10;5;50,0;1;
Arboga;1984;Västmanlands län;19;Samtliga;103,7;68,0;65,5;15,3;126;92;73,0;16;
Arboga;1984;Västmanlands län;19;Kommunal;101,2;67,2;66,4;15,3;121;89;73,6;16;
Arboga;1984;Västmanlands län;19;Enskild;2,5;0,8;31,7;.;5;3;60,0;.;
Arjeplog;2506;Norrbottens län;25;Samtliga;25,2;12,6;49,9;2,0;29;19;65,5;2;
Arjeplog;2506;Norrbottens län;25;Kommunal;25,2;12,6;49,9;2,0;29;19;65,5;2;
