Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2023/24
Valt uttag: 2024-02-22

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;45,9;32,9;71,6;5,0;56;41;73,2;5;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;45,9;32,9;71,6;5,0;56;41;73,2;5;
Arvika;1784;Värmlands län;17;Samtliga;211,0;154,4;73,2;28,4;272;211;77,6;31;
Arvika;1784;Värmlands län;17;Kommunal;197,9;145,3;73,4;27,3;249;196;78,7;29;
Arvika;1784;Värmlands län;17;Enskild;13,0;9,0;69,2;1,2;23;15;65,2;2;
Askersund;1882;Örebro län;18;Samtliga;83,0;55,6;67,0;12,0;98;79;80,6;13;
Askersund;1882;Örebro län;18;Kommunal;83,0;55,6;67,0;12,0;98;79;80,6;13;
Avesta;2084;Dalarnas län;20;Samtliga;196,6;113,7;57,8;16,7;224;143;63,8;19;
Avesta;2084;Dalarnas län;20;Kommunal;189,4;108,4;57,2;16,7;215;137;63,7;19;
Avesta;2084;Dalarnas län;20;Enskild;7,3;5,3;73,4;.;9;6;66,7;.;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;83,0;54,3;65,5;12,5;90;66;73,3;13;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;83,0;54,3;65,5;12,5;90;66;73,3;13;
Berg;2326;Jämtlands län;23;Samtliga;66,9;38,5;57,5;8,6;91;58;63,7;10;
Berg;2326;Jämtlands län;23;Kommunal;63,6;36,0;56,6;8,0;86;55;64,0;9;
Berg;2326;Jämtlands län;23;Enskild;3,2;2,5;76,7;0,7;7;5;71,4;1;
Bjurholm;2403;Västerbottens län;24;Samtliga;22,5;13,9;61,9;2,0;25;17;68,0;2;
Bjurholm;2403;Västerbottens län;24;Kommunal;22,5;13,9;61,9;2,0;25;17;68,0;2;
Bjuv;1260;Skåne län;12;Samtliga;137,6;99,0;71,9;15,8;153;124;81,0;16;
Bjuv;1260;Skåne län;12;Kommunal;137,6;99,0;71,9;15,8;153;124;81,0;16;
Boden;2582;Norrbottens län;25;Samtliga;221,3;134,2;60,6;24,7;253;192;75,9;25;
Boden;2582;Norrbottens län;25;Kommunal;168,7;104,5;62,0;19,0;190;148;77,9;19;
Boden;2582;Norrbottens län;25;Enskild;52,6;29,7;56,4;5,7;64;44;68,8;6;
Bollebygd;1443;Västra Götalands län;14;Samtliga;84,5;65,5;77,5;10,9;110;90;81,8;13;
Bollebygd;1443;Västra Götalands län;14;Kommunal;75,9;58,7;77,3;10,0;97;79;81,4;11;
Bollebygd;1443;Västra Götalands län;14;Enskild;8,6;6,8;79,3;0,9;13;11;84,6;2;
Bollnäs;2183;Gävleborgs län;21;Samtliga;214,4;141,3;65,9;32,0;263;192;73,0;34;
Bollnäs;2183;Gävleborgs län;21;Kommunal;163,0;109,2;67,0;23,6;195;145;74,4;25;
Bollnäs;2183;Gävleborgs län;21;Enskild;51,4;32,0;62,4;8,5;68;47;69,1;9;
Borgholm;0885;Kalmar län;08;Samtliga;66,2;43,5;65,6;8,5;79;64;81,0;10;
Borgholm;0885;Kalmar län;08;Kommunal;66,2;43,5;65,6;8,5;79;64;81,0;10;
Borlänge;2081;Dalarnas län;20;Samtliga;449,9;281,4;62,6;71,5;502;368;73,3;77;
Borlänge;2081;Dalarnas län;20;Kommunal;414,8;263,4;63,5;65,5;455;337;74,1;71;
Borlänge;2081;Dalarnas län;20;Enskild;35,2;18,0;51,3;6,0;47;31;66,0;6;
Borås;1490;Västra Götalands län;14;Samtliga;941,7;632,3;67,1;121,8;1 065;817;76,7;128;
Borås;1490;Västra Götalands län;14;Kommunal;850,9;573,0;67,3;111,5;967;743;76,8;116;
Borås;1490;Västra Götalands län;14;Enskild;90,8;59,3;65,3;10,3;100;76;76,0;12;
Botkyrka;0127;Stockholms län;01;Samtliga;666,0;438,1;65,8;91,5;717;570;79,5;97;
Botkyrka;0127;Stockholms län;01;Kommunal;569,1;382,1;67,1;82,1;608;498;81,9;86;
Botkyrka;0127;Stockholms län;01;Enskild;96,9;56,0;57,8;9,5;111;73;65,8;11;
Boxholm;0560;Östergötlands län;05;Samtliga;44,4;34,8;78,6;4,8;52;44;84,6;6;
Boxholm;0560;Östergötlands län;05;Kommunal;44,4;34,8;78,6;4,8;52;44;84,6;6;
Bromölla;1272;Skåne län;12;Samtliga;111,5;80,7;72,4;11,7;122;103;84,4;13;
Bromölla;1272;Skåne län;12;Kommunal;111,5;80,7;72,4;11,7;122;103;84,4;13;
Bräcke;2305;Jämtlands län;23;Samtliga;56,6;37,7;66,7;4,9;73;54;74,0;6;
Bräcke;2305;Jämtlands län;23;Kommunal;56,6;37,7;66,7;4,9;73;54;74,0;6;
Burlöv;1231;Skåne län;12;Samtliga;127,0;81,4;64,1;17,1;140;111;79,3;19;
Burlöv;1231;Skåne län;12;Kommunal;127,0;81,4;64,1;17,1;140;111;79,3;19;
Båstad;1278;Skåne län;12;Samtliga;122,8;95,5;77,8;12,8;139;119;85,6;13;
Båstad;1278;Skåne län;12;Kommunal;114,3;87,5;76,6;11,8;127;108;85,0;12;
Båstad;1278;Skåne län;12;Enskild;8,5;8,0;94,0;1,0;16;14;87,5;1;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;41,9;35,3;84,4;2,0;46;41;89,1;2;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;41,9;35,3;84,4;2,0;46;41;89,1;2;
Danderyd;0162;Stockholms län;01;Samtliga;268,0;214,4;80,0;51,2;308;263;85,4;53;
Danderyd;0162;Stockholms län;01;Kommunal;209,6;169,0;80,6;44,6;234;200;85,5;46;
Danderyd;0162;Stockholms län;01;Enskild;58,4;45,4;77,7;6,6;75;64;85,3;7;
Degerfors;1862;Örebro län;18;Samtliga;75,0;57,3;76,4;7,0;82;69;84,1;7;
Degerfors;1862;Örebro län;18;Kommunal;75,0;57,3;76,4;7,0;82;69;84,1;7;
Dorotea;2425;Västerbottens län;24;Samtliga;23,4;16,2;69,0;.;26;22;84,6;.;
Dorotea;2425;Västerbottens län;24;Kommunal;23,4;16,2;69,0;.;26;22;84,6;.;
Eda;1730;Värmlands län;17;Samtliga;75,8;47,4;62,5;8,5;87;60;69,0;9;
Eda;1730;Värmlands län;17;Kommunal;75,8;47,4;62,5;8,5;87;60;69,0;9;
Ekerö;0125;Stockholms län;01;Samtliga;259,3;184,9;71,3;38,3;288;235;81,6;41;
Ekerö;0125;Stockholms län;01;Kommunal;237,7;170,0;71,5;35,1;263;217;82,5;37;
Ekerö;0125;Stockholms län;01;Enskild;21,7;14,9;68,9;3,3;27;19;70,4;4;
Eksjö;0686;Jönköpings län;06;Samtliga;175,9;113,5;64,5;18,3;220;152;69,1;19;
Eksjö;0686;Jönköpings län;06;Kommunal;168,0;110,1;65,5;18,3;210;145;69,0;19;
Eksjö;0686;Jönköpings län;06;Enskild;7,9;3,4;42,9;.;10;7;70,0;.;
Emmaboda;0862;Kalmar län;08;Samtliga;93,4;72,1;77,2;10,3;110;95;86,4;11;
Emmaboda;0862;Kalmar län;08;Kommunal;93,4;72,1;77,2;10,3;110;95;86,4;11;
Enköping;0381;Uppsala län;03;Samtliga;403,0;338,9;84,1;39,3;446;384;86,1;40;
Enköping;0381;Uppsala län;03;Kommunal;319,8;284,9;89,1;33,3;350;313;89,4;34;
Enköping;0381;Uppsala län;03;Enskild;83,2;54,0;64,9;6,0;97;72;74,2;6;
Eskilstuna;0484;Södermanlands län;04;Samtliga;733,1;479,5;65,4;88,5;793;601;75,8;95;
Eskilstuna;0484;Södermanlands län;04;Kommunal;683,4;451,6;66,1;83,9;725;557;76,8;89;
Eskilstuna;0484;Södermanlands län;04;Enskild;49,7;27,8;56,0;4,6;71;46;64,8;6;
Eslöv;1285;Skåne län;12;Samtliga;267,8;200,4;74,8;35,3;296;258;87,2;37;
Eslöv;1285;Skåne län;12;Kommunal;264,2;198,7;75,2;34,3;292;254;87,0;36;
Eslöv;1285;Skåne län;12;Enskild;3,6;1,7;47,2;1,0;6;4;66,7;1;
Essunga;1445;Västra Götalands län;14;Samtliga;49,2;39,0;79,3;6,8;57;50;87,7;7;
Essunga;1445;Västra Götalands län;14;Kommunal;49,2;39,0;79,3;6,8;57;50;87,7;7;
Fagersta;1982;Västmanlands län;19;Samtliga;150,5;85,9;57,1;21,0;164;111;67,7;22;
Fagersta;1982;Västmanlands län;19;Kommunal;127,5;71,2;55,8;19,0;138;93;67,4;20;
Fagersta;1982;Västmanlands län;19;Enskild;23,0;14,7;64,0;2,0;26;18;69,2;2;
Falkenberg;1382;Hallands län;13;Samtliga;397,1;294,4;74,1;39,6;468;393;84,0;43;
Falkenberg;1382;Hallands län;13;Kommunal;342,6;253,3;73,9;31,8;402;343;85,3;35;
Falkenberg;1382;Hallands län;13;Enskild;54,5;41,0;75,3;7,8;67;50;74,6;8;
Falköping;1499;Västra Götalands län;14;Samtliga;324,7;203,9;62,8;35,1;379;280;73,9;38;
Falköping;1499;Västra Götalands län;14;Kommunal;315,1;202,1;64,2;33,2;365;275;75,3;36;
Falköping;1499;Västra Götalands län;14;Enskild;9,7;1,8;18,2;1,9;15;6;40,0;2;
Falun;2080;Dalarnas län;20;Samtliga;475,9;323,1;67,9;53,0;536;419;78,2;54;
Falun;2080;Dalarnas län;20;Kommunal;419,4;282,7;67,4;49,0;468;360;76,9;50;
Falun;2080;Dalarnas län;20;Enskild;56,5;40,4;71,5;4,0;68;59;86,8;4;
Filipstad;1782;Värmlands län;17;Samtliga;87,1;55,8;64,0;7,9;102;73;71,6;8;
Filipstad;1782;Värmlands län;17;Kommunal;82,9;54,8;66,0;5,9;97;71;73,2;6;
Filipstad;1782;Värmlands län;17;Enskild;4,2;1,0;24,1;2,0;6;2;33,3;2;
Finspång;0562;Östergötlands län;05;Samtliga;164,1;97,2;59,2;12,3;207;141;68,1;14;
Finspång;0562;Östergötlands län;05;Kommunal;161,6;96,8;59,9;12,3;204;140;68,6;14;
Finspång;0562;Östergötlands län;05;Enskild;2,5;0,4;16,8;.;3;1;33,3;.;
Flen;0482;Södermanlands län;04;Samtliga;124,2;61,0;49,1;16,9;152;84;55,3;18;
Flen;0482;Södermanlands län;04;Kommunal;84,9;48,5;57,2;12,9;97;64;66,0;14;
Flen;0482;Södermanlands län;04;Enskild;39,3;12,5;31,7;4,0;55;20;36,4;4;
Forshaga;1763;Värmlands län;17;Samtliga;104,6;80,1;76,6;10,8;117;102;87,2;12;
Forshaga;1763;Värmlands län;17;Kommunal;104,6;80,1;76,6;10,8;117;102;87,2;12;
Färgelanda;1439;Västra Götalands län;14;Samtliga;59,1;38,8;65,6;8,0;72;56;77,8;9;
Färgelanda;1439;Västra Götalands län;14;Kommunal;50,9;34,4;67,6;6,0;59;46;78,0;7;
Färgelanda;1439;Västra Götalands län;14;Enskild;8,2;4,4;53,4;2,0;13;10;76,9;2;
Gagnef;2026;Dalarnas län;20;Samtliga;95,3;63,4;66,5;10,6;115;85;73,9;11;
Gagnef;2026;Dalarnas län;20;Kommunal;95,3;63,4;66,5;10,6;115;85;73,9;11;
Gislaved;0662;Jönköpings län;06;Samtliga;266,8;160,7;60,2;30,9;315;221;70,2;34;
Gislaved;0662;Jönköpings län;06;Kommunal;257,4;155,7;60,5;30,3;303;212;70,0;33;
Gislaved;0662;Jönköpings län;06;Enskild;9,4;5,0;53,2;0,7;12;9;75,0;1;
Gnesta;0461;Södermanlands län;04;Samtliga;82,5;63,3;76,7;15,5;94;74;78,7;17;
Gnesta;0461;Södermanlands län;04;Kommunal;82,5;63,3;76,7;15,5;94;74;78,7;17;
Gnosjö;0617;Jönköpings län;06;Samtliga;90,5;63,3;69,9;9,6;105;84;80,0;10;
Gnosjö;0617;Jönköpings län;06;Kommunal;90,5;63,3;69,9;9,6;105;84;80,0;10;
Gotland;0980;Gotlands län;09;Samtliga;494,0;321,1;65,0;50,7;555;403;72,6;55;
Gotland;0980;Gotlands län;09;Kommunal;441,5;291,6;66,1;48,8;486;359;73,9;53;
Gotland;0980;Gotlands län;09;Enskild;52,5;29,4;56,1;1,9;71;46;64,8;2;
Grums;1764;Värmlands län;17;Samtliga;76,1;56,2;73,8;9,4;89;69;77,5;10;
Grums;1764;Värmlands län;17;Kommunal;66,0;50,8;77,1;8,4;71;59;83,1;9;
Grums;1764;Värmlands län;17;Enskild;10,1;5,3;52,7;1,0;18;10;55,6;1;
Grästorp;1444;Västra Götalands län;14;Samtliga;45,2;32,7;72,3;6,0;54;42;77,8;6;
Grästorp;1444;Västra Götalands län;14;Kommunal;45,2;32,7;72,3;6,0;54;42;77,8;6;
Gullspång;1447;Västra Götalands län;14;Samtliga;43,6;31,9;73,2;4,3;53;46;86,8;5;
Gullspång;1447;Västra Götalands län;14;Kommunal;43,6;31,9;73,2;4,3;53;46;86,8;5;
Gällivare;2523;Norrbottens län;25;Samtliga;131,2;66,3;50,6;12,0;152;84;55,3;12;
Gällivare;2523;Norrbottens län;25;Kommunal;117,3;57,8;49,3;12,0;135;73;54,1;12;
Gällivare;2523;Norrbottens län;25;Statlig;3,6;2,9;81,3;.;5;5;100,0;.;
Gällivare;2523;Norrbottens län;25;Enskild;10,4;5,6;54,1;.;13;7;53,8;.;
Gävle;2180;Gävleborgs län;21;Samtliga;742,1;523,9;70,6;99,2;831;666;80,1;105;
Gävle;2180;Gävleborgs län;21;Kommunal;641,3;453,3;70,7;84,1;718;579;80,6;88;
Gävle;2180;Gävleborgs län;21;Enskild;100,9;70,6;70,0;15,1;113;87;77,0;17;
Göteborg;1480;Västra Götalands län;14;Samtliga;3 836,0;2 764,0;72,1;413,0;4 283;3 565;83,2;446;
Göteborg;1480;Västra Götalands län;14;Kommunal;3 010,7;2 195,0;72,9;317,8;3 315;2 807;84,7;342;
Göteborg;1480;Västra Götalands län;14;Enskild;825,3;569,0;68,9;95,2;973;763;78,4;104;
Götene;1471;Västra Götalands län;14;Samtliga;110,2;72,8;66,1;14,7;136;103;75,7;16;
Götene;1471;Västra Götalands län;14;Kommunal;110,2;72,8;66,1;14,7;136;103;75,7;16;
Habo;0643;Jönköpings län;06;Samtliga;149,2;130,3;87,3;15,4;177;165;93,2;16;
Habo;0643;Jönköpings län;06;Kommunal;149,2;130,3;87,3;15,4;177;165;93,2;16;
Hagfors;1783;Värmlands län;17;Samtliga;78,1;51,6;66,1;10,2;89;69;77,5;11;
Hagfors;1783;Värmlands län;17;Kommunal;78,1;51,6;66,1;10,2;89;69;77,5;11;
Hallsberg;1861;Örebro län;18;Samtliga;147,1;100,8;68,5;7,1;174;133;76,4;9;
Hallsberg;1861;Örebro län;18;Kommunal;147,1;100,8;68,5;7,1;174;133;76,4;9;
Hallstahammar;1961;Västmanlands län;19;Samtliga;141,0;93,5;66,3;17,3;156;121;77,6;18;
Hallstahammar;1961;Västmanlands län;19;Kommunal;141,0;93,5;66,3;17,3;156;121;77,6;18;
Halmstad;1380;Hallands län;13;Samtliga;823,1;615,0;74,7;85,2;885;770;87,0;88;
Halmstad;1380;Hallands län;13;Kommunal;772,7;580,7;75,2;75,6;828;725;87,6;78;
Halmstad;1380;Hallands län;13;Enskild;50,3;34,3;68,1;9,7;58;45;77,6;10;
Hammarö;1761;Värmlands län;17;Samtliga;184,6;144,7;78,4;18,9;198;181;91,4;20;
Hammarö;1761;Värmlands län;17;Kommunal;184,6;144,7;78,4;18,9;198;181;91,4;20;
Haninge;0136;Stockholms län;01;Samtliga;668,1;416,2;62,3;74,7;741;540;72,9;80;
Haninge;0136;Stockholms län;01;Kommunal;533,6;340,0;63,7;56,0;582;441;75,8;61;
Haninge;0136;Stockholms län;01;Enskild;134,5;76,2;56,6;18,7;159;99;62,3;19;
Haparanda;2583;Norrbottens län;25;Samtliga;79,0;49,6;62,8;10,5;94;67;71,3;11;
Haparanda;2583;Norrbottens län;25;Kommunal;74,4;47,2;63,5;9,5;90;63;70,0;10;
Haparanda;2583;Norrbottens län;25;Enskild;4,6;2,3;50,4;1,0;6;4;66,7;1;
Heby;0331;Uppsala län;03;Samtliga;108,5;70,5;65,0;11,8;133;97;72,9;14;
Heby;0331;Uppsala län;03;Kommunal;105,0;68,7;65,5;11,2;128;94;73,4;13;
Heby;0331;Uppsala län;03;Enskild;3,5;1,8;51,5;0,6;5;3;60,0;1;
Hedemora;2083;Dalarnas län;20;Samtliga;115,7;72,2;62,4;16,3;140;99;70,7;18;
Hedemora;2083;Dalarnas län;20;Kommunal;93,2;60,2;64,6;14,8;110;80;72,7;16;
Hedemora;2083;Dalarnas län;20;Enskild;22,6;12,1;53,4;1,5;30;19;63,3;2;
Helsingborg;1283;Skåne län;12;Samtliga;1 144,4;807,3;70,5;159,9;1 297;1 016;78,3;165;
Helsingborg;1283;Skåne län;12;Kommunal;890,5;640,7;71,9;122,4;996;802;80,5;127;
Helsingborg;1283;Skåne län;12;Enskild;253,9;166,6;65,6;37,5;306;217;70,9;38;
Herrljunga;1466;Västra Götalands län;14;Samtliga;84,1;57,0;67,7;11,6;110;77;70,0;13;
Herrljunga;1466;Västra Götalands län;14;Kommunal;84,1;57,0;67,7;11,6;110;77;70,0;13;
Hjo;1497;Västra Götalands län;14;Samtliga;75,5;52,5;69,6;6,6;98;72;73,5;9;
Hjo;1497;Västra Götalands län;14;Kommunal;75,5;52,5;69,6;6,6;98;72;73,5;9;
Hofors;2104;Gävleborgs län;21;Samtliga;81,5;47,1;57,8;5,5;89;58;65,2;6;
Hofors;2104;Gävleborgs län;21;Kommunal;81,5;47,1;57,8;5,5;89;58;65,2;6;
Huddinge;0126;Stockholms län;01;Samtliga;805,8;576,5;71,5;119,0;909;741;81,5;125;
Huddinge;0126;Stockholms län;01;Kommunal;725,9;522,1;71,9;108,3;816;664;81,4;113;
Huddinge;0126;Stockholms län;01;Enskild;79,9;54,4;68,0;10,7;93;77;82,8;12;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;328,5;217,7;66,3;35,8;368;275;74,7;37;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;299,7;204,6;68,3;35,8;331;257;77,6;37;
Hudiksvall;2184;Gävleborgs län;21;Enskild;28,8;13,2;45,7;.;37;18;48,6;.;
Hultsfred;0860;Kalmar län;08;Samtliga;105,8;62,2;58,8;19,2;136;94;69,1;21;
Hultsfred;0860;Kalmar län;08;Kommunal;85,0;49,8;58,5;15,5;112;76;67,9;17;
Hultsfred;0860;Kalmar län;08;Enskild;20,8;12,4;59,9;3,7;24;18;75,0;4;
Hylte;1315;Hallands län;13;Samtliga;91,9;49,7;54,1;8,2;115;78;67,8;9;
Hylte;1315;Hallands län;13;Kommunal;84,3;47,3;56,0;8,2;100;71;71,0;9;
Hylte;1315;Hallands län;13;Enskild;7,6;2,4;32,1;.;15;7;46,7;.;
Hällefors;1863;Örebro län;18;Samtliga;66,4;37,8;56,9;5,5;77;47;61,0;6;
Hällefors;1863;Örebro län;18;Kommunal;66,4;37,8;56,9;5,5;77;47;61,0;6;
Härjedalen;2361;Jämtlands län;23;Samtliga;84,1;56,9;67,6;8,1;93;72;77,4;10;
Härjedalen;2361;Jämtlands län;23;Kommunal;84,1;56,9;67,6;8,1;93;72;77,4;10;
Härnösand;2280;Västernorrlands län;22;Samtliga;196,5;148,6;75,6;31,9;220;186;84,5;33;
Härnösand;2280;Västernorrlands län;22;Kommunal;179,0;137,0;76,5;28,9;202;171;84,7;30;
Härnösand;2280;Västernorrlands län;22;Enskild;17,5;11,6;66,1;3,0;19;15;78,9;3;
Härryda;1401;Västra Götalands län;14;Samtliga;396,9;311,0;78,3;36,0;459;398;86,7;38;
Härryda;1401;Västra Götalands län;14;Kommunal;359,9;282,8;78,6;30,1;419;366;87,4;32;
Härryda;1401;Västra Götalands län;14;Enskild;37,1;28,2;76,1;5,9;41;33;80,5;6;
Hässleholm;1293;Skåne län;12;Samtliga;459,8;335,6;73,0;58,1;513;419;81,7;60;
Hässleholm;1293;Skåne län;12;Kommunal;431,0;317,1;73,6;54,1;479;394;82,3;56;
Hässleholm;1293;Skåne län;12;Enskild;28,8;18,4;64,0;4,0;34;25;73,5;4;
Håbo;0305;Uppsala län;03;Samtliga;196,0;132,1;67,4;22,9;221;172;77,8;26;
Håbo;0305;Uppsala län;03;Kommunal;170,5;114,5;67,2;18,9;190;146;76,8;21;
Håbo;0305;Uppsala län;03;Enskild;25,5;17,6;69,2;4,0;31;26;83,9;5;
Höganäs;1284;Skåne län;12;Samtliga;219,3;170,6;77,8;14,1;254;217;85,4;14;
Höganäs;1284;Skåne län;12;Kommunal;201,4;163,4;81,1;12,0;229;205;89,5;12;
Höganäs;1284;Skåne län;12;Enskild;17,8;7,2;40,4;2,1;26;13;50,0;2;
Högsby;0821;Kalmar län;08;Samtliga;45,2;24,5;54,3;1,0;55;34;61,8;1;
Högsby;0821;Kalmar län;08;Kommunal;45,2;24,5;54,3;1,0;55;34;61,8;1;
Hörby;1266;Skåne län;12;Samtliga;131,1;93,9;71,6;12,3;158;123;77,8;14;
Hörby;1266;Skåne län;12;Kommunal;115,1;83,1;72,2;12,3;140;109;77,9;14;
Hörby;1266;Skåne län;12;Enskild;16,0;10,8;67,1;.;18;14;77,8;.;
Höör;1267;Skåne län;12;Samtliga;126,8;83,1;65,5;15,0;151;114;75,5;16;
Höör;1267;Skåne län;12;Kommunal;108,5;72,7;67,0;14,8;126;99;78,6;15;
Höör;1267;Skåne län;12;Enskild;18,3;10,4;56,7;0,2;25;15;60,0;1;
Jokkmokk;2510;Norrbottens län;25;Samtliga;37,3;21,1;56,6;4,6;49;28;57,1;5;
Jokkmokk;2510;Norrbottens län;25;Kommunal;26,6;17,5;66,0;3,7;30;22;73,3;4;
Jokkmokk;2510;Norrbottens län;25;Enskild;4,2;0,4;10,3;.;8;1;12,5;.;
Jokkmokk;2510;Norrbottens län;25;Statlig;6,5;3,1;48,1;0,9;12;6;50,0;1;
Järfälla;0123;Stockholms län;01;Samtliga;529,4;368,1;69,5;57,1;570;466;81,8;59;
Järfälla;0123;Stockholms län;01;Kommunal;492,2;351,3;71,4;51,1;526;438;83,3;53;
Järfälla;0123;Stockholms län;01;Enskild;37,2;16,8;45,1;6,0;44;28;63,6;6;
Jönköping;0680;Jönköpings län;06;Samtliga;1 138,5;888,7;78,1;103,0;1 327;1 129;85,1;110;
Jönköping;0680;Jönköpings län;06;Kommunal;1 053,8;836,0;79,3;98,6;1 223;1 060;86,7;105;
Jönköping;0680;Jönköpings län;06;Enskild;84,7;52,7;62,2;4,4;106;71;67,0;5;
Kalix;2514;Norrbottens län;25;Samtliga;123,9;88,4;71,3;15,3;148;115;77,7;16;
Kalix;2514;Norrbottens län;25;Kommunal;109,5;79,2;72,3;12,3;129;103;79,8;13;
Kalix;2514;Norrbottens län;25;Enskild;14,5;9,2;63,7;3,0;19;12;63,2;3;
Kalmar;0880;Kalmar län;08;Samtliga;578,8;499,3;86,3;53,4;651;593;91,1;61;
Kalmar;0880;Kalmar län;08;Kommunal;518,3;460,2;88,8;48,1;580;540;93,1;55;
Kalmar;0880;Kalmar län;08;Enskild;60,5;39,1;64,6;5,3;71;53;74,6;6;
Karlsborg;1446;Västra Götalands län;14;Samtliga;52,3;42,5;81,3;7,0;59;52;88,1;7;
Karlsborg;1446;Västra Götalands län;14;Kommunal;44,6;37,2;83,4;6,0;51;44;86,3;6;
Karlsborg;1446;Västra Götalands län;14;Enskild;7,7;5,3;68,9;1,0;8;8;100,0;1;
Karlshamn;1082;Blekinge län;10;Samtliga;235,5;177,1;75,2;24,8;279;227;81,4;28;
Karlshamn;1082;Blekinge län;10;Kommunal;212,2;162,7;76,7;21,0;250;208;83,2;24;
Karlshamn;1082;Blekinge län;10;Enskild;23,3;14,4;61,9;3,8;29;19;65,5;4;
Karlskoga;1883;Örebro län;18;Samtliga;249,3;173,9;69,7;29,9;276;215;77,9;32;
Karlskoga;1883;Örebro län;18;Kommunal;243,3;169,4;69,6;28,9;267;207;77,5;31;
Karlskoga;1883;Örebro län;18;Enskild;6,0;4,4;73,3;1,0;9;8;88,9;1;
Karlskrona;1080;Blekinge län;10;Samtliga;518,0;371,1;71,7;73,5;580;476;82,1;77;
Karlskrona;1080;Blekinge län;10;Kommunal;397,8;282,1;70,9;55,3;444;363;81,8;57;
Karlskrona;1080;Blekinge län;10;Enskild;120,2;89,0;74,1;18,2;139;113;81,3;20;
Karlstad;1780;Värmlands län;17;Samtliga;618,9;490,6;79,3;78,8;703;625;88,9;85;
Karlstad;1780;Värmlands län;17;Kommunal;593,3;474,4;80,0;73,8;665;600;90,2;80;
Karlstad;1780;Värmlands län;17;Enskild;25,6;16,3;63,6;5,0;43;28;65,1;5;
Katrineholm;0483;Södermanlands län;04;Samtliga;286,2;175,1;61,2;43,9;330;237;71,8;45;
Katrineholm;0483;Södermanlands län;04;Kommunal;261,7;157,8;60,3;39,9;304;217;71,4;41;
Katrineholm;0483;Södermanlands län;04;Enskild;24,5;17,3;70,9;4,0;27;21;77,8;4;
