Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2024/25
Valt uttag: 2025-02-12

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Boxholm;0560;Östergötlands län;05;Kommunal;45,4;35,8;78,9;0,0;56;47;83,9;7;
Bromölla;1272;Skåne län;12;Samtliga;102,7;76,6;74,6;0,0;114;96;84,2;11;
Bromölla;1272;Skåne län;12;Kommunal;102,7;76,6;74,6;0,0;114;96;84,2;11;
Bräcke;2305;Jämtlands län;23;Samtliga;58,8;37,5;63,8;0,0;75;54;72,0;7;
Bräcke;2305;Jämtlands län;23;Kommunal;58,8;37,5;63,8;0,0;75;54;72,0;7;
Burlöv;1231;Skåne län;12;Samtliga;125,1;77,2;61,7;0,0;140;108;77,1;21;
Burlöv;1231;Skåne län;12;Kommunal;125,1;77,2;61,7;0,0;140;108;77,1;21;
Båstad;1278;Skåne län;12;Samtliga;122,5;96,3;78,6;0,0;136;119;87,5;12;
Båstad;1278;Skåne län;12;Kommunal;114,4;88,8;77,6;0,0;126;110;87,3;11;
Båstad;1278;Skåne län;12;Enskild;8,1;7,6;93,2;0,0;14;12;85,7;1;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;42,7;35,2;82,6;0,0;46;41;89,1;5;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;42,7;35,2;82,6;0,0;46;41;89,1;5;
Danderyd;0162;Stockholms län;01;Samtliga;266,4;222,8;83,6;0,0;322;281;87,3;48;
Danderyd;0162;Stockholms län;01;Kommunal;204,4;173,7;85,0;0,0;234;211;90,2;38;
Danderyd;0162;Stockholms län;01;Enskild;62,0;49,1;79,3;0,0;91;73;80,2;10;
Degerfors;1862;Örebro län;18;Samtliga;70,6;51,0;72,3;0,0;79;65;82,3;9;
Degerfors;1862;Örebro län;18;Kommunal;70,6;51,0;72,3;0,0;79;65;82,3;9;
Dorotea;2425;Västerbottens län;24;Samtliga;25,1;15,8;63,1;.;26;20;76,9;.;
Dorotea;2425;Västerbottens län;24;Kommunal;25,1;15,8;63,1;.;26;20;76,9;.;
Eda;1730;Värmlands län;17;Samtliga;67,1;47,7;71,1;0,0;79;61;77,2;9;
Eda;1730;Värmlands län;17;Kommunal;67,1;47,7;71,1;0,0;79;61;77,2;9;
Ekerö;0125;Stockholms län;01;Samtliga;251,7;181,9;72,3;0,0;280;228;81,4;44;
Ekerö;0125;Stockholms län;01;Kommunal;230,5;169,1;73,4;0,0;254;211;83,1;40;
Ekerö;0125;Stockholms län;01;Enskild;21,2;12,8;60,3;0,0;27;18;66,7;4;
Eksjö;0686;Jönköpings län;06;Samtliga;176,9;114,2;64,5;0,0;213;152;71,4;23;
Eksjö;0686;Jönköpings län;06;Kommunal;165,6;110,8;66,9;0,0;198;145;73,2;23;
Eksjö;0686;Jönköpings län;06;Enskild;11,3;3,3;29,6;.;15;7;46,7;.;
Emmaboda;0862;Kalmar län;08;Samtliga;93,5;70,0;74,9;0,0;111;95;85,6;12;
Emmaboda;0862;Kalmar län;08;Kommunal;93,5;70,0;74,9;0,0;111;95;85,6;12;
Enköping;0381;Uppsala län;03;Samtliga;412,9;335,7;81,3;0,0;457;388;84,9;44;
Enköping;0381;Uppsala län;03;Kommunal;334,7;290,1;86,7;0,0;363;325;89,5;39;
Enköping;0381;Uppsala län;03;Enskild;78,1;45,6;58,4;0,0;97;66;68,0;5;
Eskilstuna;0484;Södermanlands län;04;Samtliga;732,2;486,6;66,4;0,0;785;595;75,8;111;
Eskilstuna;0484;Södermanlands län;04;Kommunal;690,8;464,4;67,2;0,0;734;566;77,1;107;
Eskilstuna;0484;Södermanlands län;04;Enskild;41,4;22,1;53,4;0,0;53;30;56,6;4;
Eslöv;1285;Skåne län;12;Samtliga;280,4;218,6;78,0;0,0;308;273;88,6;37;
Eslöv;1285;Skåne län;12;Kommunal;276,8;216,9;78,4;0,0;304;269;88,5;36;
Eslöv;1285;Skåne län;12;Enskild;3,6;1,7;47,2;0,0;6;4;66,7;1;
Essunga;1445;Västra Götalands län;14;Samtliga;51,9;37,1;71,5;0,0;62;50;80,6;7;
Essunga;1445;Västra Götalands län;14;Kommunal;51,9;37,1;71,5;0,0;62;50;80,6;7;
Fagersta;1982;Västmanlands län;19;Samtliga;139,0;81,8;58,9;0,0;150;105;70,0;21;
Fagersta;1982;Västmanlands län;19;Kommunal;122,4;72,9;59,6;0,0;133;94;70,7;19;
Fagersta;1982;Västmanlands län;19;Enskild;16,7;8,9;53,7;0,0;17;11;64,7;2;
Falkenberg;1382;Hallands län;13;Samtliga;385,0;281,1;73,0;0,0;465;383;82,4;36;
Falkenberg;1382;Hallands län;13;Kommunal;332,5;239,0;71,9;0,0;402;333;82,8;28;
Falkenberg;1382;Hallands län;13;Enskild;52,5;42,0;80,1;0,0;63;50;79,4;8;
Falköping;1499;Västra Götalands län;14;Samtliga;298,1;199,8;67,0;0,0;357;275;77,0;38;
Falköping;1499;Västra Götalands län;14;Kommunal;294,3;197,8;67,2;0,0;349;270;77,4;38;
Falköping;1499;Västra Götalands län;14;Enskild;3,8;2,0;52,8;.;8;5;62,5;.;
Falun;2080;Dalarnas län;20;Samtliga;472,2;329,2;69,7;0,0;531;423;79,7;56;
Falun;2080;Dalarnas län;20;Kommunal;423,3;292,6;69,1;0,0;472;373;79,0;53;
Falun;2080;Dalarnas län;20;Enskild;48,9;36,6;74,9;0,0;59;50;84,7;3;
Filipstad;1782;Värmlands län;17;Samtliga;89,0;56,5;63,5;0,0;106;77;72,6;7;
Filipstad;1782;Värmlands län;17;Kommunal;85,4;54,6;63,9;0,0;100;74;74,0;5;
Filipstad;1782;Värmlands län;17;Enskild;3,6;1,9;52,8;0,0;7;3;42,9;2;
Finspång;0562;Östergötlands län;05;Samtliga;165,1;109,7;66,5;0,0;204;151;74,0;17;
Finspång;0562;Östergötlands län;05;Kommunal;162,5;109,0;67,1;0,0;200;149;74,5;16;
Finspång;0562;Östergötlands län;05;Enskild;..;..;..;..;..;..;..;..;
Flen;0482;Södermanlands län;04;Samtliga;117,4;60,0;51,1;0,0;140;85;60,7;18;
Flen;0482;Södermanlands län;04;Kommunal;74,7;43,2;57,9;0,0;84;60;71,4;13;
Flen;0482;Södermanlands län;04;Enskild;42,7;16,8;39,4;0,0;56;25;44,6;5;
Forshaga;1763;Värmlands län;17;Samtliga;102,4;78,1;76,2;0,0;116;98;84,5;11;
Forshaga;1763;Värmlands län;17;Kommunal;102,4;78,1;76,2;0,0;116;98;84,5;11;
Färgelanda;1439;Västra Götalands län;14;Samtliga;61,2;40,7;66,5;0,0;70;57;81,4;8;
Färgelanda;1439;Västra Götalands län;14;Kommunal;52,6;35,5;67,5;0,0;56;46;82,1;6;
Färgelanda;1439;Västra Götalands län;14;Enskild;8,6;5,2;60,4;0,0;14;11;78,6;2;
Gagnef;2026;Dalarnas län;20;Samtliga;95,5;64,7;67,7;0,0;116;88;75,9;10;
Gagnef;2026;Dalarnas län;20;Kommunal;95,5;64,7;67,7;0,0;116;88;75,9;10;
Gislaved;0662;Jönköpings län;06;Samtliga;267,6;170,1;63,6;0,0;315;239;75,9;31;
Gislaved;0662;Jönköpings län;06;Kommunal;258,1;166,6;64,5;0,0;301;231;76,7;30;
Gislaved;0662;Jönköpings län;06;Enskild;9,6;3,6;37,4;0,0;14;8;57,1;1;
Gnesta;0461;Södermanlands län;04;Samtliga;79,5;59,1;74,3;0,0;88;72;81,8;14;
Gnesta;0461;Södermanlands län;04;Kommunal;79,5;59,1;74,3;0,0;88;72;81,8;14;
Gnosjö;0617;Jönköpings län;06;Samtliga;88,6;59,4;67,1;0,0;103;80;77,7;10;
Gnosjö;0617;Jönköpings län;06;Kommunal;88,6;59,4;67,1;0,0;103;80;77,7;10;
Gotland;0980;Gotlands län;09;Samtliga;507,2;343,3;67,7;0,0;567;429;75,7;61;
Gotland;0980;Gotlands län;09;Kommunal;449,7;310,7;69,1;0,0;492;385;78,3;53;
Gotland;0980;Gotlands län;09;Enskild;57,4;32,7;56,9;0,0;77;45;58,4;8;
Grums;1764;Värmlands län;17;Samtliga;84,0;65,8;78,3;0,0;92;77;83,7;11;
Grums;1764;Värmlands län;17;Kommunal;74,1;58,6;79,1;0,0;76;65;85,5;10;
Grums;1764;Värmlands län;17;Enskild;10,0;7,2;72,4;0,0;16;12;75,0;1;
Grästorp;1444;Västra Götalands län;14;Samtliga;45,5;33,0;72,6;0,0;56;46;82,1;8;
Grästorp;1444;Västra Götalands län;14;Kommunal;45,5;33,0;72,6;0,0;56;46;82,1;8;
Gullspång;1447;Västra Götalands län;14;Samtliga;44,4;34,5;77,8;0,0;51;43;84,3;10;
Gullspång;1447;Västra Götalands län;14;Kommunal;44,4;34,5;77,8;0,0;51;43;84,3;10;
Gällivare;2523;Norrbottens län;25;Samtliga;131,8;63,2;47,9;0,0;153;81;52,9;14;
Gällivare;2523;Norrbottens län;25;Kommunal;117,1;54,1;46,2;0,0;135;70;51,9;14;
Gällivare;2523;Norrbottens län;25;Statlig;4,3;3,3;77,1;.;6;5;83,3;.;
Gällivare;2523;Norrbottens län;25;Enskild;10,3;5,8;55,9;.;13;7;53,8;.;
Gävle;2180;Gävleborgs län;21;Samtliga;755,7;542,2;71,7;0,0;850;693;81,5;107;
Gävle;2180;Gävleborgs län;21;Kommunal;652,9;467,7;71,6;0,0;730;602;82,5;92;
Gävle;2180;Gävleborgs län;21;Enskild;102,8;74,5;72,5;0,0;120;91;75,8;15;
Göteborg;1480;Västra Götalands län;14;Samtliga;3 919,8;2 872,7;73,3;0,0;4 381;3 715;84,8;454;
Göteborg;1480;Västra Götalands län;14;Kommunal;3 079,5;2 276,9;73,9;0,0;3 406;2 926;85,9;344;
Göteborg;1480;Västra Götalands län;14;Enskild;840,3;595,8;70,9;0,0;978;792;81,0;110;
Götene;1471;Västra Götalands län;14;Samtliga;110,3;75,9;68,8;0,0;134;107;79,9;17;
Götene;1471;Västra Götalands län;14;Kommunal;110,3;75,9;68,8;0,0;134;107;79,9;17;
Habo;0643;Jönköpings län;06;Samtliga;150,9;129,0;85,4;0,0;176;160;90,9;19;
Habo;0643;Jönköpings län;06;Kommunal;150,9;129,0;85,4;0,0;176;160;90,9;19;
Hagfors;1783;Värmlands län;17;Samtliga;77,2;47,8;62,0;0,0;85;64;75,3;9;
Hagfors;1783;Värmlands län;17;Kommunal;77,2;47,8;62,0;0,0;85;64;75,3;9;
Hallsberg;1861;Örebro län;18;Samtliga;140,2;98,3;70,1;0,0;173;134;77,5;9;
Hallsberg;1861;Örebro län;18;Kommunal;140,2;98,3;70,1;0,0;173;134;77,5;9;
Hallstahammar;1961;Västmanlands län;19;Samtliga;134,7;89,2;66,3;0,0;147;115;78,2;22;
Hallstahammar;1961;Västmanlands län;19;Kommunal;134,7;89,2;66,3;0,0;147;115;78,2;22;
Halmstad;1380;Hallands län;13;Samtliga;813,7;602,1;74,0;0,0;891;769;86,3;95;
Halmstad;1380;Hallands län;13;Kommunal;760,4;564,0;74,2;0,0;830;719;86,6;85;
Halmstad;1380;Hallands län;13;Enskild;53,4;38,1;71,4;0,0;61;50;82,0;10;
Hammarö;1761;Värmlands län;17;Samtliga;196,1;160,5;81,8;0,0;206;190;92,2;15;
Hammarö;1761;Värmlands län;17;Kommunal;196,1;160,5;81,8;0,0;206;190;92,2;15;
Haninge;0136;Stockholms län;01;Samtliga;660,1;428,7;64,9;0,0;733;565;77,1;94;
Haninge;0136;Stockholms län;01;Kommunal;513,6;346,6;67,5;0,0;562;447;79,5;73;
Haninge;0136;Stockholms län;01;Enskild;146,5;82,1;56,0;0,0;172;118;68,6;21;
Haparanda;2583;Norrbottens län;25;Samtliga;86,1;53,1;61,6;0,0;107;75;70,1;12;
Haparanda;2583;Norrbottens län;25;Kommunal;81,0;50,2;62,0;0,0;99;71;71,7;11;
Haparanda;2583;Norrbottens län;25;Enskild;5,1;2,8;55,0;0,0;8;4;50,0;1;
Heby;0331;Uppsala län;03;Samtliga;107,8;74,7;69,3;0,0;133;100;75,2;13;
Heby;0331;Uppsala län;03;Kommunal;104,5;73,0;69,9;0,0;126;97;77,0;13;
Heby;0331;Uppsala län;03;Enskild;3,3;1,6;49,9;.;7;3;42,9;.;
Hedemora;2083;Dalarnas län;20;Samtliga;114,5;77,7;67,9;0,0;133;103;77,4;19;
Hedemora;2083;Dalarnas län;20;Kommunal;98,0;68,1;69,5;0,0;111;88;79,3;18;
Hedemora;2083;Dalarnas län;20;Enskild;16,5;9,6;58,3;0,0;22;15;68,2;1;
Helsingborg;1283;Skåne län;12;Samtliga;1 123,6;816,5;72,7;0,0;1 269;1 017;80,1;164;
Helsingborg;1283;Skåne län;12;Kommunal;853,7;633,5;74,2;0,0;955;782;81,9;124;
Helsingborg;1283;Skåne län;12;Enskild;270,0;183,0;67,8;0,0;317;237;74,8;40;
Herrljunga;1466;Västra Götalands län;14;Samtliga;85,2;57,8;67,8;0,0;114;82;71,9;12;
Herrljunga;1466;Västra Götalands län;14;Kommunal;85,2;57,8;67,8;0,0;114;82;71,9;12;
Hjo;1497;Västra Götalands län;14;Samtliga;82,7;59,4;71,9;0,0;103;80;77,7;8;
Hjo;1497;Västra Götalands län;14;Kommunal;82,7;59,4;71,9;0,0;103;80;77,7;8;
Hofors;2104;Gävleborgs län;21;Samtliga;79,6;48,0;60,3;0,0;91;61;67,0;7;
Hofors;2104;Gävleborgs län;21;Kommunal;79,6;48,0;60,3;0,0;91;61;67,0;7;
Huddinge;0126;Stockholms län;01;Samtliga;814,3;591,8;72,7;0,0;908;762;83,9;130;
Huddinge;0126;Stockholms län;01;Kommunal;739,4;536,3;72,5;0,0;823;688;83,6;117;
Huddinge;0126;Stockholms län;01;Enskild;74,9;55,5;74,1;0,0;85;74;87,1;13;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;306,1;212,8;69,5;0,0;353;278;78,8;40;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;278,3;199,4;71,7;0,0;316;259;82,0;40;
Hudiksvall;2184;Gävleborgs län;21;Enskild;27,8;13,4;48,0;.;38;20;52,6;.;
Hultsfred;0860;Kalmar län;08;Samtliga;102,4;58,3;56,9;0,0;138;92;66,7;18;
Hultsfred;0860;Kalmar län;08;Kommunal;81,0;45,6;56,3;0,0;110;73;66,4;15;
Hultsfred;0860;Kalmar län;08;Enskild;21,4;12,7;59,1;0,0;28;19;67,9;3;
Hylte;1315;Hallands län;13;Samtliga;97,7;51,3;52,5;0,0;121;81;66,9;5;
Hylte;1315;Hallands län;13;Kommunal;90,4;49,6;54,8;0,0;106;74;69,8;5;
Hylte;1315;Hallands län;13;Enskild;7,3;1,8;24,1;.;15;7;46,7;.;
Hällefors;1863;Örebro län;18;Samtliga;61,8;36,2;58,6;0,0;69;44;63,8;5;
Hällefors;1863;Örebro län;18;Kommunal;61,8;36,2;58,6;0,0;69;44;63,8;5;
Härjedalen;2361;Jämtlands län;23;Samtliga;81,1;53,1;65,5;0,0;99;70;70,7;8;
Härjedalen;2361;Jämtlands län;23;Kommunal;81,1;53,1;65,5;0,0;99;70;70,7;8;
Härnösand;2280;Västernorrlands län;22;Samtliga;195,4;145,3;74,4;0,0;229;191;83,4;33;
Härnösand;2280;Västernorrlands län;22;Kommunal;178,7;134,6;75,3;0,0;210;176;83,8;30;
Härnösand;2280;Västernorrlands län;22;Enskild;16,8;10,7;64,1;0,0;20;15;75,0;3;
Härryda;1401;Västra Götalands län;14;Samtliga;397,3;307,5;77,4;0,0;466;405;86,9;42;
Härryda;1401;Västra Götalands län;14;Kommunal;362,3;280,6;77,5;0,0;428;373;87,1;36;
Härryda;1401;Västra Götalands län;14;Enskild;35,0;26,9;76,8;0,0;38;32;84,2;6;
Hässleholm;1293;Skåne län;12;Samtliga;473,9;356,7;75,3;0,0;540;456;84,4;59;
Hässleholm;1293;Skåne län;12;Kommunal;446,3;334,2;74,9;0,0;509;429;84,3;55;
Hässleholm;1293;Skåne län;12;Enskild;27,6;22,5;81,6;0,0;33;27;81,8;4;
Håbo;0305;Uppsala län;03;Samtliga;193,1;135,0;69,9;0,0;210;171;81,4;25;
Håbo;0305;Uppsala län;03;Kommunal;168,0;117,1;69,7;0,0;180;146;81,1;20;
Håbo;0305;Uppsala län;03;Enskild;25,2;17,9;71,2;0,0;30;25;83,3;5;
Höganäs;1284;Skåne län;12;Samtliga;210,7;165,3;78,5;0,0;241;208;86,3;29;
Höganäs;1284;Skåne län;12;Kommunal;192,0;157,7;82,1;0,0;215;194;90,2;26;
Höganäs;1284;Skåne län;12;Enskild;18,8;7,6;40,8;0,0;27;15;55,6;3;
Högsby;0821;Kalmar län;08;Samtliga;46,9;26,2;56,0;0,0;50;35;70,0;1;
Högsby;0821;Kalmar län;08;Kommunal;46,9;26,2;56,0;0,0;50;35;70,0;1;
Hörby;1266;Skåne län;12;Samtliga;114,5;88,9;77,6;0,0;142;116;81,7;8;
Hörby;1266;Skåne län;12;Kommunal;98,8;77,8;78,7;0,0;123;102;82,9;8;
Hörby;1266;Skåne län;12;Enskild;15,7;11,1;71,0;.;19;14;73,7;.;
Höör;1267;Skåne län;12;Samtliga;120,5;86,0;71,4;0,0;143;117;81,8;16;
Höör;1267;Skåne län;12;Kommunal;104,6;75,7;72,3;0,0;123;104;84,6;16;
Höör;1267;Skåne län;12;Enskild;15,9;10,4;65,4;.;20;13;65,0;.;
Jokkmokk;2510;Norrbottens län;25;Samtliga;40,5;23,5;58,0;0,0;49;30;61,2;4;
Jokkmokk;2510;Norrbottens län;25;Kommunal;27,0;18,0;66,8;0,0;31;22;71,0;4;
Jokkmokk;2510;Norrbottens län;25;Enskild;3,1;0,2;5,6;.;5;1;20,0;.;
Jokkmokk;2510;Norrbottens län;25;Statlig;10,4;5,3;50,4;.;14;8;57,1;.;
Järfälla;0123;Stockholms län;01;Samtliga;516,2;371,3;71,9;0,0;557;479;86,0;56;
Järfälla;0123;Stockholms län;01;Kommunal;476,3;349,7;73,4;0,0;509;445;87,4;50;
Järfälla;0123;Stockholms län;01;Enskild;39,8;21,6;54,2;0,0;48;34;70,8;6;
Jönköping;0680;Jönköpings län;06;Samtliga;1 140,6;900,0;78,9;0,0;1 336;1 170;87,6;127;
Jönköping;0680;Jönköpings län;06;Kommunal;1 052,4;847,6;80,5;0,0;1 232;1 097;89,0;118;
Jönköping;0680;Jönköpings län;06;Enskild;88,2;52,4;59,4;0,0;104;73;70,2;9;
Kalix;2514;Norrbottens län;25;Samtliga;116,4;87,8;75,4;0,0;133;109;82,0;15;
Kalix;2514;Norrbottens län;25;Kommunal;104,8;78,7;75,1;0,0;119;97;81,5;11;
Kalix;2514;Norrbottens län;25;Enskild;11,6;9,1;78,5;0,0;14;12;85,7;4;
Kalmar;0880;Kalmar län;08;Samtliga;583,3;509,7;87,4;0,0;663;606;91,4;61;
Kalmar;0880;Kalmar län;08;Kommunal;529,9;473,5;89,3;0,0;599;557;93,0;56;
Kalmar;0880;Kalmar län;08;Enskild;53,4;36,3;67,9;0,0;64;49;76,6;5;
Karlsborg;1446;Västra Götalands län;14;Samtliga;50,8;42,1;82,9;0,0;55;52;94,5;8;
Karlsborg;1446;Västra Götalands län;14;Kommunal;44,1;37,5;85,0;0,0;48;45;93,8;7;
Karlsborg;1446;Västra Götalands län;14;Enskild;6,8;4,7;69,5;0,0;7;7;100,0;1;
Karlshamn;1082;Blekinge län;10;Samtliga;239,6;181,0;75,5;0,0;284;231;81,3;27;
Karlshamn;1082;Blekinge län;10;Kommunal;213,2;166,1;77,9;0,0;253;212;83,8;24;
Karlshamn;1082;Blekinge län;10;Enskild;26,4;14,9;56,3;0,0;33;20;60,6;3;
Karlskoga;1883;Örebro län;18;Samtliga;255,8;185,4;72,5;0,0;281;226;80,4;33;
Karlskoga;1883;Örebro län;18;Kommunal;249,4;181,0;72,6;0,0;272;220;80,9;32;
Karlskoga;1883;Örebro län;18;Enskild;6,4;4,4;68,6;0,0;9;6;66,7;1;
Karlskrona;1080;Blekinge län;10;Samtliga;507,3;368,0;72,5;0,0;588;486;82,7;75;
Karlskrona;1080;Blekinge län;10;Kommunal;388,6;279,2;71,8;0,0;449;374;83,3;55;
Karlskrona;1080;Blekinge län;10;Enskild;118,6;88,8;74,8;0,0;140;112;80,0;20;
Karlstad;1780;Värmlands län;17;Samtliga;582,3;455,8;78,3;0,0;677;590;87,1;79;
Karlstad;1780;Värmlands län;17;Kommunal;559,8;443,8;79,3;0,0;644;569;88,4;77;
Karlstad;1780;Värmlands län;17;Enskild;22,6;12,0;53,3;0,0;36;23;63,9;2;
Katrineholm;0483;Södermanlands län;04;Samtliga;277,5;183,6;66,2;0,0;326;252;77,3;48;
Katrineholm;0483;Södermanlands län;04;Kommunal;252,2;165,7;65,7;0,0;300;231;77,0;44;
Katrineholm;0483;Södermanlands län;04;Enskild;25,3;17,9;70,7;0,0;27;22;81,5;4;
