Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2024/25
Valt uttag: 2025-02-12

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Ale;1440;Västra Götalands län;14;Samtliga;280,0;214,2;76,5;0,0;313;268;85,6;38;
Ale;1440;Västra Götalands län;14;Kommunal;259,8;195,3;75,2;0,0;292;247;84,6;36;
Ale;1440;Västra Götalands län;14;Enskild;20,3;18,8;92,8;0,0;21;21;100,0;2;
Alingsås;1489;Västra Götalands län;14;Samtliga;339,0;247,6;73,0;0,0;395;336;85,1;51;
Alingsås;1489;Västra Götalands län;14;Kommunal;281,5;210,5;74,8;0,0;327;286;87,5;40;
Alingsås;1489;Västra Götalands län;14;Enskild;57,4;37,1;64,6;0,0;68;50;73,5;11;
Alvesta;0764;Kronobergs län;07;Samtliga;172,4;112,7;65,4;0,0;201;149;74,1;29;
Alvesta;0764;Kronobergs län;07;Kommunal;168,7;110,3;65,4;0,0;192;145;75,5;28;
Alvesta;0764;Kronobergs län;07;Enskild;3,6;2,4;65,3;0,0;9;4;44,4;1;
Aneby;0604;Jönköpings län;06;Samtliga;67,7;46,6;68,9;0,0;80;62;77,5;9;
Aneby;0604;Jönköpings län;06;Kommunal;59,2;44,0;74,3;0,0;70;58;82,9;8;
Aneby;0604;Jönköpings län;06;Enskild;8,5;2,6;30,6;0,0;10;4;40,0;1;
Arboga;1984;Västmanlands län;19;Samtliga;103,3;72,9;70,6;0,0;118;95;80,5;13;
Arboga;1984;Västmanlands län;19;Kommunal;101,2;72,3;71,5;0,0;115;93;80,9;13;
Arboga;1984;Västmanlands län;19;Enskild;..;..;..;..;..;..;..;..;
Arjeplog;2506;Norrbottens län;25;Samtliga;24,7;12,6;50,7;0,0;27;19;70,4;2;
Arjeplog;2506;Norrbottens län;25;Kommunal;24,7;12,6;50,7;0,0;27;19;70,4;2;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;47,3;30,9;65,4;0,0;60;40;66,7;5;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;47,3;30,9;65,4;0,0;60;40;66,7;5;
Arvika;1784;Värmlands län;17;Samtliga;205,6;155,5;75,7;0,0;258;209;81,0;29;
Arvika;1784;Värmlands län;17;Kommunal;192,2;148,0;77,0;0,0;235;196;83,4;27;
Arvika;1784;Värmlands län;17;Enskild;13,4;7,6;56,3;0,0;23;13;56,5;2;
Askersund;1882;Örebro län;18;Samtliga;78,5;56,7;72,2;0,0;94;79;84,0;12;
Askersund;1882;Örebro län;18;Kommunal;78,5;56,7;72,2;0,0;94;79;84,0;12;
Avesta;2084;Dalarnas län;20;Samtliga;202,4;125,2;61,9;0,0;230;153;66,5;18;
Avesta;2084;Dalarnas län;20;Kommunal;195,1;119,8;61,4;0,0;221;147;66,5;18;
Avesta;2084;Dalarnas län;20;Enskild;7,3;5,4;74,8;.;9;6;66,7;.;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;79,2;55,3;69,8;0,0;93;69;74,2;13;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;79,2;55,3;69,8;0,0;93;69;74,2;13;
Berg;2326;Jämtlands län;23;Samtliga;67,2;40,0;59,4;0,0;88;59;67,0;9;
Berg;2326;Jämtlands län;23;Kommunal;63,7;37,5;58,8;0,0;84;56;66,7;8;
Berg;2326;Jämtlands län;23;Enskild;3,5;2,5;70,1;0,0;6;5;83,3;1;
Bjurholm;2403;Västerbottens län;24;Samtliga;23,4;15,3;65,1;0,0;26;20;76,9;2;
Bjurholm;2403;Västerbottens län;24;Kommunal;23,4;15,3;65,1;0,0;26;20;76,9;2;
Bjuv;1260;Skåne län;12;Samtliga;134,3;92,6;68,9;0,0;152;122;80,3;17;
Bjuv;1260;Skåne län;12;Kommunal;134,3;92,6;68,9;0,0;152;122;80,3;17;
Boden;2582;Norrbottens län;25;Samtliga;215,8;137,0;63,5;0,0;251;183;72,9;30;
Boden;2582;Norrbottens län;25;Kommunal;161,2;105,3;65,3;0,0;187;139;74,3;23;
Boden;2582;Norrbottens län;25;Enskild;54,6;31,7;58,0;0,0;65;45;69,2;7;
Bollebygd;1443;Västra Götalands län;14;Samtliga;85,7;65,1;76,0;0,0;111;87;78,4;13;
Bollebygd;1443;Västra Götalands län;14;Kommunal;76,9;58,6;76,2;0,0;98;76;77,6;11;
Bollebygd;1443;Västra Götalands län;14;Enskild;8,8;6,5;74,0;0,0;13;11;84,6;2;
Bollnäs;2183;Gävleborgs län;21;Samtliga;217,3;144,2;66,3;0,0;269;204;75,8;31;
Bollnäs;2183;Gävleborgs län;21;Kommunal;161,6;111,1;68,7;0,0;196;155;79,1;23;
Bollnäs;2183;Gävleborgs län;21;Enskild;55,7;33,1;59,4;0,0;75;50;66,7;8;
Borgholm;0885;Kalmar län;08;Samtliga;63,2;45,8;72,5;0,0;75;65;86,7;8;
Borgholm;0885;Kalmar län;08;Kommunal;63,2;45,8;72,5;0,0;75;65;86,7;8;
Borlänge;2081;Dalarnas län;20;Samtliga;440,8;274,9;62,3;0,0;485;360;74,2;73;
Borlänge;2081;Dalarnas län;20;Kommunal;403,9;255,8;63,3;0,0;439;331;75,4;67;
Borlänge;2081;Dalarnas län;20;Enskild;37,0;19,0;51,5;0,0;46;29;63,0;6;
Borås;1490;Västra Götalands län;14;Samtliga;913,4;627,9;68,7;0,0;1 046;802;76,7;131;
Borås;1490;Västra Götalands län;14;Kommunal;820,5;564,8;68,8;0,0;943;722;76,6;119;
Borås;1490;Västra Götalands län;14;Enskild;92,9;63,0;67,8;0,0;104;81;77,9;12;
Botkyrka;0127;Stockholms län;01;Samtliga;670,9;456,5;68,0;0,0;737;591;80,2;86;
Botkyrka;0127;Stockholms län;01;Kommunal;572,7;398,5;69,6;0,0;624;512;82,1;76;
Botkyrka;0127;Stockholms län;01;Enskild;98,2;58,0;59,0;0,0;115;80;69,6;10;
Boxholm;0560;Östergötlands län;05;Samtliga;45,4;35,8;78,9;0,0;56;47;83,9;7;
