Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2021/22

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Elever, årskurs 1-9;
Ale;1440;Västra Götalands län;14;Samtliga;49;23;62;457;462;434;461;481;445;409;387;425;3 961;
Ale;1440;Västra Götalands län;14;Kommunal;49;24;62;435;440;412;412;457;422;363;364;402;3 707;
Ale;1440;Västra Götalands län;14;Enskild;50;4;67;22;22;22;49;24;23;46;23;23;254;
Alingsås;1489;Västra Götalands län;14;Samtliga;48;15;67;544;498;531;519;570;541;558;536;570;4 867;
Alingsås;1489;Västra Götalands län;14;Kommunal;48;16;65;464;421;452;431;487;446;448;425;454;4 028;
Alingsås;1489;Västra Götalands län;14;Enskild;51;12;75;80;77;79;88;83;95;110;111;116;839;
Alvesta;0764;Kronobergs län;07;Samtliga;48;33;49;256;249;241;249;250;251;263;268;251;2 278;
Alvesta;0764;Kronobergs län;07;Kommunal;48;34;49;248;247;228;244;241;239;263;268;251;2 229;
Alvesta;0764;Kronobergs län;07;Enskild;55;20;47;8;2;13;5;9;12;.;.;.;49;
Aneby;0604;Jönköpings län;06;Samtliga;50;22;52;77;91;87;82;79;76;82;83;75;732;
Aneby;0604;Jönköpings län;06;Kommunal;49;21;53;74;90;84;80;76;75;80;80;75;714;
Aneby;0604;Jönköpings län;06;Enskild;72;61;..;3;1;3;2;3;1;2;3;.;18;
Arboga;1984;Västmanlands län;19;Samtliga;45;23;52;146;162;152;152;156;135;145;142;153;1 343;
Arboga;1984;Västmanlands län;19;Kommunal;45;..;52;138;159;145;145;153;134;145;142;153;1 314;
Arboga;1984;Västmanlands län;19;Enskild;28;..;45;8;3;7;7;3;1;.;.;.;29;
Arjeplog;2506;Norrbottens län;25;Samtliga;50;7;50;22;25;28;32;25;24;17;24;23;220;
Arjeplog;2506;Norrbottens län;25;Kommunal;50;7;50;22;25;28;32;25;24;17;24;23;220;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;46;10;43;72;64;59;72;67;50;59;76;49;568;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;46;10;43;72;64;59;72;67;50;59;76;49;568;
Arvika;1784;Värmlands län;17;Samtliga;49;18;53;279;326;297;275;271;278;288;270;305;2 589;
Arvika;1784;Värmlands län;17;Kommunal;48;18;51;279;326;297;275;271;278;246;218;233;2 423;
Arvika;1784;Värmlands län;17;Enskild;67;15;73;.;.;.;.;.;.;42;52;72;166;
Askersund;1882;Örebro län;18;Samtliga;48;11;41;110;115;122;113;119;119;104;113;112;1 027;
Askersund;1882;Örebro län;18;Kommunal;48;11;41;110;115;122;113;119;119;104;113;112;1 027;
Avesta;2084;Dalarnas län;20;Samtliga;51;30;45;248;248;284;262;272;218;251;265;252;2 300;
Avesta;2084;Dalarnas län;20;Kommunal;51;..;44;228;228;263;243;252;204;251;265;252;2 186;
Avesta;2084;Dalarnas län;20;Enskild;43;..;54;20;20;21;19;20;14;.;.;.;114;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;46;29;44;82;87;93;94;90;92;119;84;98;839;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;46;29;44;82;87;93;94;90;92;119;84;98;839;
Berg;2326;Jämtlands län;23;Samtliga;46;18;47;68;62;64;59;72;63;68;79;92;627;
Berg;2326;Jämtlands län;23;Kommunal;46;18;47;68;62;64;59;72;63;68;79;92;627;
Bjurholm;2403;Västerbottens län;24;Samtliga;44;12;54;17;21;29;32;28;25;19;29;24;224;
Bjurholm;2403;Västerbottens län;24;Kommunal;44;12;54;17;21;29;32;28;25;19;29;24;224;
Bjuv;1260;Skåne län;12;Samtliga;49;39;39;193;208;189;208;183;211;187;170;173;1 722;
Bjuv;1260;Skåne län;12;Kommunal;49;39;39;193;208;189;208;183;211;187;170;173;1 722;
Boden;2582;Norrbottens län;25;Samtliga;47;18;58;276;280;301;311;291;316;285;309;306;2 675;
Boden;2582;Norrbottens län;25;Kommunal;47;20;57;215;236;239;247;225;250;212;216;214;2 054;
Boden;2582;Norrbottens län;25;Enskild;48;11;63;61;44;62;64;66;66;73;93;92;621;
Bollebygd;1443;Västra Götalands län;14;Samtliga;50;11;59;126;140;122;135;129;134;116;129;121;1 152;
Bollebygd;1443;Västra Götalands län;14;Kommunal;50;..;56;104;118;102;113;108;112;116;129;121;1 023;
Bollebygd;1443;Västra Götalands län;14;Enskild;50;..;78;22;22;20;22;21;22;.;.;.;129;
Bollnäs;2183;Gävleborgs län;21;Samtliga;49;22;51;280;283;320;294;330;311;278;286;301;2 683;
Bollnäs;2183;Gävleborgs län;21;Kommunal;48;26;48;241;244;265;252;292;263;152;139;161;2 009;
Bollnäs;2183;Gävleborgs län;21;Enskild;49;8;59;39;39;55;42;38;48;126;147;140;674;
Borgholm;0885;Kalmar län;08;Samtliga;50;18;47;81;72;86;81;92;69;81;92;81;735;
Borgholm;0885;Kalmar län;08;Kommunal;50;18;47;81;72;86;81;92;69;81;92;81;735;
Borlänge;2081;Dalarnas län;20;Samtliga;49;32;48;659;600;618;645;629;615;656;667;630;5 719;
Borlänge;2081;Dalarnas län;20;Kommunal;49;32;48;644;587;606;605;572;550;554;548;525;5 191;
Borlänge;2081;Dalarnas län;20;Enskild;52;27;55;15;13;12;40;57;65;102;119;105;528;
Borås;1490;Västra Götalands län;14;Samtliga;49;34;56;1 435;1 394;1 438;1 383;1 440;1 364;1 390;1 385;1 362;12 591;
Borås;1490;Västra Götalands län;14;Kommunal;48;33;54;1 331;1 299;1 326;1 148;1 211;1 120;1 085;1 109;1 108;10 737;
Borås;1490;Västra Götalands län;14;Enskild;51;35;69;104;95;112;235;229;244;305;276;254;1 854;
Botkyrka;0127;Stockholms län;01;Samtliga;48;52;53;1 220;1 210;1 235;1 142;1 185;1 138;1 132;1 031;1 069;10 362;
Botkyrka;0127;Stockholms län;01;Kommunal;48;52;52;1 043;1 046;1 076;987;999;948;907;836;921;8 763;
Botkyrka;0127;Stockholms län;01;Enskild;53;49;54;177;164;159;155;186;190;225;195;148;1 599;
Boxholm;0560;Östergötlands län;05;Samtliga;50;15;48;71;62;61;59;61;56;54;48;50;522;
Boxholm;0560;Östergötlands län;05;Kommunal;50;15;48;71;62;61;59;61;56;54;48;50;522;
Bromölla;1272;Skåne län;12;Samtliga;48;27;48;150;143;144;157;168;174;126;141;161;1 364;
Bromölla;1272;Skåne län;12;Kommunal;48;27;48;150;143;144;157;168;174;126;141;161;1 364;
Bräcke;2305;Jämtlands län;23;Samtliga;50;19;44;68;53;65;56;62;61;60;63;66;554;
Bräcke;2305;Jämtlands län;23;Kommunal;50;19;44;68;53;65;56;62;61;60;63;66;554;
Burlöv;1231;Skåne län;12;Samtliga;49;51;53;278;227;216;220;220;185;158;159;176;1 839;
Burlöv;1231;Skåne län;12;Kommunal;49;51;53;278;227;216;220;220;185;158;159;176;1 839;
Båstad;1278;Skåne län;12;Samtliga;50;21;60;148;163;144;160;159;175;167;171;171;1 458;
Båstad;1278;Skåne län;12;Kommunal;51;22;59;124;141;131;142;141;159;167;171;171;1 347;
Båstad;1278;Skåne län;12;Enskild;43;14;76;24;22;13;18;18;16;.;.;.;111;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;48;15;48;41;66;54;49;59;54;48;47;55;473;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;48;15;48;41;66;54;49;59;54;48;47;55;473;
Danderyd;0162;Stockholms län;01;Samtliga;47;19;86;481;497;466;501;568;518;597;598;582;4 808;
Danderyd;0162;Stockholms län;01;Kommunal;47;14;88;363;349;336;389;453;422;354;362;371;3 399;
Danderyd;0162;Stockholms län;01;Enskild;50;14;88;76;85;83;44;49;36;192;192;188;945;
Danderyd;0162;Stockholms län;01;Internationella skolor;46;71;64;42;63;47;68;66;60;51;44;23;464;
Degerfors;1862;Örebro län;18;Samtliga;51;26;42;88;108;88;112;97;79;105;99;89;865;
Degerfors;1862;Örebro län;18;Kommunal;51;26;42;88;108;88;112;97;79;105;99;89;865;
Dorotea;2425;Västerbottens län;24;Samtliga;45;16;40;27;21;28;29;30;35;27;19;27;243;
Dorotea;2425;Västerbottens län;24;Kommunal;45;16;40;27;21;28;29;30;35;27;19;27;243;
Eda;1730;Värmlands län;17;Samtliga;47;28;38;108;92;106;88;91;93;68;74;70;790;
Eda;1730;Värmlands län;17;Kommunal;47;28;38;108;92;106;88;91;93;68;74;70;790;
Ekerö;0125;Stockholms län;01;Samtliga;47;12;72;428;437;470;427;431;445;421;434;386;3 879;
Ekerö;0125;Stockholms län;01;Kommunal;47;13;70;374;387;418;375;384;390;389;387;336;3 440;
Ekerö;0125;Stockholms län;01;Enskild;47;7;82;54;50;52;52;47;55;32;47;50;439;
Eksjö;0686;Jönköpings län;06;Samtliga;51;27;59;213;219;203;205;188;228;204;196;210;1 866;
Eksjö;0686;Jönköpings län;06;Kommunal;..;27;59;213;219;203;205;187;223;202;191;207;1 850;
Eksjö;0686;Jönköpings län;06;Enskild;..;31;..;.;.;.;.;1;5;2;5;3;16;
Emmaboda;0862;Kalmar län;08;Samtliga;49;31;43;85;135;103;94;83;111;113;105;106;935;
Emmaboda;0862;Kalmar län;08;Kommunal;49;31;43;85;135;103;94;83;111;113;105;106;935;
Enköping;0381;Uppsala län;03;Samtliga;49;26;53;583;565;651;561;555;588;598;542;583;5 226;
Enköping;0381;Uppsala län;03;Kommunal;48;29;49;543;524;608;444;414;440;405;344;415;4 137;
Enköping;0381;Uppsala län;03;Enskild;54;13;68;40;41;43;117;141;148;193;198;168;1 089;
Eskilstuna;0484;Södermanlands län;04;Samtliga;49;38;54;1 364;1 372;1 340;1 361;1 355;1 387;1 387;1 371;1 410;12 347;
Eskilstuna;0484;Södermanlands län;04;Kommunal;48;34;53;1 147;1 208;1 121;1 093;1 131;1 069;1 069;1 042;1 089;9 969;
Eskilstuna;0484;Södermanlands län;04;Enskild;52;55;58;217;164;219;268;224;318;318;329;321;2 378;
Eslöv;1285;Skåne län;12;Samtliga;48;29;56;403;468;414;425;434;439;382;407;401;3 773;
Eslöv;1285;Skåne län;12;Kommunal;48;..;55;392;457;403;414;423;430;382;407;401;3 709;
Eslöv;1285;Skåne län;12;Enskild;38;..;84;11;11;11;11;11;9;.;.;.;64;
Essunga;1445;Västra Götalands län;14;Samtliga;52;12;40;85;70;57;89;79;72;72;73;45;642;
Essunga;1445;Västra Götalands län;14;Kommunal;52;12;40;85;70;57;89;79;72;72;73;45;642;
Fagersta;1982;Västmanlands län;19;Samtliga;49;39;43;162;177;192;152;167;168;159;161;174;1 512;
Fagersta;1982;Västmanlands län;19;Kommunal;50;41;40;132;157;173;130;146;146;138;142;143;1 307;
Fagersta;1982;Västmanlands län;19;Enskild;45;29;63;30;20;19;22;21;22;21;19;31;205;
Falkenberg;1382;Hallands län;13;Samtliga;49;25;52;567;538;511;582;575;548;558;504;538;4 921;
Falkenberg;1382;Hallands län;13;Kommunal;50;28;49;488;439;455;495;501;470;458;407;443;4 156;
Falkenberg;1382;Hallands län;13;Enskild;45;11;70;79;99;56;87;74;78;100;97;95;765;
Falköping;1499;Västra Götalands län;14;Samtliga;48;28;49;424;410;434;393;409;404;379;424;423;3 700;
Falköping;1499;Västra Götalands län;14;Kommunal;48;27;50;404;398;418;376;391;395;364;402;405;3 553;
Falköping;1499;Västra Götalands län;14;Enskild;53;33;41;20;12;16;17;18;9;15;22;18;147;
Falun;2080;Dalarnas län;20;Samtliga;49;17;65;748;686;756;759;742;762;739;714;693;6 599;
Falun;2080;Dalarnas län;20;Kommunal;49;16;63;672;609;679;589;580;584;539;497;504;5 253;
Falun;2080;Dalarnas län;20;Enskild;52;19;76;76;77;77;170;162;178;200;217;189;1 346;
Filipstad;1782;Värmlands län;17;Samtliga;49;29;32;108;105;105;113;106;115;108;108;125;993;
Filipstad;1782;Värmlands län;17;Kommunal;50;..;32;100;96;98;103;100;104;108;108;125;942;
Filipstad;1782;Värmlands län;17;Enskild;39;..;35;8;9;7;10;6;11;.;.;.;51;
Finspång;0562;Östergötlands län;05;Samtliga;48;22;50;248;229;258;272;227;228;202;191;216;2 071;
Finspång;0562;Östergötlands län;05;Kommunal;48;22;50;243;225;255;268;223;223;202;191;216;2 046;
Finspång;0562;Östergötlands län;05;Enskild;52;.;56;5;4;3;4;4;5;.;.;.;25;
Flen;0482;Södermanlands län;04;Samtliga;45;45;36;195;185;190;203;179;196;158;179;168;1 653;
Flen;0482;Södermanlands län;04;Kommunal;46;52;33;160;156;162;156;122;130;100;108;100;1 194;
Flen;0482;Södermanlands län;04;Enskild;42;29;45;35;29;28;47;57;66;58;71;68;459;
Forshaga;1763;Värmlands län;17;Samtliga;48;11;58;158;131;147;134;119;156;127;139;133;1 244;
Forshaga;1763;Värmlands län;17;Kommunal;48;11;58;158;131;147;134;119;156;127;139;133;1 244;
Färgelanda;1439;Västra Götalands län;14;Samtliga;48;17;42;76;75;72;76;70;78;72;70;68;657;
Färgelanda;1439;Västra Götalands län;14;Kommunal;47;18;41;66;57;70;54;59;62;72;70;68;578;
Färgelanda;1439;Västra Götalands län;14;Enskild;56;13;52;10;18;2;22;11;16;.;.;.;79;
Gagnef;2026;Dalarnas län;20;Samtliga;48;8;52;134;116;146;132;139;123;151;130;113;1 184;
Gagnef;2026;Dalarnas län;20;Kommunal;48;8;52;134;116;146;132;139;123;151;130;113;1 184;
Gislaved;0662;Jönköpings län;06;Samtliga;50;35;42;369;378;359;374;364;372;389;404;387;3 396;
Gislaved;0662;Jönköpings län;06;Kommunal;49;36;42;358;366;347;364;352;361;379;393;377;3 297;
Gislaved;0662;Jönköpings län;06;Enskild;61;24;57;11;12;12;10;12;11;10;11;10;99;
Gnesta;0461;Södermanlands län;04;Samtliga;46;14;58;153;139;154;142;165;136;138;143;123;1 293;
Gnesta;0461;Södermanlands län;04;Kommunal;46;14;56;119;119;128;124;138;119;127;122;112;1 108;
Gnesta;0461;Södermanlands län;04;Enskild;49;14;71;34;20;26;18;27;17;11;21;11;185;
Gnosjö;0617;Jönköpings län;06;Samtliga;48;40;41;123;101;106;119;105;112;98;141;110;1 015;
Gnosjö;0617;Jönköpings län;06;Kommunal;48;40;41;123;101;106;119;105;112;98;141;110;1 015;
Gotland;0980;Gotlands län;09;Samtliga;49;10;58;665;638;665;660;696;691;657;608;630;5 910;
Gotland;0980;Gotlands län;09;Kommunal;48;10;56;563;536;585;548;585;573;558;503;526;4 977;
Gotland;0980;Gotlands län;09;Enskild;53;8;70;102;102;80;112;111;118;99;105;104;933;
Grums;1764;Värmlands län;17;Samtliga;50;12;36;96;108;91;87;79;97;79;96;78;811;
Grums;1764;Värmlands län;17;Kommunal;50;12;35;86;83;79;73;65;88;79;96;78;727;
