Statistik från Skolverket, https://www.skolverket.se

Grundskola - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2024/25

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel (%) elever behöriga till yrkesprog.;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;
Arvika;1784;Värmlands län;17;Samtliga;Flickor;138;84,8;83,3;81,9;79,7;
Arvika;1784;Värmlands län;17;Samtliga;Pojkar;158;84,2;83,5;82,3;78,5;
Arvika;1784;Värmlands län;17;Samtliga;Samtliga;296;84,5;83,4;82,1;79,1;
Arvika;1784;Värmlands län;17;Kommunal;Flickor;106;84,0;82,1;81,1;77,4;
Arvika;1784;Värmlands län;17;Kommunal;Pojkar;140;83,6;82,9;81,4;77,9;
Arvika;1784;Värmlands län;17;Kommunal;Samtliga;246;83,7;82,5;81,3;77,6;
Arvika;1784;Värmlands län;17;Enskild;Flickor;32;~100;~100;..;~100;
Arvika;1784;Värmlands län;17;Enskild;Pojkar;18;~100;~100;~100;~100;
Arvika;1784;Värmlands län;17;Enskild;Samtliga;50;88,0;88,0;86,0;86,0;
Askersund;1882;Örebro län;18;Samtliga;Flickor;52;78,8;76,9;71,2;69,2;
Askersund;1882;Örebro län;18;Samtliga;Pojkar;59;83,1;83,1;81,4;78,0;
Askersund;1882;Örebro län;18;Samtliga;Samtliga;111;81,1;80,2;76,6;73,9;
Askersund;1882;Örebro län;18;Kommunal;Flickor;52;78,8;76,9;71,2;69,2;
Askersund;1882;Örebro län;18;Kommunal;Pojkar;59;83,1;83,1;81,4;78,0;
Askersund;1882;Örebro län;18;Kommunal;Samtliga;111;81,1;80,2;76,6;73,9;
Avesta;2084;Dalarnas län;20;Samtliga;Flickor;106;81,1;79,2;76,4;70,8;
Avesta;2084;Dalarnas län;20;Samtliga;Pojkar;112;73,2;72,3;67,0;69,6;
Avesta;2084;Dalarnas län;20;Samtliga;Samtliga;218;77,1;75,7;71,6;70,2;
Avesta;2084;Dalarnas län;20;Kommunal;Flickor;106;81,1;79,2;76,4;70,8;
Avesta;2084;Dalarnas län;20;Kommunal;Pojkar;112;73,2;72,3;67,0;69,6;
Avesta;2084;Dalarnas län;20;Kommunal;Samtliga;218;77,1;75,7;71,6;70,2;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Flickor;41;73,2;73,2;73,2;73,2;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Pojkar;54;81,5;74,1;74,1;70,4;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Samtliga;95;77,9;73,7;73,7;71,6;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Flickor;41;73,2;73,2;73,2;73,2;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Pojkar;54;81,5;74,1;74,1;70,4;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Samtliga;95;77,9;73,7;73,7;71,6;
Berg;2326;Jämtlands län;23;Samtliga;Flickor;36;77,8;75,0;69,4;72,2;
Berg;2326;Jämtlands län;23;Samtliga;Pojkar;32;75,0;75,0;65,6;68,8;
Berg;2326;Jämtlands län;23;Samtliga;Samtliga;68;76,5;75,0;67,6;70,6;
Berg;2326;Jämtlands län;23;Kommunal;Flickor;36;77,8;75,0;69,4;72,2;
Berg;2326;Jämtlands län;23;Kommunal;Pojkar;32;75,0;75,0;65,6;68,8;
Berg;2326;Jämtlands län;23;Kommunal;Samtliga;68;76,5;75,0;67,6;70,6;
Bjurholm;2403;Västerbottens län;24;Samtliga;Flickor;14;~100;~100;~100;~100;
Bjurholm;2403;Västerbottens län;24;Samtliga;Pojkar;13;100,0;100,0;~100;100,0;
Bjurholm;2403;Västerbottens län;24;Samtliga;Samtliga;27;~100;~100;81,5;~100;
Bjurholm;2403;Västerbottens län;24;Kommunal;Flickor;14;~100;~100;~100;~100;
Bjurholm;2403;Västerbottens län;24;Kommunal;Pojkar;13;100,0;100,0;~100;100,0;
