Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2022/23

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Elever, årskurs 1-9;
Båstad;1278;Skåne län;12;Enskild;43,3;14,4;79,8;16;23;21;11;16;17;.;.;.;104;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;47,8;12,8;51,1;55;36;65;54;47;61;53;45;46;462;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;47,8;12,8;51,1;55;36;65;54;47;61;53;45;46;462;
Danderyd;0162;Stockholms län;01;Samtliga;46,7;20,1;86,1;466;479;484;453;484;547;576;588;589;4 666;
Danderyd;0162;Stockholms län;01;Kommunal;46,0;14,8;88,3;321;374;347;365;392;451;347;350;354;3 301;
Danderyd;0162;Stockholms län;01;Enskild;50,2;14,5;89,1;97;69;88;42;35;47;190;191;191;950;
Danderyd;0162;Stockholms län;01;Internationella skolor;44,1;74,7;61,4;48;36;49;46;57;49;39;47;44;415;
Degerfors;1862;Örebro län;18;Samtliga;51,4;25,3;42,1;89;86;107;91;109;99;84;110;104;879;
Degerfors;1862;Örebro län;18;Kommunal;51,4;25,3;42,1;89;86;107;91;109;99;84;110;104;879;
Dorotea;2425;Västerbottens län;24;Samtliga;47,4;15,5;39,7;16;27;21;29;30;29;34;28;18;232;
Dorotea;2425;Västerbottens län;24;Kommunal;47,4;15,5;39,7;16;27;21;29;30;29;34;28;18;232;
Eda;1730;Värmlands län;17;Samtliga;46,8;28,2;36,0;98;109;89;105;88;88;75;68;67;787;
Eda;1730;Värmlands län;17;Kommunal;46,8;28,2;36,0;98;109;89;105;88;88;75;68;67;787;
Ekerö;0125;Stockholms län;01;Samtliga;47,2;12,9;72,7;452;435;440;432;425;430;424;420;438;3 896;
Ekerö;0125;Stockholms län;01;Kommunal;47,0;13,4;71,7;402;379;391;379;376;386;391;389;392;3 485;
Ekerö;0125;Stockholms län;01;Enskild;49,4;8,3;81,5;50;56;49;53;49;44;33;31;46;411;
Eksjö;0686;Jönköpings län;06;Samtliga;50,5;28,9;58,5;210;216;229;206;209;195;231;217;199;1 912;
Eksjö;0686;Jönköpings län;06;Kommunal;50,8;28,8;58,9;210;216;229;206;207;194;226;213;191;1 892;
Eksjö;0686;Jönköpings län;06;Enskild;25,0;40,0;25,0;.;.;.;.;2;1;5;4;8;20;
Emmaboda;0862;Kalmar län;08;Samtliga;48,9;30,4;41,6;116;82;134;106;102;83;104;112;102;941;
Emmaboda;0862;Kalmar län;08;Kommunal;48,9;30,4;41,6;116;82;134;106;102;83;104;112;102;941;
Enköping;0381;Uppsala län;03;Samtliga;48,8;27,4;52,8;580;599;592;666;592;576;607;592;554;5 358;
Enköping;0381;Uppsala län;03;Kommunal;47,7;30,2;49,8;538;557;556;532;457;429;404;415;357;4 245;
Enköping;0381;Uppsala län;03;Enskild;53,1;17,1;64,2;42;42;36;134;135;147;203;177;197;1 113;
Eskilstuna;0484;Södermanlands län;04;Samtliga;49,2;38,5;54,3;1 367;1 364;1 381;1 356;1 357;1 356;1 401;1 374;1 376;12 332;
Eskilstuna;0484;Södermanlands län;04;Kommunal;48,3;35,1;53,4;1 202;1 144;1 219;1 099;1 081;1 123;1 066;1 063;1 054;10 051;
Eskilstuna;0484;Södermanlands län;04;Enskild;53,1;53,4;58,3;165;220;162;257;276;233;335;311;322;2 281;
Eslöv;1285;Skåne län;12;Samtliga;48,7;30,0;56,1;462;415;459;402;412;441;426;383;408;3 808;
Eslöv;1285;Skåne län;12;Kommunal;48,8;30,4;55,7;450;403;448;391;401;431;426;383;408;3 741;
Eslöv;1285;Skåne län;12;Enskild;43,3;9,0;82,1;12;12;11;11;11;10;.;.;.;67;
Essunga;1445;Västra Götalands län;14;Samtliga;50,8;11,4;40,4;67;88;71;54;87;78;70;67;74;656;
Essunga;1445;Västra Götalands län;14;Kommunal;50,8;11,4;40,4;67;88;71;54;87;78;70;67;74;656;
Fagersta;1982;Västmanlands län;19;Samtliga;49,0;41,7;42,8;177;168;182;201;164;164;186;162;165;1 569;
Fagersta;1982;Västmanlands län;19;Kommunal;49,4;43,9;39,4;133;135;160;178;142;142;145;139;146;1 320;
Fagersta;1982;Västmanlands län;19;Enskild;47,0;30,1;61,0;44;33;22;23;22;22;41;23;19;249;
Falkenberg;1382;Hallands län;13;Samtliga;49,6;24,9;52,3;548;576;546;510;588;580;554;561;513;4 976;
Falkenberg;1382;Hallands län;13;Kommunal;50,1;27,5;49,0;469;497;444;435;499;507;454;460;414;4 179;
Falkenberg;1382;Hallands län;13;Enskild;46,9;11,2;69,8;79;79;102;75;89;73;100;101;99;797;
Falköping;1499;Västra Götalands län;14;Samtliga;48,3;28,0;49,2;391;421;416;433;393;402;397;368;420;3 641;
Falköping;1499;Västra Götalands län;14;Kommunal;48,0;27,8;49,3;377;401;405;416;378;382;389;352;399;3 499;
Falköping;1499;Västra Götalands län;14;Enskild;56,3;33,1;47,2;14;20;11;17;15;20;8;16;21;142;
Falun;2080;Dalarnas län;20;Samtliga;49,5;16,7;66,7;729;754;686;774;761;738;771;747;717;6 677;
Falun;2080;Dalarnas län;20;Kommunal;49,0;15,9;64,2;653;677;609;638;594;573;560;548;503;5 355;
Falun;2080;Dalarnas län;20;Enskild;51,6;20,2;76,9;76;77;77;136;167;165;211;199;214;1 322;
Filipstad;1782;Värmlands län;17;Samtliga;48,8;28,8;31,7;112;105;103;101;109;114;111;102;108;965;
Filipstad;1782;Värmlands län;17;Kommunal;49,5;..;31,6;103;98;94;93;99;106;111;102;108;914;
Filipstad;1782;Värmlands län;17;Enskild;37,3;..;33,3;9;7;9;8;10;8;.;.;.;51;
Finspång;0562;Östergötlands län;05;Samtliga;49,0;23,1;49,7;266;255;236;261;279;234;224;198;190;2 143;
Finspång;0562;Östergötlands län;05;Kommunal;48,9;23,3;49,5;261;250;234;258;275;231;224;198;190;2 121;
Finspång;0562;Östergötlands län;05;Enskild;54,5;.;77,3;5;5;2;3;4;3;.;.;.;22;
Flen;0482;Södermanlands län;04;Samtliga;46,3;45,3;36,9;165;197;183;186;213;178;185;158;179;1 644;
Flen;0482;Södermanlands län;04;Kommunal;47,5;51,2;34,0;133;161;152;130;161;117;106;96;113;1 169;
Flen;0482;Södermanlands län;04;Enskild;43,4;30,7;43,8;32;36;31;56;52;61;79;62;66;475;
Forshaga;1763;Värmlands län;17;Samtliga;48,4;11,8;57,4;138;159;136;133;131;129;158;127;138;1 249;
Forshaga;1763;Värmlands län;17;Kommunal;48,4;11,8;57,4;138;159;136;133;131;129;158;127;138;1 249;
Färgelanda;1439;Västra Götalands län;14;Samtliga;47,9;14,8;43,4;58;77;75;68;75;66;74;73;67;633;
Färgelanda;1439;Västra Götalands län;14;Kommunal;46,8;14,6;43,2;50;67;56;64;49;55;74;73;67;555;
Färgelanda;1439;Västra Götalands län;14;Enskild;55,1;16,7;44,9;8;10;19;4;26;11;.;.;.;78;
Gagnef;2026;Dalarnas län;20;Samtliga;49,2;6,9;54,8;136;133;112;145;127;136;122;141;130;1 182;
Gagnef;2026;Dalarnas län;20;Kommunal;49,2;6,9;54,8;136;133;112;145;127;136;122;141;130;1 182;
Gislaved;0662;Jönköpings län;06;Samtliga;49,8;35,9;43,2;377;359;375;364;373;364;370;393;403;3 378;
Gislaved;0662;Jönköpings län;06;Kommunal;49,5;36,4;42,6;364;348;363;352;361;353;360;383;392;3 276;
Gislaved;0662;Jönköpings län;06;Enskild;60,8;20,6;61,8;13;11;12;12;12;11;10;10;11;102;
Gnesta;0461;Södermanlands län;04;Samtliga;46,5;15,4;58,4;149;153;145;157;143;173;135;139;146;1 340;
Gnesta;0461;Södermanlands län;04;Kommunal;46,5;14,7;55,9;125;120;122;131;126;144;120;129;124;1 141;
Gnesta;0461;Södermanlands län;04;Enskild;46,7;19,6;72,9;24;33;23;26;17;29;15;10;22;199;
Gnosjö;0617;Jönköpings län;06;Samtliga;48,6;38,0;41,4;136;121;100;106;114;100;112;99;143;1 031;
Gnosjö;0617;Jönköpings län;06;Kommunal;48,6;38,0;41,4;136;121;100;106;114;100;112;99;143;1 031;
Gotland;0980;Gotlands län;09;Samtliga;48,3;10,8;58,3;592;669;641;679;667;710;694;656;612;5 920;
Gotland;0980;Gotlands län;09;Kommunal;47,6;11,2;56,2;496;561;542;590;547;602;578;557;512;4 985;
Gotland;0980;Gotlands län;09;Enskild;52,2;9,1;69,7;96;108;99;89;120;108;116;99;100;935;
Grums;1764;Värmlands län;17;Samtliga;47,2;13,3;36,6;111;96;109;77;89;79;87;73;94;815;
Grums;1764;Värmlands län;17;Kommunal;48,3;12,8;35,1;88;86;81;66;73;69;87;73;94;717;
Grums;1764;Värmlands län;17;Enskild;39,8;16,3;46,9;23;10;28;11;16;10;.;.;.;98;
Grästorp;1444;Västra Götalands län;14;Samtliga;47,5;9,5;55,0;44;60;58;57;55;69;62;72;70;547;
Grästorp;1444;Västra Götalands län;14;Kommunal;47,5;9,5;55,0;44;60;58;57;55;69;62;72;70;547;
Gullspång;1447;Västra Götalands län;14;Samtliga;52,0;35,1;31,6;46;52;52;51;61;48;43;61;67;481;
Gullspång;1447;Västra Götalands län;14;Kommunal;52,0;35,1;31,6;46;52;52;51;61;48;43;61;67;481;
Gällivare;2523;Norrbottens län;25;Samtliga;49,5;15,1;47,9;196;162;185;179;171;155;180;160;171;1 559;
Gällivare;2523;Norrbottens län;25;Kommunal;49,9;..;46,1;196;162;185;159;151;131;156;139;147;1 426;
Gällivare;2523;Norrbottens län;25;Enskild;45,9;..;66,9;.;.;.;20;20;24;24;21;24;133;
Gävle;2180;Gävleborgs län;21;Samtliga;49,0;25,2;62,2;1 156;1 138;1 159;1 180;1 185;1 238;1 251;1 207;1 194;10 708;
Gävle;2180;Gävleborgs län;21;Kommunal;49,0;21,8;61,6;1 077;1 063;983;941;901;845;824;765;754;8 153;
Gävle;2180;Gävleborgs län;21;Enskild;49,1;36,3;64,4;79;75;176;239;284;393;427;442;440;2 555;
Göteborg;1480;Västra Götalands län;14;Samtliga;49,1;38,3;66,6;6 214;6 175;6 167;6 331;6 127;6 459;6 428;6 199;6 164;56 264;
Göteborg;1480;Västra Götalands län;14;Kommunal;48,8;37,5;64,1;5 254;5 234;5 110;5 094;4 828;4 836;4 292;4 076;4 091;42 815;
Göteborg;1480;Västra Götalands län;14;Internationella skolor;46,8;94,3;68,9;62;68;70;67;58;61;48;62;79;575;
Göteborg;1480;Västra Götalands län;14;Enskild;49,9;38,1;74,8;898;873;987;1 170;1 241;1 562;2 088;2 061;1 994;12 874;
Götene;1471;Västra Götalands län;14;Samtliga;48,3;16,6;53,0;140;158;166;145;150;167;141;142;171;1 380;
Götene;1471;Västra Götalands län;14;Kommunal;48,3;16,6;53,0;140;158;166;145;150;167;141;142;171;1 380;
Habo;0643;Jönköpings län;06;Samtliga;49,5;8,7;67,7;230;228;212;204;192;211;171;175;177;1 800;
Habo;0643;Jönköpings län;06;Kommunal;49,5;8,7;67,7;230;228;212;204;192;211;171;175;177;1 800;
Hagfors;1783;Värmlands län;17;Samtliga;49,1;25,0;38,0;95;74;55;114;111;120;106;104;98;877;
Hagfors;1783;Värmlands län;17;Kommunal;49,1;25,0;38,0;95;74;55;114;111;120;106;104;98;877;
Hallsberg;1861;Örebro län;18;Samtliga;49,9;30,2;44,9;185;198;193;189;201;205;179;171;172;1 693;
Hallsberg;1861;Örebro län;18;Kommunal;49,9;30,2;44,9;185;198;193;189;201;205;179;171;172;1 693;
Hallstahammar;1961;Västmanlands län;19;Samtliga;49,6;26,7;46,6;188;197;217;216;189;215;205;202;148;1 777;
Hallstahammar;1961;Västmanlands län;19;Kommunal;49,6;26,7;46,6;188;197;217;216;189;215;205;202;148;1 777;
Halmstad;1380;Hallands län;13;Samtliga;48,7;28,8;63,5;1 207;1 249;1 230;1 229;1 267;1 369;1 212;1 160;1 222;11 145;
Halmstad;1380;Hallands län;13;Kommunal;48,6;29,9;61,4;1 130;1 177;1 148;1 068;1 089;1 200;1 020;999;1 059;9 890;
Halmstad;1380;Hallands län;13;Enskild;49,7;19,9;80,2;77;72;82;161;178;169;192;161;163;1 255;
Hammarö;1761;Värmlands län;17;Samtliga;47,4;6,9;79,5;240;287;243;259;259;259;235;231;210;2 223;
Hammarö;1761;Värmlands län;17;Kommunal;47,4;6,9;79,5;240;287;243;259;259;259;235;231;210;2 223;
Haninge;0136;Stockholms län;01;Samtliga;47,6;35,6;50,8;1 309;1 305;1 259;1 131;1 067;1 066;971;960;957;10 025;
Haninge;0136;Stockholms län;01;Kommunal;46,7;38,9;48,7;962;994;1 019;850;884;838;759;769;785;7 860;
Haninge;0136;Stockholms län;01;Enskild;50,6;23,6;58,3;347;311;240;281;183;228;212;191;172;2 165;
Haparanda;2583;Norrbottens län;25;Samtliga;49,8;37,6;42,7;116;106;105;108;121;129;124;117;107;1 033;
Haparanda;2583;Norrbottens län;25;Kommunal;50,6;37,0;42,8;108;93;94;99;118;113;124;117;107;973;
Haparanda;2583;Norrbottens län;25;Enskild;36,7;46,7;41,7;8;13;11;9;3;16;.;.;.;60;
Heby;0331;Uppsala län;03;Samtliga;50,2;16,3;45,8;162;175;162;167;161;162;169;154;167;1 479;
Heby;0331;Uppsala län;03;Kommunal;50,3;..;45,6;157;168;155;159;153;158;169;154;167;1 440;
Heby;0331;Uppsala län;03;Enskild;43,6;..;56,4;5;7;7;8;8;4;.;.;.;39;
Hedemora;2083;Dalarnas län;20;Samtliga;48,5;20,8;44,5;194;152;152;175;150;188;187;198;189;1 585;
Hedemora;2083;Dalarnas län;20;Kommunal;48,4;22,7;41,5;149;111;116;140;117;147;152;143;139;1 214;
Hedemora;2083;Dalarnas län;20;Enskild;48,8;14,3;54,4;45;41;36;35;33;41;35;55;50;371;
Helsingborg;1283;Skåne län;12;Samtliga;48,7;41,8;61,1;1 771;1 826;1 808;1 860;1 817;1 907;1 886;1 821;1 767;16 463;
Helsingborg;1283;Skåne län;12;Kommunal;48,5;39,1;60,1;1 337;1 396;1 404;1 398;1 360;1 249;1 201;1 202;1 136;11 683;
Helsingborg;1283;Skåne län;12;Internationella skolor;47,4;86,3;84,4;67;65;66;66;71;62;65;45;46;553;
Helsingborg;1283;Skåne län;12;Enskild;49,2;43,6;60,8;367;365;338;396;386;596;620;574;585;4 227;
Herrljunga;1466;Västra Götalands län;14;Samtliga;52,9;15,8;50,9;104;111;120;114;119;108;104;84;130;994;
Herrljunga;1466;Västra Götalands län;14;Kommunal;52,9;15,8;50,9;104;111;120;114;119;108;104;84;130;994;
Hjo;1497;Västra Götalands län;14;Samtliga;48,0;11,0;60,9;107;109;105;102;112;104;104;101;92;936;
Hjo;1497;Västra Götalands län;14;Kommunal;48,0;11,0;60,9;107;109;105;102;112;104;104;101;92;936;
Hofors;2104;Gävleborgs län;21;Samtliga;48,3;20,7;39,1;120;98;93;89;90;114;95;100;89;888;
Hofors;2104;Gävleborgs län;21;Kommunal;48,3;20,7;39,1;120;98;93;89;90;114;95;100;89;888;
Huddinge;0126;Stockholms län;01;Samtliga;47,6;32,6;68,0;1 437;1 557;1 619;1 450;1 498;1 558;1 512;1 567;1 498;13 696;
Huddinge;0126;Stockholms län;01;Kommunal;47,4;32,6;67,1;1 313;1 420;1 405;1 257;1 320;1 179;1 086;1 142;1 091;11 213;
Huddinge;0126;Stockholms län;01;Enskild;48,6;32,8;72,3;124;137;214;193;178;379;426;425;407;2 483;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;48,8;14,4;59,2;394;405;411;432;407;465;490;441;490;3 935;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;48,5;15,1;59,4;367;372;377;392;373;402;417;371;417;3 488;
Hudiksvall;2184;Gävleborgs län;21;Enskild;51,2;8,9;57,5;27;33;34;40;34;63;73;70;73;447;
Hultsfred;0860;Kalmar län;08;Samtliga;46,9;36,5;42,9;172;167;157;163;159;180;145;178;178;1 499;
Hultsfred;0860;Kalmar län;08;Kommunal;45,6;36,4;43,4;149;140;135;141;123;153;102;125;131;1 199;
Hultsfred;0860;Kalmar län;08;Enskild;52,0;36,7;41,0;23;27;22;22;36;27;43;53;47;300;
Hylte;1315;Hallands län;13;Samtliga;49,2;41,8;39,1;122;149;133;156;134;133;150;133;160;1 270;
Hylte;1315;Hallands län;13;Kommunal;49,7;42,7;38,9;122;149;122;147;127;126;140;127;158;1 218;
Hylte;1315;Hallands län;13;Enskild;38,5;21,2;42,3;.;.;11;9;7;7;10;6;2;52;
Hällefors;1863;Örebro län;18;Samtliga;51,5;35,4;31,2;67;66;75;62;75;63;74;81;78;641;
Hällefors;1863;Örebro län;18;Kommunal;51,5;35,4;31,2;67;66;75;62;75;63;74;81;78;641;
Härjedalen;2361;Jämtlands län;23;Samtliga;43,2;15,7;49,9;99;88;90;109;99;100;101;97;88;871;
Härjedalen;2361;Jämtlands län;23;Kommunal;43,2;15,7;49,9;99;88;90;109;99;100;101;97;88;871;
Härnösand;2280;Västernorrlands län;22;Samtliga;50,5;29,3;56,2;277;255;270;290;293;319;324;318;307;2 653;
Härnösand;2280;Västernorrlands län;22;Kommunal;50,5;30,0;55,0;259;233;247;268;270;296;299;293;268;2 433;
Härnösand;2280;Västernorrlands län;22;Enskild;50,9;21,4;69,5;18;22;23;22;23;23;25;25;39;220;
Härryda;1401;Västra Götalands län;14;Samtliga;48,7;11,7;76,4;545;589;629;606;604;698;531;592;581;5 375;
Härryda;1401;Västra Götalands län;14;Kommunal;48,5;12,0;75,0;493;537;577;554;551;623;456;517;506;4 814;
Härryda;1401;Västra Götalands län;14;Enskild;50,6;9,1;88,4;52;52;52;52;53;75;75;75;75;561;
Hässleholm;1293;Skåne län;12;Samtliga;48,4;29,1;53,0;627;584;558;661;646;639;663;648;643;5 669;
Hässleholm;1293;Skåne län;12;Kommunal;47,8;28,9;50,4;585;542;515;557;535;510;554;538;490;4 826;
Hässleholm;1293;Skåne län;12;Enskild;52,1;30,1;67,6;42;42;43;104;111;129;109;110;153;843;
Håbo;0305;Uppsala län;03;Samtliga;49,8;16,8;56,7;316;314;297;292;285;327;312;331;304;2 778;
Håbo;0305;Uppsala län;03;Kommunal;49,0;18,7;53,8;294;292;275;244;236;251;258;256;251;2 357;
Håbo;0305;Uppsala län;03;Enskild;53,9;6,7;72,7;22;22;22;48;49;76;54;75;53;421;
Höganäs;1284;Skåne län;12;Samtliga;49,3;16,3;70,3;312;333;345;336;368;345;371;352;355;3 117;
Höganäs;1284;Skåne län;12;Kommunal;49,4;15,8;70,8;276;290;323;307;346;330;337;335;330;2 874;
Höganäs;1284;Skåne län;12;Enskild;48,6;22,2;64,2;36;43;22;29;22;15;34;17;25;243;
Högsby;0821;Kalmar län;08;Samtliga;49,8;40,1;36,1;53;58;68;77;69;69;67;66;41;568;
Högsby;0821;Kalmar län;08;Kommunal;49,8;40,1;36,1;53;58;68;77;69;69;67;66;41;568;
Hörby;1266;Skåne län;12;Samtliga;49,9;20,2;51,6;155;157;162;157;158;163;141;159;146;1 398;
Hörby;1266;Skåne län;12;Kommunal;49,9;20,2;51,6;155;157;162;157;158;163;141;159;146;1 398;
