Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2022/23

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Elever, årskurs 1-9;
Ale;1440;Västra Götalands län;14;Samtliga;48,4;24,1;63,9;462;453;471;436;457;478;437;413;395;4 002;
Ale;1440;Västra Götalands län;14;Kommunal;48,4;25,4;63,5;438;431;449;411;408;455;413;367;372;3 744;
Ale;1440;Västra Götalands län;14;Enskild;48,4;4,7;69,8;24;22;22;25;49;23;24;46;23;258;
Alingsås;1489;Västra Götalands län;14;Samtliga;48,1;15,4;66,6;542;551;507;550;531;579;549;562;536;4 907;
Alingsås;1489;Västra Götalands län;14;Kommunal;47,9;16,2;64,8;464;466;427;468;443;483;434;456;430;4 071;
Alingsås;1489;Västra Götalands län;14;Enskild;49,2;11,5;75,2;78;85;80;82;88;96;115;106;106;836;
Alvesta;0764;Kronobergs län;07;Samtliga;47,3;33,4;50,1;227;257;253;241;246;250;262;268;269;2 273;
Alvesta;0764;Kronobergs län;07;Kommunal;47,5;33,6;50,0;218;248;251;231;240;242;262;268;269;2 229;
Alvesta;0764;Kronobergs län;07;Enskild;40,9;25,0;54,5;9;9;2;10;6;8;.;.;.;44;
Aneby;0604;Jönköpings län;06;Samtliga;49,5;22,0;52,6;96;76;85;86;84;77;79;81;81;745;
Aneby;0604;Jönköpings län;06;Kommunal;49,7;21,7;53,3;93;72;85;82;80;77;77;81;81;728;
Aneby;0604;Jönköpings län;06;Enskild;41,2;35,3;..;3;4;.;4;4;.;2;.;.;17;
Arboga;1984;Västmanlands län;19;Samtliga;46,3;24,4;51,1;154;156;169;157;156;163;145;148;145;1 393;
Arboga;1984;Västmanlands län;19;Kommunal;46,7;..;51,2;147;147;164;151;149;160;145;148;145;1 356;
Arboga;1984;Västmanlands län;19;Enskild;32,4;..;48,6;7;9;5;6;7;3;.;.;.;37;
Arjeplog;2506;Norrbottens län;25;Samtliga;49,5;8,5;50,0;18;22;25;27;31;25;23;17;24;212;
Arjeplog;2506;Norrbottens län;25;Kommunal;49,5;8,5;50,0;18;22;25;27;31;25;23;17;24;212;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;47,1;11,6;43,6;68;72;66;59;73;67;52;59;78;594;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;47,1;11,6;43,6;68;72;66;59;73;67;52;59;78;594;
Arvika;1784;Värmlands län;17;Samtliga;49,3;18,1;55,1;278;283;324;302;273;271;303;290;269;2 593;
Arvika;1784;Värmlands län;17;Kommunal;48,1;18,2;53,8;278;283;324;302;273;271;252;244;216;2 443;
Arvika;1784;Värmlands län;17;Enskild;69,3;17,3;75,3;.;.;.;.;.;.;51;46;53;150;
Askersund;1882;Örebro län;18;Samtliga;48,8;12,2;41,6;107;107;115;121;112;122;109;105;116;1 014;
Askersund;1882;Örebro län;18;Kommunal;48,8;12,2;41,6;107;107;115;121;112;122;109;105;116;1 014;
Avesta;2084;Dalarnas län;20;Samtliga;49,8;28,7;44,8;263;246;249;291;262;271;224;249;269;2 324;
Avesta;2084;Dalarnas län;20;Kommunal;49,9;..;44,4;243;226;229;270;243;251;224;249;269;2 204;
Avesta;2084;Dalarnas län;20;Enskild;47,5;..;52,5;20;20;20;21;19;20;.;.;.;120;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;46,5;30,2;44,9;84;81;88;94;92;90;93;112;77;811;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;46,5;30,2;44,9;84;81;88;94;92;90;93;112;77;811;
Berg;2326;Jämtlands län;23;Samtliga;46,2;20,0;47,7;90;78;67;72;69;75;67;73;75;666;
Berg;2326;Jämtlands län;23;Kommunal;46,1;..;46,1;81;71;62;65;61;70;67;73;75;625;
Berg;2326;Jämtlands län;23;Enskild;48,8;..;73,2;9;7;5;7;8;5;.;.;.;41;
Bjurholm;2403;Västerbottens län;24;Samtliga;47,8;12,5;58,0;24;17;22;27;32;28;26;20;28;224;
Bjurholm;2403;Västerbottens län;24;Kommunal;47,8;12,5;58,0;24;17;22;27;32;28;26;20;28;224;
Bjuv;1260;Skåne län;12;Samtliga;48,4;38,0;38,8;172;187;215;189;210;175;196;187;168;1 699;
Bjuv;1260;Skåne län;12;Kommunal;48,4;38,0;38,8;172;187;215;189;210;175;196;187;168;1 699;
Boden;2582;Norrbottens län;25;Samtliga;46,5;18,5;58,1;323;279;287;296;310;288;317;279;309;2 688;
Boden;2582;Norrbottens län;25;Kommunal;46,1;20,4;57,2;255;211;239;231;248;223;222;205;215;2 049;
Boden;2582;Norrbottens län;25;Enskild;47,7;12,1;60,9;68;68;48;65;62;65;95;74;94;639;
Bollebygd;1443;Västra Götalands län;14;Samtliga;49,3;11,5;60,3;119;129;139;121;134;130;129;114;129;1 144;
Bollebygd;1443;Västra Götalands län;14;Kommunal;49,6;..;57,9;96;107;117;101;113;109;129;114;129;1 015;
Bollebygd;1443;Västra Götalands län;14;Enskild;47,3;..;79,1;23;22;22;20;21;21;.;.;.;129;
Bollnäs;2183;Gävleborgs län;21;Samtliga;48,1;22,3;50,9;310;279;285;326;290;331;301;282;298;2 702;
Bollnäs;2183;Gävleborgs län;21;Kommunal;48,7;26,4;47,6;259;244;245;273;252;295;159;161;153;2 041;
Bollnäs;2183;Gävleborgs län;21;Enskild;46,4;9,7;61,0;51;35;40;53;38;36;142;121;145;661;
Borgholm;0885;Kalmar län;08;Samtliga;49,5;18,0;47,4;79;82;80;89;81;85;67;82;92;737;
Borgholm;0885;Kalmar län;08;Kommunal;49,5;18,0;47,4;79;82;80;89;81;85;67;82;92;737;
Borlänge;2081;Dalarnas län;20;Samtliga;48,9;31,3;49,4;600;646;597;601;635;630;602;662;665;5 638;
Borlänge;2081;Dalarnas län;20;Kommunal;48,6;31,8;48,9;586;631;578;573;590;565;519;557;548;5 147;
Borlänge;2081;Dalarnas län;20;Enskild;51,5;26,1;55,4;14;15;19;28;45;65;83;105;117;491;
Borås;1490;Västra Götalands län;14;Samtliga;48,2;33,7;57,4;1 378;1 427;1 394;1 440;1 389;1 445;1 367;1 404;1 383;12 627;
Borås;1490;Västra Götalands län;14;Kommunal;47,5;32,9;55,4;1 259;1 301;1 282;1 213;1 157;1 185;1 105;1 102;1 116;10 720;
Borås;1490;Västra Götalands län;14;Enskild;52,0;37,9;68,8;119;126;112;227;232;260;262;302;267;1 907;
Botkyrka;0127;Stockholms län;01;Samtliga;48,2;52,2;53,0;1 163;1 252;1 217;1 194;1 144;1 166;1 117;1 129;1 056;10 438;
Botkyrka;0127;Stockholms län;01;Kommunal;47,5;52,9;52,6;1 024;1 043;1 053;1 026;986;963;926;897;863;8 781;
Botkyrka;0127;Stockholms län;01;Enskild;52,2;48,6;55,1;139;209;164;168;158;203;191;232;193;1 657;
Boxholm;0560;Östergötlands län;05;Samtliga;49,0;16,5;48,2;65;72;62;63;58;62;54;56;47;539;
Boxholm;0560;Östergötlands län;05;Kommunal;49,0;16,5;48,2;65;72;62;63;58;62;54;56;47;539;
Bromölla;1272;Skåne län;12;Samtliga;49,9;25,2;49,6;153;138;133;141;154;159;131;123;141;1 273;
Bromölla;1272;Skåne län;12;Kommunal;49,9;25,2;49,6;153;138;133;141;154;159;131;123;141;1 273;
Bräcke;2305;Jämtlands län;23;Samtliga;48,7;23,3;44,3;60;71;50;66;60;64;63;64;59;557;
Bräcke;2305;Jämtlands län;23;Kommunal;48,7;23,3;44,3;60;71;50;66;60;64;63;64;59;557;
Burlöv;1231;Skåne län;12;Samtliga;49,0;50,4;54,6;275;268;226;198;216;222;171;162;175;1 913;
Burlöv;1231;Skåne län;12;Kommunal;49,0;50,4;54,6;275;268;226;198;216;222;171;162;175;1 913;
Båstad;1278;Skåne län;12;Samtliga;49,4;22,0;61,4;142;154;169;154;164;161;184;171;166;1 465;
Båstad;1278;Skåne län;12;Kommunal;49,8;22,6;60,0;126;131;148;143;148;144;184;171;166;1 361;
