Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2021/22
Valt uttag: 2022-02-11

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Leksand;2029;Dalarnas län;20;Samtliga;117,8;79,9;67,8;13,7;156;113;72,4;15;
Leksand;2029;Dalarnas län;20;Kommunal;94,3;66,3;70,4;11,9;121;91;75,2;13;
Leksand;2029;Dalarnas län;20;Enskild;23,6;13,5;57,3;1,8;35;22;62,9;2;
Lerum;1441;Västra Götalands län;14;Samtliga;426,9;311,6;73,0;53,2;493;416;84,4;60;
Lerum;1441;Västra Götalands län;14;Kommunal;398,4;289,3;72,6;49,2;459;386;84,1;56;
Lerum;1441;Västra Götalands län;14;Enskild;28,5;22,3;78,2;4,0;35;30;85,7;4;
Lessebo;0761;Kronobergs län;07;Samtliga;83,8;56,3;67,2;9,8;102;77;75,5;10;
Lessebo;0761;Kronobergs län;07;Kommunal;83,8;56,3;67,2;9,8;102;77;75,5;10;
Lidingö;0186;Stockholms län;01;Samtliga;331,2;258,7;78,1;50,0;373;315;84,5;52;
Lidingö;0186;Stockholms län;01;Kommunal;287,5;227,0;78,9;49,1;318;275;86,5;51;
Lidingö;0186;Stockholms län;01;Enskild;43,7;31,8;72,7;0,9;55;40;72,7;1;
Lidköping;1494;Västra Götalands län;14;Samtliga;367,7;279,6;76,1;44,3;421;353;83,8;47;
Lidköping;1494;Västra Götalands län;14;Kommunal;336,3;252,4;75,1;40,3;387;322;83,2;43;
Lidköping;1494;Västra Götalands län;14;Enskild;31,4;27,2;86,7;4,0;34;31;91,2;4;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;93,9;60,5;64,5;9,6;115;86;74,8;11;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;85,3;57,3;67,2;9,6;99;79;79,8;11;
Lilla Edet;1462;Västra Götalands län;14;Enskild;8,6;3,2;37,1;.;16;7;43,8;.;
Lindesberg;1885;Örebro län;18;Samtliga;202,4;134,2;66,3;28,9;237;175;73,8;30;
Lindesberg;1885;Örebro län;18;Kommunal;189,4;128,0;67,6;28,1;218;165;75,7;29;
Lindesberg;1885;Örebro län;18;Enskild;13,1;6,2;47,2;0,8;19;10;52,6;1;
Linköping;0580;Östergötlands län;05;Samtliga;1 301,4;1 020,8;78,4;124,4;1 499;1 283;85,6;135;
Linköping;0580;Östergötlands län;05;Kommunal;1 158,1;920,2;79,5;111,7;1 324;1 141;86,2;120;
Linköping;0580;Östergötlands län;05;Enskild;143,2;100,5;70,2;12,7;178;142;79,8;15;
Ljungby;0781;Kronobergs län;07;Samtliga;230,6;157,6;68,3;29,0;276;207;75,0;32;
Ljungby;0781;Kronobergs län;07;Kommunal;216,1;150,9;69,8;27,3;254;194;76,4;30;
Ljungby;0781;Kronobergs län;07;Enskild;14,5;6,7;46,3;1,8;24;14;58,3;2;
Ljusdal;2161;Gävleborgs län;21;Samtliga;162,5;98,3;60,5;19,6;187;127;67,9;21;
Ljusdal;2161;Gävleborgs län;21;Kommunal;132,2;77,4;58,5;16,2;151;99;65,6;17;
Ljusdal;2161;Gävleborgs län;21;Enskild;30,3;20,9;69,2;3,4;38;30;78,9;4;
