Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2020/21

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Elever, årskurs 1-9;
Västerås;1980;Västmanlands län;19;Samtliga;48;32;62;1 809;1 819;1 808;1 833;1 796;1 769;1 865;1 751;1 791;16 241;
Västerås;1980;Västmanlands län;19;Kommunal;46;31;59;1 548;1 571;1 551;1 304;1 282;1 166;1 127;1 082;1 134;11 765;
Västerås;1980;Västmanlands län;19;Enskild;54;33;71;261;248;257;529;514;603;738;669;657;4 476;
Växjö;0780;Kronobergs län;07;Samtliga;49;28;66;1 218;1 191;1 129;1 174;1 197;1 125;1 126;1 216;1 116;10 492;
Växjö;0780;Kronobergs län;07;Kommunal;48;26;65;1 132;1 115;1 058;1 097;1 125;988;862;957;890;9 224;
Växjö;0780;Kronobergs län;07;Enskild;51;40;73;86;76;71;77;72;137;264;259;226;1 268;
Vårgårda;1442;Västra Götalands län;14;Samtliga;49;19;53;136;134;146;145;156;144;132;148;128;1 269;
Vårgårda;1442;Västra Götalands län;14;Kommunal;49;19;53;136;134;146;145;156;144;132;148;128;1 269;
Ydre;0512;Östergötlands län;05;Samtliga;46;16;52;36;37;27;37;35;35;45;36;48;336;
Ydre;0512;Östergötlands län;05;Kommunal;46;16;52;36;37;27;37;35;35;45;36;48;336;
Ystad;1286;Skåne län;12;Samtliga;49;14;65;326;327;328;341;342;367;426;429;392;3 278;
Ystad;1286;Skåne län;12;Kommunal;48;14;63;305;309;309;290;286;310;316;320;272;2 717;
Ystad;1286;Skåne län;12;Enskild;53;12;74;21;18;19;51;56;57;110;109;120;561;
Älmhult;0765;Kronobergs län;07;Samtliga;48;40;57;277;260;248;264;266;265;217;210;230;2 237;
Älmhult;0765;Kronobergs län;07;Kommunal;49;33;53;212;186;181;180;178;179;169;152;168;1 605;
Älmhult;0765;Kronobergs län;07;Internationella skolor;45;81;77;43;52;50;47;61;47;22;33;16;371;
Älmhult;0765;Kronobergs län;07;Enskild;50;26;54;22;22;17;37;27;39;26;25;46;261;
Älvdalen;2039;Dalarnas län;20;Samtliga;50;10;39;58;65;90;82;71;80;81;76;80;683;
Älvdalen;2039;Dalarnas län;20;Kommunal;50;10;39;58;65;90;82;71;80;81;76;80;683;
Älvkarleby;0319;Uppsala län;03;Samtliga;48;20;48;92;130;111;113;108;103;119;106;105;987;
Älvkarleby;0319;Uppsala län;03;Kommunal;48;22;47;66;87;91;82;84;72;86;73;72;713;
Älvkarleby;0319;Uppsala län;03;Enskild;50;15;49;26;43;20;31;24;31;33;33;33;274;
Älvsbyn;2560;Norrbottens län;25;Samtliga;47;22;39;76;93;95;92;81;81;78;84;95;775;
Älvsbyn;2560;Norrbottens län;25;Kommunal;47;22;39;76;93;95;92;81;81;78;84;95;775;
Ängelholm;1292;Skåne län;12;Samtliga;50;19;61;464;476;449;498;485;507;552;480;536;4 447;
Ängelholm;1292;Skåne län;12;Kommunal;50;19;60;456;462;435;485;470;492;552;480;536;4 368;
Ängelholm;1292;Skåne län;12;Enskild;47;18;80;8;14;14;13;15;15;.;.;.;79;
Åmål;1492;Västra Götalands län;14;Samtliga;48;30;51;120;137;137;147;151;146;151;146;156;1 291;
Åmål;1492;Västra Götalands län;14;Kommunal;47;34;49;97;110;112;124;113;118;151;146;156;1 127;
Åmål;1492;Västra Götalands län;14;Enskild;54;5;63;23;27;25;23;38;28;.;.;.;164;
Ånge;2260;Västernorrlands län;22;Samtliga;48;11;43;75;81;82;86;71;86;120;93;97;791;
Ånge;2260;Västernorrlands län;22;Kommunal;48;..;42;62;70;71;75;65;74;102;83;88;690;
