Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2018/19

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Ale;1440;Västra Götalands län;14;Enskild;Svenska;96,0;100,0;..;24;..;..;100,0;100,0;..;15,1;16,0;..;
Ale;1440;Västra Götalands län;14;Enskild;Engelska;96,0;100,0;..;24;..;..;100,0;100,0;..;17,2;17,8;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska;92,9;94,2;91,6;446;227;219;96,4;~100;..;13,5;14,9;12,1;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska som andraspråk;73,5;..;69,6;25;..;..;60,0;..;..;6,6;..;5,3;
Alingsås;1489;Västra Götalands län;14;Samtliga;Matematik;90,1;89,7;90,5;463;226;237;79,9;79,6;80,2;10,0;10,2;9,8;
Alingsås;1489;Västra Götalands län;14;Samtliga;Engelska;75,3;76,6;74,0;387;193;194;96,4;97,4;95,4;14,5;14,6;14,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska som andraspråk;71,9;..;69,6;23;..;..;56,5;..;..;5,9;..;5,3;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska;91,9;93,2;90,5;350;179;171;95,4;~100;..;13,0;14,5;11,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;Matematik;88,4;88,1;88,7;365;177;188;77,0;76,3;77,7;9,6;9,8;9,3;
Alingsås;1489;Västra Götalands län;14;Kommunal;Engelska;82,3;84,6;80,2;340;170;170;95,9;97,1;94,7;14,6;14,6;14,6;
Alingsås;1489;Västra Götalands län;14;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Alingsås;1489;Västra Götalands län;14;Enskild;Svenska;97,0;98,0;96,0;96;48;48;100,0;100,0;100,0;15,3;16,3;14,2;
Alingsås;1489;Västra Götalands län;14;Enskild;Matematik;97,0;96,1;98,0;98;49;49;90,8;~100;..;11,5;11,5;11,5;
Alingsås;1489;Västra Götalands län;14;Enskild;Engelska;46,5;45,1;48,0;47;23;24;100,0;100,0;100,0;14,0;14,6;13,4;
Alvesta;0764;Kronobergs län;07;Samtliga;Svenska som andraspråk;92,5;93,9;91,2;62;31;31;61,3;58,1;64,5;7,0;6,9;7,1;
Alvesta;0764;Kronobergs län;07;Samtliga;Engelska;91,8;91,6;92,0;213;98;115;85,9;87,8;84,3;12,4;12,7;12,2;
Alvesta;0764;Kronobergs län;07;Samtliga;Svenska;93,3;91,9;94,5;154;68;86;~100;100,0;~100;13,8;15,6;12,4;
Alvesta;0764;Kronobergs län;07;Samtliga;Matematik;91,4;93,5;89,6;212;100;112;75,9;70,0;81,3;9,2;8,4;9,9;
Alvesta;0764;Kronobergs län;07;Kommunal;Matematik;91,4;93,5;89,6;212;100;112;75,9;70,0;81,3;9,2;8,4;9,9;
Alvesta;0764;Kronobergs län;07;Kommunal;Svenska som andraspråk;92,5;93,9;91,2;62;31;31;61,3;58,1;64,5;7,0;6,9;7,1;
Alvesta;0764;Kronobergs län;07;Kommunal;Svenska;93,3;91,9;94,5;154;68;86;~100;100,0;~100;13,8;15,6;12,4;
Alvesta;0764;Kronobergs län;07;Kommunal;Engelska;91,8;91,6;92,0;213;98;115;85,9;87,8;84,3;12,4;12,7;12,2;
Aneby;0604;Jönköpings län;06;Samtliga;Engelska;95,8;93,5;97,6;69;29;40;~100;~100;~100;14,3;12,9;15,3;
Aneby;0604;Jönköpings län;06;Samtliga;Matematik;95,8;93,5;97,6;69;29;40;88,4;..;~100;10,9;9,1;12,2;
Aneby;0604;Jönköpings län;06;Samtliga;Svenska;94,5;90,9;97,0;52;20;32;~100;~100;100,0;13,5;13,0;13,8;
Aneby;0604;Jönköpings län;06;Samtliga;Svenska som andraspråk;100,0;..;..;17;..;..;100,0;..;..;12,6;..;..;
Aneby;0604;Jönköpings län;06;Kommunal;Svenska;96,3;90,9;100,0;52;20;32;~100;~100;100,0;13,5;13,0;13,8;
Aneby;0604;Jönköpings län;06;Kommunal;Svenska som andraspråk;100,0;..;..;17;..;..;100,0;..;..;12,6;..;..;
Aneby;0604;Jönköpings län;06;Kommunal;Matematik;97,2;93,5;100,0;69;29;40;88,4;..;~100;10,9;9,1;12,2;
Aneby;0604;Jönköpings län;06;Kommunal;Engelska;97,2;93,5;100,0;69;29;40;~100;~100;~100;14,3;12,9;15,3;
Arboga;1984;Västmanlands län;19;Samtliga;Engelska;90,0;84,1;95,5;153;69;84;94,1;~100;..;14,0;13,8;14,1;
Arboga;1984;Västmanlands län;19;Samtliga;Matematik;84,7;80,5;88,6;144;66;78;70,8;68,2;73,1;8,5;8,1;8,8;
Arboga;1984;Västmanlands län;19;Samtliga;Svenska;90,7;86,5;94,7;136;64;72;94,1;~100;..;12,9;14,3;11,8;
Arboga;1984;Västmanlands län;19;Samtliga;Svenska som andraspråk;80,0;..;..;16;..;..;~100;..;..;12,5;..;..;
Arboga;1984;Västmanlands län;19;Kommunal;Engelska;90,0;84,1;95,5;153;69;84;94,1;~100;..;14,0;13,8;14,1;
Arboga;1984;Västmanlands län;19;Kommunal;Matematik;84,7;80,5;88,6;144;66;78;70,8;68,2;73,1;8,5;8,1;8,8;
Arboga;1984;Västmanlands län;19;Kommunal;Svenska;90,7;86,5;94,7;136;64;72;94,1;~100;..;12,9;14,3;11,8;
Arboga;1984;Västmanlands län;19;Kommunal;Svenska som andraspråk;80,0;..;..;16;..;..;~100;..;..;12,5;..;..;
Arjeplog;2506;Norrbottens län;25;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Arjeplog;2506;Norrbottens län;25;Samtliga;Engelska;82,1;87,5;..;23;..;..;100,0;100,0;..;14,2;13,8;..;
Arjeplog;2506;Norrbottens län;25;Samtliga;Matematik;85,7;81,3;91,7;24;13;11;~100;~100;100,0;11,1;10,8;11,6;
Arjeplog;2506;Norrbottens län;25;Samtliga;Svenska;83,3;78,6;..;20;..;..;~100;~100;..;12,0;13,2;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Matematik;85,7;81,3;91,7;24;13;11;~100;~100;100,0;11,1;10,8;11,6;
Arjeplog;2506;Norrbottens län;25;Kommunal;Svenska;83,3;78,6;..;20;..;..;~100;~100;..;12,0;13,2;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Engelska;82,1;87,5;..;23;..;..;100,0;100,0;..;14,2;13,8;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Svenska;95,3;94,3;96,6;61;33;28;~100;100,0;~100;13,3;14,3;12,1;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Engelska;92,3;94,3;90,0;60;33;27;100,0;100,0;100,0;15,0;15,2;14,6;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Matematik;92,3;94,3;90,0;60;33;27;70,0;78,8;59,3;8,6;9,5;7,6;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Matematik;92,3;94,3;90,0;60;33;27;70,0;78,8;59,3;8,6;9,5;7,6;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Svenska;95,3;94,3;96,6;61;33;28;~100;100,0;~100;13,3;14,3;12,1;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Engelska;92,3;94,3;90,0;60;33;27;100,0;100,0;100,0;15,0;15,2;14,6;
Arvika;1784;Värmlands län;17;Samtliga;Svenska;93,9;94,6;93,1;230;122;108;~100;~100;~100;14,2;15,4;12,8;
Arvika;1784;Värmlands län;17;Samtliga;Engelska;93,8;93,5;94,2;259;130;129;96,9;~100;..;14,8;15,3;14,3;
Arvika;1784;Värmlands län;17;Samtliga;Svenska som andraspråk;90,3;..;90,5;28;..;..;64,3;..;52,6;8,0;..;6,6;
Arvika;1784;Värmlands län;17;Samtliga;Matematik;92,8;91,4;94,2;256;127;129;90,2;90,6;89,9;11,2;11,3;11,1;
Arvika;1784;Värmlands län;17;Kommunal;Svenska som andraspråk;90,3;..;90,5;28;..;..;64,3;..;52,6;8,0;..;6,6;
Arvika;1784;Värmlands län;17;Kommunal;Svenska;92,9;93,6;92,2;182;88;94;~100;~100;~100;13,8;15,1;12,6;
Arvika;1784;Värmlands län;17;Kommunal;Engelska;93,4;93,3;93,5;212;97;115;96,2;~100;..;14,4;14,9;14,1;
Arvika;1784;Värmlands län;17;Kommunal;Matematik;93,0;92,3;93,5;211;96;115;89,6;89,6;89,6;11,1;11,2;11,1;
Arvika;1784;Värmlands län;17;Enskild;Svenska;98,0;97,1;100,0;48;34;14;100,0;100,0;100,0;15,5;16,3;13,6;
Arvika;1784;Värmlands län;17;Enskild;Engelska;95,9;94,3;100,0;47;33;14;100,0;100,0;100,0;16,6;16,7;16,4;
Arvika;1784;Värmlands län;17;Enskild;Matematik;91,8;88,6;100,0;45;31;14;~100;~100;~100;11,7;11,7;11,6;
Askersund;1882;Örebro län;18;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Askersund;1882;Örebro län;18;Samtliga;Matematik;88,9;94,6;83,6;104;53;51;76,0;75,5;76,5;9,7;10,0;9,5;
Askersund;1882;Örebro län;18;Samtliga;Engelska;86,3;92,9;80,3;101;52;49;94,1;~100;~100;14,4;14,5;14,2;
Askersund;1882;Örebro län;18;Samtliga;Svenska;90,7;92,5;89,1;98;49;49;~100;~100;~100;14,1;15,1;13,2;
Askersund;1882;Örebro län;18;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Askersund;1882;Örebro län;18;Kommunal;Engelska;86,3;92,9;80,3;101;52;49;94,1;~100;~100;14,4;14,5;14,2;
Askersund;1882;Örebro län;18;Kommunal;Matematik;88,9;94,6;83,6;104;53;51;76,0;75,5;76,5;9,7;10,0;9,5;
Askersund;1882;Örebro län;18;Kommunal;Svenska;90,7;92,5;89,1;98;49;49;~100;~100;~100;14,1;15,1;13,2;
Avesta;2084;Dalarnas län;20;Samtliga;Matematik;88,8;91,1;86,6;199;102;97;78,9;73,5;84,5;9,5;9,2;9,9;
Avesta;2084;Dalarnas län;20;Samtliga;Engelska;89,7;91,1;88,4;201;102;99;93,0;..;~100;13,8;13,3;14,4;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska som andraspråk;92,3;96,3;83,3;36;26;10;30,6;..;..;3,5;2,4;6,3;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska;92,4;97,6;88,0;171;83;88;93,6;~100;..;12,8;14,4;11,4;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska;92,4;97,6;88,0;171;83;88;93,6;~100;..;12,8;14,4;11,4;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska som andraspråk;92,3;96,3;83,3;36;26;10;30,6;..;..;3,5;2,4;6,3;
Avesta;2084;Dalarnas län;20;Kommunal;Engelska;89,7;91,1;88,4;201;102;99;93,0;..;~100;13,8;13,3;14,4;
Avesta;2084;Dalarnas län;20;Kommunal;Matematik;88,8;91,1;86,6;199;102;97;78,9;73,5;84,5;9,5;9,2;9,9;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Engelska;85,2;84,9;85,5;98;45;53;91,8;~100;~100;14,4;15,3;13,7;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Matematik;93,0;88,7;96,8;107;47;60;72,9;83,0;65,0;8,8;10,5;7,4;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska som andraspråk;76,5;62,5;88,9;26;10;16;57,7;..;..;7,5;8,0;7,2;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska;97,5;97,3;97,7;79;36;43;~100;100,0;~100;14,3;17,6;11,6;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Matematik;93,0;88,7;96,8;107;47;60;72,9;83,0;65,0;8,8;10,5;7,4;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska som andraspråk;76,5;62,5;88,9;26;10;16;57,7;..;..;7,5;8,0;7,2;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Engelska;85,2;84,9;85,5;98;45;53;91,8;~100;~100;14,4;15,3;13,7;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska;97,5;97,3;97,7;79;36;43;~100;100,0;~100;14,3;17,6;11,6;
Berg;2326;Jämtlands län;23;Samtliga;Matematik;90,8;95,6;85,7;79;43;36;81,0;76,7;86,1;10,7;10,9;10,4;
Berg;2326;Jämtlands län;23;Samtliga;Engelska;88,5;86,7;90,5;77;39;38;92,2;~100;..;14,4;15,6;13,3;
Berg;2326;Jämtlands län;23;Kommunal;Engelska;88,5;86,7;90,5;77;39;38;92,2;~100;..;14,4;15,6;13,3;
Berg;2326;Jämtlands län;23;Kommunal;Matematik;90,8;95,6;85,7;79;43;36;81,0;76,7;86,1;10,7;10,9;10,4;
Bjurholm;2403;Västerbottens län;24;Samtliga;Svenska;100,0;..;100,0;26;..;..;~100;..;~100;12,8;..;11,9;
Bjurholm;2403;Västerbottens län;24;Samtliga;Matematik;89,3;100,0;83,3;25;10;15;76,0;..;~100;8,8;8,0;9,3;
Bjurholm;2403;Västerbottens län;24;Samtliga;Engelska;92,9;100,0;88,9;26;10;16;~100;..;~100;13,3;13,8;13,0;
Bjurholm;2403;Västerbottens län;24;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;Svenska;100,0;..;100,0;26;..;..;~100;..;~100;12,8;..;11,9;
Bjurholm;2403;Västerbottens län;24;Kommunal;Engelska;92,9;100,0;88,9;26;10;16;~100;..;~100;13,3;13,8;13,0;
Bjurholm;2403;Västerbottens län;24;Kommunal;Matematik;89,3;100,0;83,3;25;10;15;76,0;..;~100;8,8;8,0;9,3;
Bjuv;1260;Skåne län;12;Samtliga;Engelska;88,0;88,0;87,9;161;81;80;90,7;91,4;90,0;14,2;14,8;13,6;
Bjuv;1260;Skåne län;12;Samtliga;Matematik;80,3;79,3;81,3;147;73;74;84,4;93,2;75,7;10,7;12,1;9,3;
Bjuv;1260;Skåne län;12;Samtliga;Svenska;94,8;96,2;93,3;145;75;70;91,0;100,0;81,4;12,4;14,7;9,9;
Bjuv;1260;Skåne län;12;Samtliga;Svenska som andraspråk;62,1;..;62,5;18;..;..;..;..;..;5,7;..;4,3;
Bjuv;1260;Skåne län;12;Kommunal;Engelska;88,0;88,0;87,9;161;81;80;90,7;91,4;90,0;14,2;14,8;13,6;
Bjuv;1260;Skåne län;12;Kommunal;Matematik;80,3;79,3;81,3;147;73;74;84,4;93,2;75,7;10,7;12,1;9,3;
Bjuv;1260;Skåne län;12;Kommunal;Svenska;94,8;96,2;93,3;145;75;70;91,0;100,0;81,4;12,4;14,7;9,9;
Bjuv;1260;Skåne län;12;Kommunal;Svenska som andraspråk;62,1;..;62,5;18;..;..;..;..;..;5,7;..;4,3;
Boden;2582;Norrbottens län;25;Samtliga;Matematik;86,7;87,1;86,2;234;122;112;77,4;75,4;79,5;9,3;9,0;9,6;
Boden;2582;Norrbottens län;25;Samtliga;Engelska;87,8;87,1;88,5;237;122;115;97,0;~100;~100;14,5;14,3;14,6;
Boden;2582;Norrbottens län;25;Samtliga;Svenska;93,1;94,5;91,6;230;121;109;93,0;~100;..;12,8;14,0;11,4;
Boden;2582;Norrbottens län;25;Samtliga;Svenska som andraspråk;65,2;..;..;15;..;..;66,7;..;..;8,0;..;..;
Boden;2582;Norrbottens län;25;Kommunal;Svenska som andraspråk;61,9;..;..;13;..;..;..;..;..;7,3;..;..;
Boden;2582;Norrbottens län;25;Kommunal;Svenska;92,9;94,2;91,1;169;97;72;90,5;~100;..;12,0;13,5;9,9;
Boden;2582;Norrbottens län;25;Kommunal;Matematik;86,7;85,8;87,8;176;97;79;76,7;76,3;77,2;9,1;9,0;9,2;
Boden;2582;Norrbottens län;25;Kommunal;Engelska;86,2;85,0;87,8;175;96;79;96,0;~100;~100;13,9;13,9;13,8;
Boden;2582;Norrbottens län;25;Enskild;Matematik;86,6;92,6;82,5;58;25;33;79,3;72,0;84,8;9,8;8,8;10,6;
Boden;2582;Norrbottens län;25;Enskild;Engelska;92,5;96,3;90,0;62;26;36;100,0;100,0;100,0;16,0;15,8;16,3;
Boden;2582;Norrbottens län;25;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Boden;2582;Norrbottens län;25;Enskild;Svenska;93,8;96,0;92,5;61;24;37;100,0;100,0;100,0;15,1;16,3;14,3;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska;94,0;92,2;96,2;109;59;50;~100;100,0;~100;14,0;15,3;12,5;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Engelska;96,7;95,4;98,2;117;62;55;~100;~100;~100;15,4;15,1;15,7;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Matematik;95,0;93,8;96,4;115;61;54;78,3;80,3;75,9;9,8;10,0;9,7;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;.;..;..;..;..;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska;94,0;92,2;96,2;109;59;50;~100;100,0;~100;14,0;15,3;12,5;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;.;..;..;..;..;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Matematik;95,0;93,8;96,4;115;61;54;78,3;80,3;75,9;9,8;10,0;9,7;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Engelska;96,7;95,4;98,2;117;62;55;~100;~100;~100;15,4;15,1;15,7;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Matematik;91,8;91,8;91,8;281;146;135;72,6;74,7;70,4;8,8;9,2;8,3;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Engelska;90,2;90,6;89,8;276;144;132;92,0;95,8;87,9;13,1;13,4;12,8;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Svenska som andraspråk;77,1;77,3;76,9;37;17;20;56,8;64,7;50,0;6,3;7,5;5,3;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Svenska;92,2;95,6;88,4;238;131;107;93,7;~100;..;12,3;13,6;10,7;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Svenska som andraspråk;77,8;80,0;76,0;35;16;19;54,3;..;..;6,1;7,3;5,0;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Svenska;92,3;97,2;87,3;131;69;62;93,1;~100;..;12,2;13,5;10,6;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Matematik;92,5;94,5;90,6;173;86;87;71,7;77,9;65,5;8,7;9,6;7,9;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Engelska;88,8;91,2;86,5;166;83;83;87,3;94,0;80,7;12,3;13,0;11,5;
Bollnäs;2183;Gävleborgs län;21;Enskild;Matematik;90,8;88,2;94,1;108;60;48;74,1;70,0;79,2;8,8;8,7;9,0;
Bollnäs;2183;Gävleborgs län;21;Enskild;Engelska;92,4;89,7;96,1;110;61;49;~100;~100;100,0;14,4;13,9;15,1;
Bollnäs;2183;Gävleborgs län;21;Enskild;Svenska;92,2;93,9;90,0;107;62;45;94,4;~100;~100;12,5;13,7;10,7;
Bollnäs;2183;Gävleborgs län;21;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borgholm;0885;Kalmar län;08;Samtliga;Matematik;93,3;86,2;96,7;84;25;59;64,3;60,0;66,1;8,0;7,9;8,1;
Borgholm;0885;Kalmar län;08;Samtliga;Svenska;95,8;96,0;95,7;69;24;45;~100;~100;100,0;14,2;14,0;14,3;
Borgholm;0885;Kalmar län;08;Samtliga;Svenska som andraspråk;88,9;..;85,7;16;..;..;62,5;..;..;6,9;..;7,3;
Borgholm;0885;Kalmar län;08;Samtliga;Engelska;97,8;100,0;96,7;88;29;59;86,4;82,8;88,1;12,6;11,4;13,2;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska;95,8;96,0;95,7;69;24;45;~100;~100;100,0;14,2;14,0;14,3;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska som andraspråk;88,9;..;85,7;16;..;..;62,5;..;..;6,9;..;7,3;
Borgholm;0885;Kalmar län;08;Kommunal;Matematik;93,3;86,2;96,7;84;25;59;64,3;60,0;66,1;8,0;7,9;8,1;
Borgholm;0885;Kalmar län;08;Kommunal;Engelska;97,8;100,0;96,7;88;29;59;86,4;82,8;88,1;12,6;11,4;13,2;
Borlänge;2081;Dalarnas län;20;Samtliga;Engelska;85,8;85,7;86,0;549;293;256;93,1;93,2;93,0;14,1;14,2;14,1;
Borlänge;2081;Dalarnas län;20;Samtliga;Matematik;85,5;86,0;84,9;548;294;254;68,4;67,7;69,3;8,4;8,3;8,4;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska;91,1;91,2;90,9;470;249;221;90,9;93,6;87,8;12,5;13,8;11,1;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska som andraspråk;87,2;85,5;89,3;109;59;50;68,8;71,2;66,0;8,0;8,6;7,2;
Borlänge;2081;Dalarnas län;20;Kommunal;Matematik;86,8;87,2;86,5;468;251;217;66,2;66,9;65,4;8,1;8,3;7,9;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska som andraspråk;86,2;84,4;88,5;100;54;46;68,0;70,4;65,2;7,9;8,6;7,1;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska;92,0;91,5;92,5;389;205;184;90,2;92,7;87,5;12,4;13,6;11,1;
Borlänge;2081;Dalarnas län;20;Kommunal;Engelska;87,2;86,8;87,6;469;250;219;92,1;92,0;92,2;13,8;13,9;13,8;
Borlänge;2081;Dalarnas län;20;Enskild;Engelska;78,4;79,6;77,1;80;43;37;~100;100,0;~100;16,0;16,2;15,8;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska;87,1;89,8;84,1;81;44;37;93,8;~100;~100;13,1;14,7;11,1;
Borlänge;2081;Dalarnas län;20;Enskild;Matematik;78,4;79,6;77,1;80;43;37;81,3;..;~100;10,0;8,7;11,6;
Borås;1490;Västra Götalands län;14;Samtliga;Svenska som andraspråk;78,0;73,1;80,6;117;38;79;52,1;47,4;54,4;6,2;5,8;6,4;
Borås;1490;Västra Götalands län;14;Samtliga;Svenska;94,0;94,1;93,8;1 042;498;544;94,5;97,6;91,7;13,2;14,4;12,1;
Borås;1490;Västra Götalands län;14;Samtliga;Matematik;91,0;91,1;90,9;1 149;530;619;82,9;81,5;84,2;10,8;10,8;10,8;
Borås;1490;Västra Götalands län;14;Samtliga;Engelska;91,4;93,1;89,9;1 154;542;612;95,7;95,9;95,4;14,8;14,9;14,7;
Borås;1490;Västra Götalands län;14;Kommunal;Matematik;89,6;89,6;89,6;941;424;517;80,1;77,8;82,0;10,2;10,0;10,3;
Borås;1490;Västra Götalands län;14;Kommunal;Svenska som andraspråk;75,4;71,4;77,6;101;35;66;47,5;45,7;48,5;5,6;5,6;5,7;
Borås;1490;Västra Götalands län;14;Kommunal;Svenska;93,3;93,4;93,3;851;395;456;93,7;97,2;90,6;12,8;14,0;11,7;
Borås;1490;Västra Götalands län;14;Kommunal;Engelska;90,5;92,4;88,9;950;437;513;94,8;95,2;94,5;14,3;14,4;14,3;
Borås;1490;Västra Götalands län;14;Enskild;Engelska;95,8;96,3;95,2;204;105;99;~100;~100;100,0;17,0;17,1;16,8;
Borås;1490;Västra Götalands län;14;Enskild;Matematik;97,7;97,2;98,1;208;106;102;95,7;~100;..;13,8;14,1;13,6;
Borås;1490;Västra Götalands län;14;Enskild;Svenska;97,0;97,2;96,7;191;103;88;~100;~100;~100;15,1;16,0;14,1;
Borås;1490;Västra Götalands län;14;Enskild;Svenska som andraspråk;100,0;..;100,0;16;..;..;~100;..;~100;9,8;..;10,2;
Botkyrka;0127;Stockholms län;01;Samtliga;Engelska;89,6;91,0;88,3;889;437;452;95,4;94,7;96,0;14,8;14,9;14,8;
Botkyrka;0127;Stockholms län;01;Samtliga;Matematik;87,5;87,5;87,5;867;420;447;82,2;80,7;83,7;10,4;10,2;10,5;
Botkyrka;0127;Stockholms län;01;Samtliga;Svenska som andraspråk;85,9;84,9;86,7;328;146;182;78,7;84,9;73,6;9,9;11,0;9,0;
Botkyrka;0127;Stockholms län;01;Samtliga;Svenska;93,4;93,5;93,4;570;288;282;96,3;~100;..;14,1;15,2;13,1;
Botkyrka;0127;Stockholms län;01;Kommunal;Matematik;86,7;86,9;86,5;730;351;379;83,3;82,6;83,9;10,4;10,4;10,5;
Botkyrka;0127;Stockholms län;01;Kommunal;Svenska som andraspråk;85,2;85,2;85,1;281;127;154;76,2;84,3;69,5;9,3;10,8;8,1;
Botkyrka;0127;Stockholms län;01;Kommunal;Svenska;93,8;93,3;94,2;480;238;242;96,0;~100;..;14,0;15,2;12,8;
Botkyrka;0127;Stockholms län;01;Kommunal;Engelska;89,4;91,8;87,2;753;371;382;95,1;94,3;95,8;14,7;14,8;14,6;
