Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2018/19

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska som andraspråk;76,3;64,7;85,7;29;11;18;82,8;~100;~100;10,3;11,6;9,4;
Ale;1440;Västra Götalands län;14;Samtliga;Engelska;86,5;90,2;82,8;300;156;144;96,0;95,5;96,5;14,8;15,2;14,3;
Ale;1440;Västra Götalands län;14;Samtliga;Matematik;87,9;89,0;86,8;305;154;151;80,7;83,1;78,1;10,0;10,6;9,4;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska;90,6;94,2;86,9;280;147;133;95,7;~100;..;13,5;14,9;11,8;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska som andraspråk;76,3;64,7;85,7;29;11;18;82,8;~100;~100;10,3;11,6;9,4;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska;90,1;93,5;86,9;256;130;126;95,3;~100;..;13,3;14,8;11,8;
Ale;1440;Västra Götalands län;14;Kommunal;Engelska;85,7;89,1;82,5;276;139;137;95,7;95,0;96,4;14,5;14,9;14,2;
Ale;1440;Västra Götalands län;14;Kommunal;Matematik;87,3;87,8;86,7;281;137;144;79,7;81,8;77,8;9,7;10,1;9,2;
Ale;1440;Västra Götalands län;14;Enskild;Matematik;96,0;100,0;..;24;..;..;~100;~100;..;13,8;14,1;..;
