Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Arboga;1984;Västmanlands län;19;Samtliga;Matematik;126;53;73;79,4;71,7;84,9;10,1;8,9;11,0;86,3;82,8;89,0;
Arboga;1984;Västmanlands län;19;Samtliga;Engelska;125;52;73;~100;~100;100,0;14,5;13,8;15,0;85,6;81,3;89,0;
Arboga;1984;Västmanlands län;19;Kommunal;Svenska som andraspråk;10;..;..;..;..;..;11,0;..;..;55,6;..;..;
Arboga;1984;Västmanlands län;19;Kommunal;Svenska;112;49;63;89,3;~100;..;11,4;12,0;11,0;87,5;87,5;87,5;
Arboga;1984;Västmanlands län;19;Kommunal;Matematik;126;53;73;79,4;71,7;84,9;10,1;8,9;11,0;86,3;82,8;89,0;
Arboga;1984;Västmanlands län;19;Kommunal;Engelska;125;52;73;~100;~100;100,0;14,5;13,8;15,0;85,6;81,3;89,0;
Arjeplog;2506;Norrbottens län;25;Samtliga;Matematik;13;..;..;100,0;..;..;14,8;..;..;68,4;..;..;
Arjeplog;2506;Norrbottens län;25;Samtliga;Svenska;15;..;..;100,0;..;..;13,8;..;..;78,9;..;..;
Arjeplog;2506;Norrbottens län;25;Samtliga;Engelska;15;..;..;100,0;..;..;14,7;..;..;78,9;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Svenska;15;..;..;100,0;..;..;13,8;..;..;78,9;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Engelska;15;..;..;100,0;..;..;14,7;..;..;78,9;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Matematik;13;..;..;100,0;..;..;14,8;..;..;68,4;..;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Matematik;53;20;33;75,5;75,0;75,8;9,5;9,4;9,6;93,0;87,0;97,1;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Engelska;50;19;31;~100;~100;100,0;15,2;14,5;15,6;87,7;82,6;91,2;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Svenska;52;21;31;84,6;~100;..;10,7;13,1;9,0;92,9;91,3;93,9;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Matematik;53;20;33;75,5;75,0;75,8;9,5;9,4;9,6;93,0;87,0;97,1;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Engelska;50;19;31;~100;~100;100,0;15,2;14,5;15,6;87,7;82,6;91,2;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Svenska;52;21;31;84,6;~100;..;10,7;13,1;9,0;92,9;91,3;93,9;
Arvika;1784;Värmlands län;17;Samtliga;Svenska som andraspråk;22;10;12;~100;..;~100;9,2;8,5;9,8;78,6;76,9;80,0;
Arvika;1784;Värmlands län;17;Samtliga;Matematik;249;128;121;83,9;83,6;84,3;10,8;11,0;10,7;86,5;87,1;85,8;
Arvika;1784;Värmlands län;17;Samtliga;Engelska;251;125;126;97,2;~100;~100;15,0;14,8;15,2;87,2;85,0;89,4;
Arvika;1784;Värmlands län;17;Samtliga;Svenska;239;123;116;90,8;95,9;85,3;12,0;13,3;10,5;92,3;92,5;92,1;
Arvika;1784;Värmlands län;17;Kommunal;Svenska som andraspråk;20;..;..;~100;..;..;8,8;..;9,1;83,3;..;84,6;
Arvika;1784;Värmlands län;17;Kommunal;Svenska;202;95;107;89,6;94,7;85,0;11,6;12,8;10,5;91,4;91,4;91,5;
Arvika;1784;Värmlands län;17;Kommunal;Matematik;211;101;110;82,5;81,2;83,6;10,6;10,5;10,7;85,8;87,1;84,6;
Arvika;1784;Värmlands län;17;Kommunal;Engelska;214;99;115;97,7;~100;~100;14,9;14,6;15,2;87,0;85,3;88,5;
Arvika;1784;Värmlands län;17;Enskild;Engelska;37;26;11;~100;~100;100,0;15,3;15,3;15,2;88,1;83,9;100,0;
Arvika;1784;Värmlands län;17;Enskild;Matematik;38;27;11;~100;~100;~100;12,3;12,9;10,9;90,5;87,1;100,0;
Arvika;1784;Värmlands län;17;Enskild;Svenska;37;..;..;~100;100,0;..;13,9;15,1;..;97,4;96,6;..;
Arvika;1784;Värmlands län;17;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Askersund;1882;Örebro län;18;Samtliga;Matematik;88;34;54;67,0;67,6;66,7;8,6;9,3;8,1;82,2;81,0;83,1;
Askersund;1882;Örebro län;18;Samtliga;Engelska;96;39;57;~100;100,0;~100;13,9;14,8;13,3;89,7;92,9;87,7;
Askersund;1882;Örebro län;18;Samtliga;Svenska;91;35;56;78,0;100,0;64,3;10,6;14,5;8,1;86,7;85,4;87,5;
Askersund;1882;Örebro län;18;Kommunal;Matematik;88;34;54;67,0;67,6;66,7;8,6;9,3;8,1;82,2;81,0;83,1;
Askersund;1882;Örebro län;18;Kommunal;Engelska;96;39;57;~100;100,0;~100;13,9;14,8;13,3;89,7;92,9;87,7;
Askersund;1882;Örebro län;18;Kommunal;Svenska;91;35;56;78,0;100,0;64,3;10,6;14,5;8,1;86,7;85,4;87,5;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska;189;89;100;87,3;93,3;82,0;10,9;12,1;9,8;95,5;94,7;96,2;
Avesta;2084;Dalarnas län;20;Samtliga;Matematik;215;100;115;85,6;82,0;88,7;10,5;9,9;11,0;91,1;90,1;92,0;
Avesta;2084;Dalarnas län;20;Samtliga;Engelska;221;106;115;96,4;~100;~100;14,0;13,8;14,1;93,6;95,5;92,0;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska som andraspråk;32;15;17;68,8;66,7;70,6;7,7;7,8;7,6;88,9;88,2;89,5;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska;189;89;100;87,3;93,3;82,0;10,9;12,1;9,8;95,5;94,7;96,2;
Avesta;2084;Dalarnas län;20;Kommunal;Matematik;215;100;115;85,6;82,0;88,7;10,5;9,9;11,0;91,1;90,1;92,0;
Avesta;2084;Dalarnas län;20;Kommunal;Engelska;221;106;115;96,4;~100;~100;14,0;13,8;14,1;93,6;95,5;92,0;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska som andraspråk;32;15;17;68,8;66,7;70,6;7,7;7,8;7,6;88,9;88,2;89,5;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Matematik;106;48;58;91,5;~100;..;11,8;11,7;11,9;96,4;96,0;96,7;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska som andraspråk;30;12;18;100,0;100,0;100,0;12,9;13,5;12,5;100,0;100,0;100,0;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska;74;34;40;~100;100,0;~100;13,4;14,2;12,8;92,5;89,5;95,2;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Engelska;106;49;57;~100;~100;100,0;15,4;14,7;15,9;96,4;98,0;95,0;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Engelska;106;49;57;~100;~100;100,0;15,4;14,7;15,9;96,4;98,0;95,0;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Matematik;106;48;58;91,5;~100;..;11,8;11,7;11,9;96,4;96,0;96,7;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska;74;34;40;~100;100,0;~100;13,4;14,2;12,8;92,5;89,5;95,2;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska som andraspråk;30;12;18;100,0;100,0;100,0;12,9;13,5;12,5;100,0;100,0;100,0;
Berg;2326;Jämtlands län;23;Samtliga;Engelska;57;22;35;100,0;100,0;100,0;15,9;15,3;16,2;83,8;88,0;81,4;
Berg;2326;Jämtlands län;23;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Berg;2326;Jämtlands län;23;Samtliga;Matematik;58;21;37;75,9;61,9;83,8;10,6;8,5;11,9;85,3;84,0;86,0;
Berg;2326;Jämtlands län;23;Samtliga;Svenska;53;19;34;~100;~100;~100;13,9;14,5;13,6;88,3;82,6;91,9;
Berg;2326;Jämtlands län;23;Kommunal;Svenska;53;19;34;~100;~100;~100;13,9;14,5;13,6;88,3;82,6;91,9;
Berg;2326;Jämtlands län;23;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Berg;2326;Jämtlands län;23;Kommunal;Matematik;58;21;37;75,9;61,9;83,8;10,6;8,5;11,9;85,3;84,0;86,0;
Berg;2326;Jämtlands län;23;Kommunal;Engelska;57;22;35;100,0;100,0;100,0;15,9;15,3;16,2;83,8;88,0;81,4;
Bjurholm;2403;Västerbottens län;24;Samtliga;Engelska;17;..;..;~100;..;~100;12,5;..;11,3;89,5;..;92,3;
Bjurholm;2403;Västerbottens län;24;Samtliga;Matematik;17;..;..;~100;..;~100;10,6;..;10,4;89,5;..;92,3;
Bjurholm;2403;Västerbottens län;24;Samtliga;Svenska;17;..;..;~100;..;~100;9,7;..;10,9;94,4;..;91,7;
Bjurholm;2403;Västerbottens län;24;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;Engelska;17;..;..;~100;..;~100;12,5;..;11,3;89,5;..;92,3;
