Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Huddinge;0126;Stockholms län;01;Samtliga;Svenska som andraspråk;211;92;119;70,6;79,3;63,9;8,6;9,5;7,8;90,6;89,3;91,5;
Huddinge;0126;Stockholms län;01;Kommunal;Matematik;998;491;507;82,5;79,8;85,0;11,3;10,8;11,7;89,2;89,6;88,8;
Huddinge;0126;Stockholms län;01;Kommunal;Svenska som andraspråk;152;69;83;63,8;76,8;53,0;7,7;9,3;6,4;87,9;87,3;88,3;
Huddinge;0126;Stockholms län;01;Kommunal;Svenska;879;440;439;95,9;98,0;93,8;13,2;14,1;12,4;92,9;93,8;92,0;
Huddinge;0126;Stockholms län;01;Kommunal;Engelska;1 018;495;523;96,2;95,6;96,7;15,6;15,4;15,7;91,0;90,3;91,6;
Huddinge;0126;Stockholms län;01;Enskild;Matematik;393;191;202;92,4;93,2;91,6;13,3;13,3;13,4;93,8;90,5;97,1;
Huddinge;0126;Stockholms län;01;Enskild;Svenska som andraspråk;59;23;36;88,1;~100;~100;10,7;10,2;11,0;98,3;95,8;100,0;
Huddinge;0126;Stockholms län;01;Enskild;Svenska;339;175;164;97,6;~100;..;14,6;15,7;13,4;94,4;93,6;95,3;
Huddinge;0126;Stockholms län;01;Enskild;Engelska;396;195;201;~100;~100;~100;17,6;17,6;17,5;94,5;92,4;96,6;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;Svenska som andraspråk;22;10;12;77,3;..;..;9,3;11,5;7,5;95,7;100,0;92,3;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;Engelska;389;181;208;94,6;93,4;95,7;14,4;14,3;14,5;89,2;89,6;88,9;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;Svenska;375;175;200;88,5;94,9;83,0;11,5;12,8;10,4;94,2;94,1;94,3;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;Matematik;394;178;216;87,6;89,3;86,1;11,0;11,0;11,0;90,4;88,1;92,3;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;Engelska;331;156;175;94,3;93,6;94,9;14,4;14,3;14,4;91,2;92,3;90,2;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;Matematik;330;150;180;88,8;90,7;87,2;11,1;11,1;11,1;90,9;88,8;92,8;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;Svenska som andraspråk;21;..;..;76,2;..;..;9,0;..;7,5;95,5;..;92,3;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;Svenska;315;148;167;87,9;95,3;81,4;11,5;12,8;10,3;96,6;96,1;97,1;
Hudiksvall;2184;Gävleborgs län;21;Enskild;Engelska;58;25;33;~100;~100;100,0;14,5;14,1;14,8;79,5;75,8;82,5;
Hudiksvall;2184;Gävleborgs län;21;Enskild;Matematik;64;28;36;81,3;82,1;80,6;10,4;10,4;10,4;87,7;84,8;90,0;
Hudiksvall;2184;Gävleborgs län;21;Enskild;Svenska;60;27;33;91,7;~100;~100;11,8;12,6;11,2;83,3;84,4;82,5;
Hudiksvall;2184;Gävleborgs län;21;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Hultsfred;0860;Kalmar län;08;Samtliga;Engelska;169;82;87;95,9;~100;~100;14,1;13,9;14,3;96,6;97,6;95,6;
Hultsfred;0860;Kalmar län;08;Samtliga;Matematik;166;80;86;85,5;78,8;91,9;10,7;9,8;11,6;94,9;95,2;94,5;
Hultsfred;0860;Kalmar län;08;Samtliga;Svenska;125;58;67;92,0;~100;..;12,2;13,5;11,2;95,4;95,1;95,7;
Hultsfred;0860;Kalmar län;08;Samtliga;Svenska som andraspråk;42;22;20;76,2;77,3;75,0;9,2;9,9;8,4;100,0;100,0;100,0;
Hultsfred;0860;Kalmar län;08;Kommunal;Engelska;118;57;61;~100;~100;~100;14,1;13,5;14,6;95,9;96,6;95,3;
Hultsfred;0860;Kalmar län;08;Kommunal;Matematik;117;57;60;80,3;70,2;90,0;10,0;8,8;11,2;95,1;96,6;93,8;
Hultsfred;0860;Kalmar län;08;Kommunal;Svenska som andraspråk;31;17;14;77,4;~100;~100;9,4;9,7;8,9;100,0;100,0;100,0;
Hultsfred;0860;Kalmar län;08;Kommunal;Svenska;85;39;46;94,1;~100;~100;12,5;13,7;11,5;94,4;95,1;93,9;
Hultsfred;0860;Kalmar län;08;Enskild;Engelska;51;25;26;~100;~100;~100;14,1;14,7;13,5;98,1;100,0;96,3;
Hultsfred;0860;Kalmar län;08;Enskild;Svenska;40;19;21;87,5;100,0;76,2;11,6;13,0;10,4;97,6;95,0;100,0;
Hultsfred;0860;Kalmar län;08;Enskild;Matematik;49;23;26;~100;100,0;~100;12,4;12,2;12,6;94,2;92,0;96,3;
Hultsfred;0860;Kalmar län;08;Enskild;Svenska som andraspråk;11;..;..;..;..;..;8,6;..;..;100,0;..;..;
Hylte;1315;Hallands län;13;Samtliga;Svenska;92;47;45;88,0;~100;..;11,6;13,4;9,8;87,6;88,7;86,5;
Hylte;1315;Hallands län;13;Samtliga;Matematik;113;54;59;88,5;85,2;91,5;11,8;11,4;12,2;86,3;88,5;84,3;
Hylte;1315;Hallands län;13;Samtliga;Svenska som andraspråk;23;..;..;43,5;..;..;5,3;..;5,0;88,5;..;83,3;
Hylte;1315;Hallands län;13;Samtliga;Engelska;111;52;59;95,5;~100;~100;14,7;15,0;14,4;84,7;85,2;84,3;
Hylte;1315;Hallands län;13;Kommunal;Svenska;86;44;42;87,2;~100;..;11,4;13,2;9,6;86,9;88,0;85,7;
Hylte;1315;Hallands län;13;Kommunal;Svenska som andraspråk;23;..;..;43,5;..;..;5,3;..;5,0;88,5;..;83,3;
Hylte;1315;Hallands län;13;Kommunal;Engelska;105;49;56;95,2;~100;~100;14,5;14,7;14,4;84,0;84,5;83,6;
Hylte;1315;Hallands län;13;Kommunal;Matematik;107;51;56;87,9;84,3;91,1;11,7;11,1;12,2;85,6;87,9;83,6;
Hylte;1315;Hallands län;13;Enskild;Svenska;..;..;..;..;..;..;..;..;..;..;..;..;
Hylte;1315;Hallands län;13;Enskild;Engelska;..;..;..;..;..;..;..;..;..;..;..;..;
Hylte;1315;Hallands län;13;Enskild;Matematik;..;..;..;..;..;..;..;..;..;..;..;..;
Hällefors;1863;Örebro län;18;Samtliga;Svenska som andraspråk;23;13;10;73,9;..;100,0;9,0;6,7;12,0;95,8;92,9;100,0;
Hällefors;1863;Örebro län;18;Samtliga;Svenska;48;21;27;~100;~100;~100;11,9;12,9;11,2;98,0;95,5;100,0;
Hällefors;1863;Örebro län;18;Samtliga;Matematik;65;30;35;76,9;73,3;80,0;10,0;9,2;10,7;89,0;83,3;94,6;
Hällefors;1863;Örebro län;18;Samtliga;Engelska;72;35;37;~100;~100;100,0;14,9;13,6;16,1;98,6;97,2;100,0;
Hällefors;1863;Örebro län;18;Kommunal;Svenska;48;21;27;~100;~100;~100;11,9;12,9;11,2;98,0;95,5;100,0;
Hällefors;1863;Örebro län;18;Kommunal;Svenska som andraspråk;23;13;10;73,9;..;100,0;9,0;6,7;12,0;95,8;92,9;100,0;
Hällefors;1863;Örebro län;18;Kommunal;Matematik;65;30;35;76,9;73,3;80,0;10,0;9,2;10,7;89,0;83,3;94,6;
Hällefors;1863;Örebro län;18;Kommunal;Engelska;72;35;37;~100;~100;100,0;14,9;13,6;16,1;98,6;97,2;100,0;
Härjedalen;2361;Jämtlands län;23;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Härjedalen;2361;Jämtlands län;23;Samtliga;Engelska;84;48;36;~100;~100;100,0;15,2;14,9;15,6;90,3;87,3;94,7;
Härjedalen;2361;Jämtlands län;23;Samtliga;Matematik;81;49;32;~100;~100;~100;12,2;12,4;11,9;87,1;89,1;84,2;
Härjedalen;2361;Jämtlands län;23;Samtliga;Svenska;81;46;35;93,8;100,0;85,7;13,7;14,9;12,1;95,3;92,0;100,0;
Härjedalen;2361;Jämtlands län;23;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Härjedalen;2361;Jämtlands län;23;Kommunal;Matematik;81;49;32;~100;~100;~100;12,2;12,4;11,9;87,1;89,1;84,2;
Härjedalen;2361;Jämtlands län;23;Kommunal;Svenska;81;46;35;93,8;100,0;85,7;13,7;14,9;12,1;95,3;92,0;100,0;
Härjedalen;2361;Jämtlands län;23;Kommunal;Engelska;84;48;36;~100;~100;100,0;15,2;14,9;15,6;90,3;87,3;94,7;
Härnösand;2280;Västernorrlands län;22;Samtliga;Matematik;268;139;129;76,9;78,4;75,2;9,8;10,0;9,5;89,3;87,4;91,5;
Härnösand;2280;Västernorrlands län;22;Samtliga;Svenska som andraspråk;42;14;28;76,2;~100;..;8,8;9,5;8,4;89,4;77,8;96,6;
Härnösand;2280;Västernorrlands län;22;Samtliga;Svenska;232;131;101;96,6;~100;..;13,6;14,2;12,8;93,6;93,6;93,6;
Härnösand;2280;Västernorrlands län;22;Samtliga;Engelska;276;144;132;93,5;93,1;93,9;14,0;14,0;14,0;92,0;90,6;93,6;
Härnösand;2280;Västernorrlands län;22;Kommunal;Matematik;248;130;118;76,2;78,5;73,7;9,7;10,1;9,3;89,9;88,4;91,5;
Härnösand;2280;Västernorrlands län;22;Kommunal;Engelska;252;132;120;92,9;92,4;93,3;13,8;13,7;13,9;91,3;89,8;93,0;
Härnösand;2280;Västernorrlands län;22;Kommunal;Svenska;211;120;91;96,2;~100;..;13,6;14,3;12,8;94,2;93,8;94,8;
Härnösand;2280;Västernorrlands län;22;Kommunal;Svenska som andraspråk;42;14;28;76,2;~100;..;8,8;9,5;8,4;89,4;77,8;96,6;
Härnösand;2280;Västernorrlands län;22;Enskild;Svenska;21;11;10;100,0;100,0;100,0;13,3;13,9;12,8;87,5;91,7;83,3;
Härnösand;2280;Västernorrlands län;22;Enskild;Matematik;20;..;..;~100;..;~100;10,5;..;11,6;83,3;..;91,7;
Härnösand;2280;Västernorrlands län;22;Enskild;Engelska;24;12;12;100,0;100,0;100,0;16,1;17,3;15,0;100,0;100,0;100,0;
Härryda;1401;Västra Götalands län;14;Samtliga;Svenska som andraspråk;23;12;11;73,9;..;..;8,0;8,1;8,0;74,2;80,0;68,8;
Härryda;1401;Västra Götalands län;14;Samtliga;Svenska;591;270;321;95,8;97,4;94,4;13,5;14,5;12,7;92,5;91,2;93,6;
Härryda;1401;Västra Götalands län;14;Samtliga;Matematik;596;270;326;91,8;90,4;92,9;13,0;12,6;13,3;89,0;86,8;90,8;
Härryda;1401;Västra Götalands län;14;Samtliga;Engelska;600;273;327;98,0;~100;..;16,3;16,2;16,4;89,6;87,8;91,1;
Härryda;1401;Västra Götalands län;14;Kommunal;Matematik;523;238;285;91,0;89,5;92,3;12,9;12,6;13,1;87,9;85,9;89,6;
Härryda;1401;Västra Götalands län;14;Kommunal;Svenska;519;238;281;95,2;97,1;93,6;13,4;14,4;12,5;92,0;90,8;93,0;
Härryda;1401;Västra Götalands län;14;Kommunal;Svenska som andraspråk;23;12;11;73,9;..;..;8,0;8,1;8,0;74,2;80,0;68,8;
Härryda;1401;Västra Götalands län;14;Kommunal;Engelska;531;242;289;97,9;~100;..;16,3;16,2;16,4;89,2;87,4;90,9;
Härryda;1401;Västra Götalands län;14;Enskild;Engelska;69;31;38;~100;100,0;~100;16,2;16,1;16,3;92,0;91,2;92,7;
Härryda;1401;Västra Götalands län;14;Enskild;Matematik;73;32;41;~100;~100;~100;13,6;12,7;14,3;97,3;94,1;100,0;
Härryda;1401;Västra Götalands län;14;Enskild;Svenska;72;32;40;100,0;100,0;100,0;14,5;15,2;13,9;96,0;94,1;97,6;
Hässleholm;1293;Skåne län;12;Samtliga;Matematik;553;267;286;79,6;80,5;78,7;10,5;10,7;10,3;86,5;85,0;88,0;
Hässleholm;1293;Skåne län;12;Samtliga;Svenska som andraspråk;86;37;49;73,3;67,6;77,6;9,0;9,2;8,9;86,0;82,2;89,1;
Hässleholm;1293;Skåne län;12;Samtliga;Engelska;561;281;280;96,1;95,0;97,1;15,2;15,2;15,2;87,8;89,5;86,2;
Hässleholm;1293;Skåne län;12;Samtliga;Svenska;476;241;235;93,7;96,3;91,1;12,8;13,9;11,6;89,8;90,3;89,4;
Hässleholm;1293;Skåne län;12;Kommunal;Svenska;392;188;204;92,3;95,2;89,7;12,4;13,5;11,3;88,3;87,9;88,7;
Hässleholm;1293;Skåne län;12;Kommunal;Svenska som andraspråk;69;30;39;66,7;60,0;71,8;7,9;8,0;7,8;84,1;78,9;88,6;
Hässleholm;1293;Skåne län;12;Kommunal;Matematik;459;213;246;76,9;77,0;76,8;10,1;10,1;10,0;85,8;83,9;87,5;
Hässleholm;1293;Skåne län;12;Kommunal;Engelska;465;224;241;95,9;94,6;97,1;15,0;15,0;15,0;86,9;88,2;85,8;
Hässleholm;1293;Skåne län;12;Enskild;Engelska;96;57;39;~100;~100;~100;16,3;16,2;16,5;92,3;95,0;88,6;
Hässleholm;1293;Skåne län;12;Enskild;Matematik;94;54;40;92,6;~100;~100;12,6;12,9;12,2;90,4;90,0;90,9;
Hässleholm;1293;Skåne län;12;Enskild;Svenska;84;53;31;100,0;100,0;100,0;14,5;15,3;13,1;97,7;100,0;93,9;
Hässleholm;1293;Skåne län;12;Enskild;Svenska som andraspråk;17;..;..;100,0;..;100,0;13,5;..;13,0;94,4;..;90,9;
Håbo;0305;Uppsala län;03;Samtliga;Svenska;291;147;144;96,9;~100;..;13,7;14,5;12,9;92,1;94,2;90,0;
Håbo;0305;Uppsala län;03;Samtliga;Matematik;292;144;148;78,4;75,7;81,1;10,4;10,0;10,9;88,5;89,4;87,6;
Håbo;0305;Uppsala län;03;Samtliga;Engelska;299;148;151;98,3;~100;~100;16,1;16,0;16,2;90,6;91,9;89,3;
Håbo;0305;Uppsala län;03;Samtliga;Svenska som andraspråk;11;..;..;..;..;..;6,6;..;..;78,6;..;..;
Håbo;0305;Uppsala län;03;Kommunal;Svenska som andraspråk;10;..;..;..;..;..;5,8;..;..;76,9;..;..;
Håbo;0305;Uppsala län;03;Kommunal;Engelska;226;104;122;97,8;~100;~100;15,8;15,3;16,2;88,6;88,9;88,4;
Håbo;0305;Uppsala län;03;Kommunal;Matematik;223;104;119;74,0;68,3;79,0;9,8;8,8;10,6;87,5;88,9;86,2;
Håbo;0305;Uppsala län;03;Kommunal;Svenska;219;105;114;95,9;~100;..;13,4;14,0;12,9;90,5;92,9;88,4;
Håbo;0305;Uppsala län;03;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Håbo;0305;Uppsala län;03;Enskild;Svenska;72;42;30;100,0;100,0;100,0;14,4;15,7;12,7;97,3;97,7;96,8;
Håbo;0305;Uppsala län;03;Enskild;Engelska;73;44;29;100,0;100,0;100,0;17,3;17,8;16,4;97,3;100,0;93,5;
Håbo;0305;Uppsala län;03;Enskild;Matematik;69;40;29;92,8;~100;~100;12,5;12,9;12,0;92,0;90,9;93,5;
Höganäs;1284;Skåne län;12;Samtliga;Svenska;288;154;134;95,5;~100;..;13,5;14,3;12,6;88,1;89,0;87,0;
Höganäs;1284;Skåne län;12;Samtliga;Matematik;318;157;161;88,7;87,9;89,4;12,2;12,1;12,2;90,1;86,7;93,6;
Höganäs;1284;Skåne län;12;Samtliga;Svenska som andraspråk;22;..;..;63,6;..;64,7;7,2;..;7,1;84,6;..;94,4;
Höganäs;1284;Skåne län;12;Samtliga;Engelska;318;166;152;~100;~100;100,0;16,2;16,1;16,3;90,1;91,7;88,4;
Höganäs;1284;Skåne län;12;Kommunal;Svenska som andraspråk;22;..;..;63,6;..;64,7;7,2;..;7,1;84,6;..;94,4;
Höganäs;1284;Skåne län;12;Kommunal;Svenska;269;146;123;95,2;~100;..;13,5;14,4;12,5;88,5;89,6;87,2;
Höganäs;1284;Skåne län;12;Kommunal;Matematik;299;150;149;89,6;89,3;89,9;12,3;12,4;12,3;90,6;87,7;93,7;
Höganäs;1284;Skåne län;12;Kommunal;Engelska;298;158;140;~100;~100;100,0;16,2;16,2;16,3;90,3;92,4;88,1;
Höganäs;1284;Skåne län;12;Enskild;Svenska;19;..;..;100,0;..;100,0;13,3;..;13,4;82,6;..;84,6;
Höganäs;1284;Skåne län;12;Enskild;Engelska;20;..;..;100,0;..;100,0;15,3;..;16,3;87,0;..;92,3;
Höganäs;1284;Skåne län;12;Enskild;Matematik;19;..;..;73,7;..;~100;9,5;..;10,6;82,6;..;92,3;
Högsby;0821;Kalmar län;08;Samtliga;Svenska;40;15;25;100,0;100,0;100,0;13,8;13,8;13,7;93,0;88,2;96,2;
Högsby;0821;Kalmar län;08;Samtliga;Matematik;51;19;32;76,5;63,2;84,4;9,5;6,8;11,0;79,7;79,2;80,0;
Högsby;0821;Kalmar län;08;Samtliga;Engelska;59;23;36;~100;~100;~100;14,1;13,3;14,7;92,2;95,8;90,0;
Högsby;0821;Kalmar län;08;Samtliga;Svenska som andraspråk;14;..;..;~100;..;..;7,3;..;..;66,7;..;..;
Högsby;0821;Kalmar län;08;Kommunal;Svenska som andraspråk;14;..;..;~100;..;..;7,3;..;..;66,7;..;..;
Högsby;0821;Kalmar län;08;Kommunal;Svenska;40;15;25;100,0;100,0;100,0;13,8;13,8;13,7;93,0;88,2;96,2;
Högsby;0821;Kalmar län;08;Kommunal;Engelska;59;23;36;~100;~100;~100;14,1;13,3;14,7;92,2;95,8;90,0;
Högsby;0821;Kalmar län;08;Kommunal;Matematik;51;19;32;76,5;63,2;84,4;9,5;6,8;11,0;79,7;79,2;80,0;
Hörby;1266;Skåne län;12;Samtliga;Svenska;159;79;80;95,6;~100;~100;13,2;13,1;13,3;95,2;94,0;96,4;
Hörby;1266;Skåne län;12;Samtliga;Matematik;181;90;91;82,3;77,8;86,8;10,8;9,9;11,6;95,8;94,7;96,8;
Hörby;1266;Skåne län;12;Samtliga;Engelska;178;89;89;~100;~100;~100;15,6;15,3;16,0;94,2;93,7;94,7;
Hörby;1266;Skåne län;12;Samtliga;Svenska som andraspråk;20;10;10;65,0;..;..;7,3;7,3;7,3;90,9;90,9;90,9;
Hörby;1266;Skåne län;12;Kommunal;Engelska;147;75;72;~100;~100;~100;15,4;14,9;15,8;95,5;96,2;94,7;
Hörby;1266;Skåne län;12;Kommunal;Matematik;148;75;73;79,1;73,3;84,9;10,2;9,4;11,1;96,1;96,2;96,1;
Hörby;1266;Skåne län;12;Kommunal;Svenska;127;65;62;94,5;~100;~100;12,8;12,5;13,0;95,5;95,6;95,4;
Hörby;1266;Skåne län;12;Kommunal;Svenska som andraspråk;19;..;..;63,2;..;..;7,1;..;7,3;90,5;..;90,9;
Hörby;1266;Skåne län;12;Enskild;Engelska;31;14;17;100,0;100,0;100,0;17,0;17,1;16,9;88,6;82,4;94,4;
Hörby;1266;Skåne län;12;Enskild;Matematik;33;15;18;~100;100,0;~100;13,4;12,8;13,9;94,3;88,2;100,0;
Hörby;1266;Skåne län;12;Enskild;Svenska;32;14;18;100,0;100,0;100,0;14,9;15,7;14,3;94,1;87,5;100,0;
Hörby;1266;Skåne län;12;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Höör;1267;Skåne län;12;Samtliga;Svenska;163;81;82;90,8;93,8;87,8;12,8;13,8;11,9;89,1;87,1;91,1;
Höör;1267;Skåne län;12;Samtliga;Svenska som andraspråk;16;..;..;..;..;..;6,1;..;6,5;100,0;..;100,0;
Höör;1267;Skåne län;12;Samtliga;Matematik;178;91;87;83,1;80,2;86,2;11,4;10,7;12,0;89,4;91,9;87,0;
Höör;1267;Skåne län;12;Samtliga;Engelska;174;86;88;95,4;~100;~100;14,7;14,7;14,7;87,4;86,9;88,0;
Höör;1267;Skåne län;12;Kommunal;Matematik;158;84;74;82,9;79,8;86,5;11,3;10,7;11,9;89,8;91,3;88,1;
Höör;1267;Skåne län;12;Kommunal;Svenska som andraspråk;16;..;..;..;..;..;6,1;..;6,5;100,0;..;100,0;
Höör;1267;Skåne län;12;Kommunal;Svenska;141;74;67;91,5;93,2;89,6;13,1;13,8;12,3;88,1;86,0;90,5;
Höör;1267;Skåne län;12;Kommunal;Engelska;152;80;72;94,7;~100;~100;14,5;14,5;14,5;86,4;87,0;85,7;
Höör;1267;Skåne län;12;Enskild;Svenska;22;..;..;~100;..;~100;11,0;..;10,0;95,7;..;93,8;
Höör;1267;Skåne län;12;Enskild;Matematik;20;..;..;~100;..;~100;11,9;..;12,5;87,0;..;81,3;
Höör;1267;Skåne län;12;Enskild;Engelska;22;..;..;100,0;..;100,0;16,1;..;15,8;95,7;..;100,0;
Jokkmokk;2510;Norrbottens län;25;Samtliga;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Jokkmokk;2510;Norrbottens län;25;Samtliga;Svenska;39;16;23;~100;~100;~100;12,1;12,8;11,5;100,0;100,0;100,0;
Jokkmokk;2510;Norrbottens län;25;Samtliga;Matematik;31;10;21;~100;..;~100;11,4;11,5;11,3;73,8;55,6;87,5;
Jokkmokk;2510;Norrbottens län;25;Samtliga;Engelska;38;15;23;~100;100,0;~100;15,9;16,8;15,3;90,5;83,3;95,8;
Jokkmokk;2510;Norrbottens län;25;Kommunal;Engelska;36;14;22;~100;100,0;~100;15,8;16,6;15,3;94,7;93,3;95,7;
Jokkmokk;2510;Norrbottens län;25;Kommunal;Matematik;28;..;..;~100;..;~100;12,1;..;11,9;73,7;..;87,0;
Jokkmokk;2510;Norrbottens län;25;Kommunal;Svenska;36;14;22;~100;~100;~100;12,3;13,4;11,6;100,0;100,0;100,0;
Jokkmokk;2510;Norrbottens län;25;Kommunal;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Jokkmokk;2510;Norrbottens län;25;Enskild;Svenska;..;..;..;..;..;..;..;..;..;..;..;..;
Jokkmokk;2510;Norrbottens län;25;Enskild;Engelska;..;..;..;..;..;..;..;..;..;..;..;..;
Jokkmokk;2510;Norrbottens län;25;Enskild;Matematik;..;..;..;..;..;..;..;..;..;..;..;..;
Järfälla;0123;Stockholms län;01;Samtliga;Svenska som andraspråk;101;41;60;72,3;75,6;70,0;8,5;8,7;8,4;86,3;87,2;85,7;
Järfälla;0123;Stockholms län;01;Samtliga;Svenska;707;327;380;94,1;97,2;91,3;13,4;14,5;12,4;92,1;91,1;92,9;
Järfälla;0123;Stockholms län;01;Samtliga;Matematik;801;366;435;90,6;91,3;90,1;12,5;12,2;12,7;90,5;90,1;90,8;
Järfälla;0123;Stockholms län;01;Samtliga;Engelska;779;355;424;97,8;97,5;98,1;16,3;16,3;16,4;88,0;87,4;88,5;
Järfälla;0123;Stockholms län;01;Kommunal;Svenska som andraspråk;73;31;42;64,4;67,7;61,9;7,3;7,5;7,1;83,9;86,1;82,4;
Järfälla;0123;Stockholms län;01;Kommunal;Svenska;566;249;317;92,6;96,4;89,6;12,8;13,9;12,0;90,9;88,9;92,4;
Järfälla;0123;Stockholms län;01;Kommunal;Engelska;610;267;343;97,4;96,6;98,0;15,9;15,8;16,0;85,9;84,5;87,1;
Järfälla;0123;Stockholms län;01;Kommunal;Matematik;632;278;354;91,9;93,2;91,0;12,5;12,5;12,6;89,0;88,0;89,8;
Järfälla;0123;Stockholms län;01;Enskild;Svenska som andraspråk;28;10;18;~100;100,0;~100;11,9;12,5;11,5;93,3;90,9;94,7;
Järfälla;0123;Stockholms län;01;Enskild;Svenska;141;78;63;100,0;100,0;100,0;15,5;16,1;14,7;97,2;98,7;95,5;
Järfälla;0123;Stockholms län;01;Enskild;Engelska;169;88;81;~100;100,0;~100;18,0;17,8;18,1;96,6;97,8;95,3;
Järfälla;0123;Stockholms län;01;Enskild;Matematik;169;88;81;85,8;85,2;86,4;12,4;11,5;13,4;96,6;97,8;95,3;
Jönköping;0680;Jönköpings län;06;Samtliga;Svenska som andraspråk;234;111;123;75,6;82,9;69,1;9,4;10,6;8,3;89,0;93,3;85,4;
Jönköping;0680;Jönköpings län;06;Samtliga;Svenska;1 389;682;707;93,7;96,5;91,1;12,8;14,0;11,7;93,7;93,3;94,1;
Jönköping;0680;Jönköpings län;06;Samtliga;Matematik;1 587;769;818;85,2;85,6;84,8;11,7;11,6;11,7;90,9;90,5;91,3;
Jönköping;0680;Jönköpings län;06;Samtliga;Engelska;1 603;783;820;97,9;97,7;98,2;15,6;15,6;15,5;91,9;92,1;91,6;
Jönköping;0680;Jönköpings län;06;Kommunal;Svenska;1 145;563;582;94,8;97,3;92,3;13,0;14,1;11,9;93,5;93,2;93,7;
Jönköping;0680;Jönköpings län;06;Kommunal;Matematik;1 304;630;674;84,7;85,7;83,7;11,6;11,7;11,6;90,7;90,1;91,3;
Jönköping;0680;Jönköpings län;06;Kommunal;Engelska;1 321;647;674;98,1;97,8;98,4;15,5;15,5;15,5;92,0;92,6;91,5;
Jönköping;0680;Jönköpings län;06;Kommunal;Svenska som andraspråk;183;87;96;76,0;80,5;71,9;9,4;10,1;8,7;86,7;91,6;82,8;
Jönköping;0680;Jönköpings län;06;Enskild;Engelska;282;136;146;97,2;~100;~100;15,8;16,2;15,4;91,3;90,1;92,4;
Jönköping;0680;Jönköpings län;06;Enskild;Matematik;283;139;144;87,6;84,9;90,3;11,9;11,6;12,1;91,6;92,1;91,1;
Jönköping;0680;Jönköpings län;06;Enskild;Svenska;244;119;125;88,9;92,4;85,6;12,2;13,5;10,9;94,9;93,7;96,2;
Jönköping;0680;Jönköpings län;06;Enskild;Svenska som andraspråk;51;24;27;74,5;~100;..;9,4;12,1;7,0;98,1;100,0;96,4;
Kalix;2514;Norrbottens län;25;Samtliga;Svenska;151;74;77;83,4;93,2;74,0;10,8;12,6;9,2;92,6;93,7;91,7;
Kalix;2514;Norrbottens län;25;Samtliga;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Kalix;2514;Norrbottens län;25;Samtliga;Matematik;152;74;78;78,9;77,0;80,8;9,8;9,4;10,2;89,9;90,2;89,7;
Kalix;2514;Norrbottens län;25;Samtliga;Engelska;157;77;80;96,8;~100;~100;14,4;14,5;14,3;92,9;93,9;92,0;
Kalix;2514;Norrbottens län;25;Kommunal;Matematik;133;63;70;79,7;79,4;80,0;10,0;9,8;10,1;91,7;91,3;92,1;
Kalix;2514;Norrbottens län;25;Kommunal;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Kalix;2514;Norrbottens län;25;Kommunal;Svenska;130;63;67;82,3;~100;..;10,8;12,9;8,8;93,5;95,5;91,8;
Kalix;2514;Norrbottens län;25;Kommunal;Engelska;140;68;72;96,4;~100;~100;14,4;14,6;14,1;96,6;98,6;94,7;
Kalix;2514;Norrbottens län;25;Enskild;Svenska;21;11;10;~100;~100;..;11,2;11,1;11,3;87,5;84,6;90,9;
Kalix;2514;Norrbottens län;25;Enskild;Matematik;19;..;..;73,7;..;..;8,6;7,3;..;79,2;84,6;..;
Kalix;2514;Norrbottens län;25;Enskild;Engelska;17;..;..;100,0;..;..;15,0;..;..;70,8;..;..;
