Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2022/23
Valt uttag: 2023-02-10

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;83,5;55,4;66,4;9,0;95;69;72,6;10;
Berg;2326;Jämtlands län;23;Samtliga;63,1;39,6;62,7;7,3;83;55;66,3;9;
Berg;2326;Jämtlands län;23;Kommunal;59,4;36,1;60,8;6,7;78;51;65,4;8;
Berg;2326;Jämtlands län;23;Enskild;3,7;3,5;93,9;0,7;8;6;75,0;1;
Bjurholm;2403;Västerbottens län;24;Samtliga;20,7;15,1;73,0;2,0;25;21;84,0;2;
Bjurholm;2403;Västerbottens län;24;Kommunal;20,7;15,1;73,0;2,0;25;21;84,0;2;
Bjuv;1260;Skåne län;12;Samtliga;141,4;94,8;67,0;16,0;162;127;78,4;17;
Bjuv;1260;Skåne län;12;Kommunal;141,4;94,8;67,0;16,0;162;127;78,4;17;
Boden;2582;Norrbottens län;25;Samtliga;212,6;132,9;62,5;16,0;245;181;73,9;17;
Boden;2582;Norrbottens län;25;Kommunal;161,8;104,2;64,4;11,3;188;140;74,5;12;
Boden;2582;Norrbottens län;25;Enskild;50,7;28,6;56,4;4,7;57;41;71,9;5;
Bollebygd;1443;Västra Götalands län;14;Samtliga;90,3;69,8;77,3;13,5;118;96;81,4;15;
Bollebygd;1443;Västra Götalands län;14;Kommunal;80,1;61,9;77,3;11,6;103;82;79,6;12;
Bollebygd;1443;Västra Götalands län;14;Enskild;10,2;7,9;77,0;1,9;15;14;93,3;3;
Bollnäs;2183;Gävleborgs län;21;Samtliga;206,5;146,2;70,8;30,6;243;190;78,2;33;
Bollnäs;2183;Gävleborgs län;21;Kommunal;156,2;114,2;73,1;23,8;184;145;78,8;26;
Bollnäs;2183;Gävleborgs län;21;Enskild;50,2;32,0;63,7;6,8;59;45;76,3;7;
Borgholm;0885;Kalmar län;08;Samtliga;64,5;45,1;70,0;6,7;78;64;82,1;8;
Borgholm;0885;Kalmar län;08;Kommunal;64,5;45,1;70,0;6,7;78;64;82,1;8;
Borlänge;2081;Dalarnas län;20;Samtliga;443,2;276,2;62,3;59,9;499;360;72,1;68;
Borlänge;2081;Dalarnas län;20;Kommunal;408,0;256,2;62,8;55,2;453;329;72,6;62;
Borlänge;2081;Dalarnas län;20;Enskild;35,2;20,0;56,9;4,7;46;31;67,4;6;
Borås;1490;Västra Götalands län;14;Samtliga;941,5;621,4;66,0;126,0;1 077;796;73,9;134;
Borås;1490;Västra Götalands län;14;Kommunal;857,3;570,7;66,6;115,0;983;728;74,1;122;
Borås;1490;Västra Götalands län;14;Enskild;84,2;50,7;60,2;11,1;95;69;72,6;12;
Botkyrka;0127;Stockholms län;01;Samtliga;664,7;429,8;64,7;88,7;726;567;78,1;96;
Botkyrka;0127;Stockholms län;01;Kommunal;564,6;371,5;65,8;78,6;616;490;79,5;84;
Botkyrka;0127;Stockholms län;01;Enskild;100,1;58,3;58,2;10,1;112;78;69,6;12;
Boxholm;0560;Östergötlands län;05;Samtliga;42,3;30,8;72,8;4,7;50;41;82,0;6;
Boxholm;0560;Östergötlands län;05;Kommunal;42,3;30,8;72,8;4,7;50;41;82,0;6;
Bromölla;1272;Skåne län;12;Samtliga;115,0;81,6;70,9;13,0;128;106;82,8;15;
Bromölla;1272;Skåne län;12;Kommunal;115,0;81,6;70,9;13,0;128;106;82,8;15;
Bräcke;2305;Jämtlands län;23;Samtliga;51,5;32,4;62,8;6,4;66;49;74,2;8;
Bräcke;2305;Jämtlands län;23;Kommunal;51,5;32,4;62,8;6,4;66;49;74,2;8;
Burlöv;1231;Skåne län;12;Samtliga;126,7;83,3;65,7;13,5;141;114;80,9;15;
Burlöv;1231;Skåne län;12;Kommunal;126,7;83,3;65,7;13,5;141;114;80,9;15;
Båstad;1278;Skåne län;12;Samtliga;122,7;92,9;75,7;9,0;142;112;78,9;10;
Båstad;1278;Skåne län;12;Kommunal;112,7;86,5;76,8;8,0;125;102;81,6;9;
Båstad;1278;Skåne län;12;Enskild;10,0;6,4;63,9;1,0;20;12;60,0;1;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;45,1;34,6;76,7;4,8;49;41;83,7;5;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;45,1;34,6;76,7;4,8;49;41;83,7;5;
Danderyd;0162;Stockholms län;01;Samtliga;275,7;221,3;80,3;51,7;312;271;86,9;54;
Danderyd;0162;Stockholms län;01;Kommunal;211,3;172,2;81,5;42,9;235;209;88,9;45;
Danderyd;0162;Stockholms län;01;Enskild;64,4;49,2;76,4;8,8;82;66;80,5;9;
Degerfors;1862;Örebro län;18;Samtliga;72,5;57,3;79,1;7,7;81;73;90,1;8;
Degerfors;1862;Örebro län;18;Kommunal;72,5;57,3;79,1;7,7;81;73;90,1;8;
Dorotea;2425;Västerbottens län;24;Samtliga;23,8;14,1;59,4;.;27;20;74,1;.;
Dorotea;2425;Västerbottens län;24;Kommunal;23,8;14,1;59,4;.;27;20;74,1;.;
Eda;1730;Värmlands län;17;Samtliga;80,6;47,2;58,5;8,9;93;64;68,8;9;
Eda;1730;Värmlands län;17;Kommunal;80,6;47,2;58,5;8,9;93;64;68,8;9;
Ekerö;0125;Stockholms län;01;Samtliga;259,7;179,1;69,0;38,0;288;227;78,8;41;
Ekerö;0125;Stockholms län;01;Kommunal;237,8;163,1;68,6;35,2;261;207;79,3;37;
Ekerö;0125;Stockholms län;01;Enskild;21,9;15,9;72,9;2,8;28;21;75,0;4;
Eksjö;0686;Jönköpings län;06;Samtliga;167,9;107,8;64,2;19,5;214;145;67,8;20;
Eksjö;0686;Jönköpings län;06;Kommunal;159,8;105,5;66,0;19,5;203;140;69,0;20;
Eksjö;0686;Jönköpings län;06;Enskild;8,2;2,4;29,1;.;11;5;45,5;.;
Emmaboda;0862;Kalmar län;08;Samtliga;96,8;73,2;75,7;10,9;111;94;84,7;12;
Emmaboda;0862;Kalmar län;08;Kommunal;96,8;73,2;75,7;10,9;111;94;84,7;12;
Enköping;0381;Uppsala län;03;Samtliga;371,1;267,5;72,1;37,9;410;328;80,0;40;
Enköping;0381;Uppsala län;03;Kommunal;296,4;221,5;74,7;30,2;319;266;83,4;32;
Enköping;0381;Uppsala län;03;Enskild;74,7;46,0;61,6;7,8;92;63;68,5;8;
Eskilstuna;0484;Södermanlands län;04;Samtliga;750,9;490,0;65,3;88,1;808;604;74,8;95;
Eskilstuna;0484;Södermanlands län;04;Kommunal;700,7;465,7;66,5;82,7;740;567;76,6;87;
Eskilstuna;0484;Södermanlands län;04;Enskild;50,2;24,3;48,5;5,5;70;38;54,3;8;
Eslöv;1285;Skåne län;12;Samtliga;288,6;210,9;73,1;39,0;314;265;84,4;41;
Eslöv;1285;Skåne län;12;Kommunal;285,3;209,3;73,3;38,0;310;261;84,2;40;
Eslöv;1285;Skåne län;12;Enskild;3,3;1,6;49,1;1,0;6;4;66,7;1;
Essunga;1445;Västra Götalands län;14;Samtliga;48,2;34,3;71,2;5,0;59;46;78,0;6;
Essunga;1445;Västra Götalands län;14;Kommunal;48,2;34,3;71,2;5,0;59;46;78,0;6;
Fagersta;1982;Västmanlands län;19;Samtliga;142,0;82,1;57,8;17,8;154;103;66,9;19;
Fagersta;1982;Västmanlands län;19;Kommunal;120,8;68,9;57,0;16,0;131;87;66,4;17;
Fagersta;1982;Västmanlands län;19;Enskild;21,2;13,2;62,3;1,9;24;16;66,7;2;
Falkenberg;1382;Hallands län;13;Samtliga;384,6;292,0;75,9;35,7;453;383;84,5;40;
Falkenberg;1382;Hallands län;13;Kommunal;332,4;254,6;76,6;31,6;387;336;86,8;35;
Falkenberg;1382;Hallands län;13;Enskild;52,2;37,4;71,8;4,1;66;47;71,2;5;
Falköping;1499;Västra Götalands län;14;Samtliga;319,2;209,4;65,6;29,4;371;271;73,0;31;
Falköping;1499;Västra Götalands län;14;Kommunal;307,2;206,3;67,2;26,5;350;263;75,1;28;
Falköping;1499;Västra Götalands län;14;Enskild;12,0;3,0;25,2;2,9;22;9;40,9;3;
Falun;2080;Dalarnas län;20;Samtliga;448,6;308,7;68,8;50,7;511;394;77,1;52;
Falun;2080;Dalarnas län;20;Kommunal;392,0;266,7;68,0;44,9;443;338;76,3;46;
Falun;2080;Dalarnas län;20;Enskild;56,7;42,0;74,1;5,8;68;56;82,4;6;
Filipstad;1782;Värmlands län;17;Samtliga;94,0;49,7;52,8;7,9;110;64;58,2;8;
Filipstad;1782;Värmlands län;17;Kommunal;91,0;48,7;53,5;6,9;106;62;58,5;7;
Filipstad;1782;Värmlands län;17;Enskild;3,1;1,0;32,8;1,0;4;2;50,0;1;
Finspång;0562;Östergötlands län;05;Samtliga;169,4;102,8;60,7;11,7;212;142;67,0;13;
Finspång;0562;Östergötlands län;05;Kommunal;167,1;101,7;60,9;11,7;207;140;67,6;13;
Finspång;0562;Östergötlands län;05;Enskild;2,3;1,0;44,0;.;5;2;40,0;.;
Flen;0482;Södermanlands län;04;Samtliga;135,3;63,4;46,8;16,4;161;87;54,0;18;
Flen;0482;Södermanlands län;04;Kommunal;99,3;48,8;49,1;12,5;112;65;58,0;14;
Flen;0482;Södermanlands län;04;Enskild;36,0;14,6;40,6;3,9;49;22;44,9;4;
Forshaga;1763;Värmlands län;17;Samtliga;104,2;80,0;76,8;12,8;118;100;84,7;14;
Forshaga;1763;Värmlands län;17;Kommunal;104,2;80,0;76,8;12,8;118;100;84,7;14;
Färgelanda;1439;Västra Götalands län;14;Samtliga;55,0;36,6;66,6;5,6;64;49;76,6;7;
Färgelanda;1439;Västra Götalands län;14;Kommunal;46,0;31,1;67,6;4,5;51;39;76,5;5;
Färgelanda;1439;Västra Götalands län;14;Enskild;9,0;5,5;61,7;1,1;13;10;76,9;2;
Gagnef;2026;Dalarnas län;20;Samtliga;89,9;59,9;66,5;11,6;109;83;76,1;13;
Gagnef;2026;Dalarnas län;20;Kommunal;89,9;59,9;66,5;11,6;109;83;76,1;13;
Gislaved;0662;Jönköpings län;06;Samtliga;282,3;158,2;56,0;35,5;329;220;66,9;41;
Gislaved;0662;Jönköpings län;06;Kommunal;272,4;153,5;56,3;34,8;316;212;67,1;40;
Gislaved;0662;Jönköpings län;06;Enskild;9,9;4,7;47,7;0,7;13;8;61,5;1;
Gnesta;0461;Södermanlands län;04;Samtliga;88,1;65,0;73,7;15,3;101;80;79,2;16;
Gnesta;0461;Södermanlands län;04;Kommunal;88,1;65,0;73,7;15,3;101;80;79,2;16;
Gnosjö;0617;Jönköpings län;06;Samtliga;92,6;59,2;63,9;11,5;110;85;77,3;12;
Gnosjö;0617;Jönköpings län;06;Kommunal;92,6;59,2;63,9;11,5;110;85;77,3;12;
Gotland;0980;Gotlands län;09;Samtliga;510,2;331,1;64,9;50,9;580;424;73,1;55;
Gotland;0980;Gotlands län;09;Kommunal;450,2;301,8;67,0;48,7;505;382;75,6;52;
Gotland;0980;Gotlands län;09;Enskild;60,0;29,3;48,8;2,2;78;43;55,1;3;
Grums;1764;Värmlands län;17;Samtliga;76,2;56,2;73,8;10,0;85;67;78,8;11;
Grums;1764;Värmlands län;17;Kommunal;67,3;51,4;76,3;8,4;72;59;81,9;9;
Grums;1764;Värmlands län;17;Enskild;8,9;4,9;54,5;1,6;13;8;61,5;2;
Grästorp;1444;Västra Götalands län;14;Samtliga;44,0;32,1;73,0;6,0;51;41;80,4;6;
Grästorp;1444;Västra Götalands län;14;Kommunal;44,0;32,1;73,0;6,0;51;41;80,4;6;
Gullspång;1447;Västra Götalands län;14;Samtliga;42,8;31,8;74,4;7,0;51;45;88,2;7;
Gullspång;1447;Västra Götalands län;14;Kommunal;42,8;31,8;74,4;7,0;51;45;88,2;7;
Gällivare;2523;Norrbottens län;25;Samtliga;125,1;67,7;54,1;12,9;147;84;57,1;13;
Gällivare;2523;Norrbottens län;25;Kommunal;112,2;58,8;52,4;12,9;131;73;55,7;13;
Gällivare;2523;Norrbottens län;25;Statlig;3,3;2,6;78,2;.;5;4;80,0;.;
Gällivare;2523;Norrbottens län;25;Enskild;9,7;6,3;65,3;.;12;8;66,7;.;
Gävle;2180;Gävleborgs län;21;Samtliga;726,0;500,7;69,0;104,5;822;656;79,8;110;
Gävle;2180;Gävleborgs län;21;Kommunal;623,3;433,3;69,5;88,1;705;571;81,0;93;
Gävle;2180;Gävleborgs län;21;Enskild;102,7;67,5;65,7;16,4;118;85;72,0;17;
Göteborg;1480;Västra Götalands län;14;Samtliga;3 850,2;2 760,4;71,7;456,7;4 301;3 554;82,6;490;
Göteborg;1480;Västra Götalands län;14;Kommunal;3 042,4;2 201,3;72,4;360,6;3 348;2 805;83,8;387;
Göteborg;1480;Västra Götalands län;14;Enskild;807,8;559,1;69,2;96,1;958;752;78,5;103;
Götene;1471;Västra Götalands län;14;Samtliga;112,1;74,5;66,5;13,2;142;109;76,8;15;
Götene;1471;Västra Götalands län;14;Kommunal;112,1;74,5;66,5;13,2;142;109;76,8;15;
Habo;0643;Jönköpings län;06;Samtliga;149,1;129,5;86,8;15,9;175;162;92,6;17;
Habo;0643;Jönköpings län;06;Kommunal;149,1;129,5;86,8;15,9;175;162;92,6;17;
Hagfors;1783;Värmlands län;17;Samtliga;73,6;48,0;65,2;10,2;84;64;76,2;11;
Hagfors;1783;Värmlands län;17;Kommunal;73,6;48,0;65,2;10,2;84;64;76,2;11;
Hallsberg;1861;Örebro län;18;Samtliga;143,8;92,9;64,7;7,9;171;126;73,7;10;
Hallsberg;1861;Örebro län;18;Kommunal;143,8;92,9;64,7;7,9;171;126;73,7;10;
Hallstahammar;1961;Västmanlands län;19;Samtliga;140,3;84,0;59,9;17,9;155;112;72,3;20;
Hallstahammar;1961;Västmanlands län;19;Kommunal;140,3;84,0;59,9;17,9;155;112;72,3;20;
Halmstad;1380;Hallands län;13;Samtliga;803,7;586,1;72,9;83,2;880;740;84,1;86;
Halmstad;1380;Hallands län;13;Kommunal;756,7;558,0;73,7;76,0;827;703;85,0;78;
Halmstad;1380;Hallands län;13;Enskild;47,0;28,1;59,8;7,2;53;37;69,8;8;
Hammarö;1761;Värmlands län;17;Samtliga;188,6;154,0;81,6;20,5;204;183;89,7;21;
Hammarö;1761;Värmlands län;17;Kommunal;188,6;154,0;81,6;20,5;204;183;89,7;21;
Haninge;0136;Stockholms län;01;Samtliga;646,7;402,0;62,2;84,5;703;515;73,3;93;
Haninge;0136;Stockholms län;01;Kommunal;520,3;337,2;64,8;67,2;559;429;76,7;74;
Haninge;0136;Stockholms län;01;Enskild;126,4;64,8;51,2;17,3;145;86;59,3;19;
Haparanda;2583;Norrbottens län;25;Samtliga;83,5;49,6;59,4;10,2;104;69;66,3;11;
Haparanda;2583;Norrbottens län;25;Kommunal;78,2;47,3;60,5;9,2;98;65;66,3;10;
Haparanda;2583;Norrbottens län;25;Enskild;5,3;2,3;43,8;1,0;6;4;66,7;1;
Heby;0331;Uppsala län;03;Samtliga;102,1;74,7;73,2;12,7;127;99;78,0;14;
Heby;0331;Uppsala län;03;Kommunal;98,5;73,3;74,4;12,2;122;97;79,5;13;
Heby;0331;Uppsala län;03;Enskild;3,6;1,4;38,5;0,6;5;2;40,0;1;
Hedemora;2083;Dalarnas län;20;Samtliga;129,7;67,4;52,0;13,2;154;96;62,3;16;
Hedemora;2083;Dalarnas län;20;Kommunal;105,2;56,3;53,5;12,0;122;77;63,1;14;
Hedemora;2083;Dalarnas län;20;Enskild;24,5;11,1;45,2;1,2;32;19;59,4;2;
Helsingborg;1283;Skåne län;12;Samtliga;1 130,1;773,5;68,4;163,3;1 289;985;76,4;175;
Helsingborg;1283;Skåne län;12;Kommunal;883,5;620,6;70,2;123,8;991;785;79,2;134;
Helsingborg;1283;Skåne län;12;Enskild;246,6;152,9;62,0;39,5;303;204;67,3;41;
Herrljunga;1466;Västra Götalands län;14;Samtliga;88,5;61,8;69,8;9,6;107;81;75,7;11;
Herrljunga;1466;Västra Götalands län;14;Kommunal;88,5;61,8;69,8;9,6;107;81;75,7;11;
Hjo;1497;Västra Götalands län;14;Samtliga;75,9;56,6;74,5;8,7;99;77;77,8;10;
Hjo;1497;Västra Götalands län;14;Kommunal;75,9;56,6;74,5;8,7;99;77;77,8;10;
Hofors;2104;Gävleborgs län;21;Samtliga;69,8;44,6;63,9;6,9;80;55;68,8;7;
Hofors;2104;Gävleborgs län;21;Kommunal;69,8;44,6;63,9;6,9;80;55;68,8;7;
Huddinge;0126;Stockholms län;01;Samtliga;779,2;547,2;70,2;116,8;870;695;79,9;123;
Huddinge;0126;Stockholms län;01;Kommunal;700,6;494,7;70,6;104,3;775;622;80,3;109;
Huddinge;0126;Stockholms län;01;Enskild;78,6;52,5;66,8;12,5;95;73;76,8;14;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;321,1;217,8;67,8;31,0;368;276;75,0;34;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;293,3;202,7;69,1;31,0;331;256;77,3;34;
Hudiksvall;2184;Gävleborgs län;21;Enskild;27,7;15,1;54,3;.;38;20;52,6;.;
Hultsfred;0860;Kalmar län;08;Samtliga;112,4;62,7;55,8;18,5;145;97;66,9;22;
Hultsfred;0860;Kalmar län;08;Kommunal;91,6;51,2;55,9;14,8;121;80;66,1;18;
Hultsfred;0860;Kalmar län;08;Enskild;20,8;11,5;55,5;3,8;24;17;70,8;4;
Hylte;1315;Hallands län;13;Samtliga;93,5;51,6;55,3;9,2;120;78;65,0;10;
Hylte;1315;Hallands län;13;Kommunal;86,0;49,4;57,4;9,2;104;72;69,2;10;
Hylte;1315;Hallands län;13;Enskild;7,4;2,3;30,8;.;17;7;41,2;.;
Hällefors;1863;Örebro län;18;Samtliga;67,5;36,8;54,5;5,5;79;45;57,0;6;
Hällefors;1863;Örebro län;18;Kommunal;67,5;36,8;54,5;5,5;79;45;57,0;6;
Härjedalen;2361;Jämtlands län;23;Samtliga;80,6;51,9;64,3;5,5;97;72;74,2;8;
Härjedalen;2361;Jämtlands län;23;Kommunal;80,6;51,9;64,3;5,5;97;72;74,2;8;
Härnösand;2280;Västernorrlands län;22;Samtliga;205,1;149,1;72,7;31,7;229;190;83,0;33;
Härnösand;2280;Västernorrlands län;22;Kommunal;187,6;137,0;73,0;29,7;212;175;82,5;31;
Härnösand;2280;Västernorrlands län;22;Enskild;17,5;12,0;68,8;2,0;19;15;78,9;2;
Härryda;1401;Västra Götalands län;14;Samtliga;410,1;315,7;77,0;36,6;484;415;85,7;40;
Härryda;1401;Västra Götalands län;14;Kommunal;373,0;288,5;77,4;30,7;444;381;85,8;34;
Härryda;1401;Västra Götalands län;14;Enskild;37,2;27,2;73,2;5,9;40;34;85,0;6;
Hässleholm;1293;Skåne län;12;Samtliga;454,6;329,7;72,5;54,6;510;409;80,2;57;
Hässleholm;1293;Skåne län;12;Kommunal;426,5;312,0;73,2;50,8;476;385;80,9;53;
Hässleholm;1293;Skåne län;12;Enskild;28,1;17,7;63,0;3,8;34;24;70,6;4;
Håbo;0305;Uppsala län;03;Samtliga;190,9;129,6;67,9;23,6;221;171;77,4;27;
Håbo;0305;Uppsala län;03;Kommunal;164,8;111,9;67,9;19,6;189;146;77,2;22;
Håbo;0305;Uppsala län;03;Enskild;26,1;17,7;68,0;4,0;32;25;78,1;5;
Höganäs;1284;Skåne län;12;Samtliga;229,3;175,3;76,4;23,0;257;223;86,8;24;
Höganäs;1284;Skåne län;12;Kommunal;208,3;165,4;79,4;21,1;231;208;90,0;22;
Höganäs;1284;Skåne län;12;Enskild;20,9;9,9;47,2;1,9;28;16;57,1;2;
Högsby;0821;Kalmar län;08;Samtliga;50,8;22,8;44,9;2,0;56;32;57,1;2;
Högsby;0821;Kalmar län;08;Kommunal;50,8;22,8;44,9;2,0;56;32;57,1;2;
Hörby;1266;Skåne län;12;Samtliga;119,2;87,4;73,3;7,8;143;113;79,0;8;
Hörby;1266;Skåne län;12;Kommunal;103,8;75,8;73,0;7,8;125;98;78,4;8;
Hörby;1266;Skåne län;12;Enskild;15,3;11,6;75,7;.;18;15;83,3;.;
Höör;1267;Skåne län;12;Samtliga;126,4;82,8;65,5;12,8;158;108;68,4;14;
Höör;1267;Skåne län;12;Kommunal;107,6;72,0;66,9;12,5;131;92;70,2;13;
Höör;1267;Skåne län;12;Enskild;18,8;10,8;57,4;0,4;27;16;59,3;1;
Jokkmokk;2510;Norrbottens län;25;Samtliga;35,3;19,4;54,9;3,8;52;29;55,8;4;
Jokkmokk;2510;Norrbottens län;25;Kommunal;24,9;14,6;58,6;3,8;34;22;64,7;4;
Jokkmokk;2510;Norrbottens län;25;Statlig;6,5;4,4;68,3;.;12;7;58,3;.;
Jokkmokk;2510;Norrbottens län;25;Enskild;4,0;0,4;10,7;.;7;1;14,3;.;
Järfälla;0123;Stockholms län;01;Samtliga;516,6;352,2;68,2;52,8;563;451;80,1;56;
Järfälla;0123;Stockholms län;01;Kommunal;480,8;334,3;69,5;48,5;522;424;81,2;51;
Järfälla;0123;Stockholms län;01;Enskild;35,8;17,9;49,8;4,3;42;28;66,7;5;
Jönköping;0680;Jönköpings län;06;Samtliga;1 140,5;877,2;76,9;113,0;1 312;1 118;85,2;121;
Jönköping;0680;Jönköpings län;06;Kommunal;1 053,7;824,0;78,2;105,8;1 203;1 044;86,8;113;
Jönköping;0680;Jönköpings län;06;Enskild;86,8;53,2;61,3;7,2;110;75;68,2;8;
Kalix;2514;Norrbottens län;25;Samtliga;128,4;95,4;74,3;14,7;151;123;81,5;15;
Kalix;2514;Norrbottens län;25;Kommunal;115,5;86,8;75,2;12,7;137;112;81,8;13;
Kalix;2514;Norrbottens län;25;Enskild;12,9;8,6;66,7;2,0;14;11;78,6;2;
Kalmar;0880;Kalmar län;08;Samtliga;585,4;508,3;86,8;64,2;664;605;91,1;73;
Kalmar;0880;Kalmar län;08;Kommunal;528,4;472,8;89,5;58,5;594;555;93,4;66;
Kalmar;0880;Kalmar län;08;Enskild;57,0;35,5;62,4;5,7;71;51;71,8;7;
Karlsborg;1446;Västra Götalands län;14;Samtliga;53,0;40,2;75,9;6,5;64;52;81,3;7;
Karlsborg;1446;Västra Götalands län;14;Kommunal;45,2;34,8;77,0;5,5;55;44;80,0;6;
Karlsborg;1446;Västra Götalands län;14;Enskild;7,8;5,4;69,1;1,0;9;8;88,9;1;
Karlshamn;1082;Blekinge län;10;Samtliga;238,0;176,2;74,0;27,8;279;225;80,6;31;
Karlshamn;1082;Blekinge län;10;Kommunal;213,3;161,6;75,8;23,1;247;206;83,4;26;
Karlshamn;1082;Blekinge län;10;Enskild;24,7;14,6;58,9;4,7;32;19;59,4;5;
Karlskoga;1883;Örebro län;18;Samtliga;247,6;179,4;72,4;31,7;274;222;81,0;35;
Karlskoga;1883;Örebro län;18;Kommunal;240,0;173,2;72,2;31,7;263;212;80,6;35;
Karlskoga;1883;Örebro län;18;Enskild;7,6;6,2;81,0;.;11;10;90,9;.;
Karlskrona;1080;Blekinge län;10;Samtliga;530,1;381,2;71,9;72,0;594;487;82,0;74;
Karlskrona;1080;Blekinge län;10;Kommunal;412,2;298,0;72,3;54,9;458;382;83,4;56;
Karlskrona;1080;Blekinge län;10;Enskild;117,9;83,2;70,6;17,1;136;105;77,2;18;
Karlstad;1780;Värmlands län;17;Samtliga;630,6;500,7;79,4;84,6;734;639;87,1;92;
Karlstad;1780;Värmlands län;17;Kommunal;604,1;485,7;80,4;78,6;697;616;88,4;86;
Karlstad;1780;Värmlands län;17;Enskild;26,5;15,0;56,4;6,0;39;24;61,5;6;
Katrineholm;0483;Södermanlands län;04;Samtliga;285,2;176,2;61,8;36,2;333;241;72,4;40;
Katrineholm;0483;Södermanlands län;04;Kommunal;257,1;159,1;61,9;32,2;301;220;73,1;36;
Katrineholm;0483;Södermanlands län;04;Enskild;28,1;17,1;60,8;4,0;32;21;65,6;4;
