Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2022/23
Valt uttag: 2023-02-10

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Ale;1440;Västra Götalands län;14;Samtliga;275,1;200,1;72,7;38,6;313;253;80,8;42;
Ale;1440;Västra Götalands län;14;Kommunal;255,9;182,9;71,5;36,0;294;235;79,9;39;
Ale;1440;Västra Götalands län;14;Enskild;19,2;17,2;89,4;2,6;21;20;95,2;3;
Alingsås;1489;Västra Götalands län;14;Samtliga;342,4;242,7;70,9;41,7;395;326;82,5;44;
Alingsås;1489;Västra Götalands län;14;Kommunal;286,7;208,1;72,6;32,3;330;279;84,5;34;
Alingsås;1489;Västra Götalands län;14;Enskild;55,8;34,6;62,1;9,5;65;47;72,3;10;
Alvesta;0764;Kronobergs län;07;Samtliga;170,4;112,4;66,0;27,4;200;153;76,5;29;
Alvesta;0764;Kronobergs län;07;Kommunal;167,1;109,7;65,7;26,9;192;147;76,6;28;
Alvesta;0764;Kronobergs län;07;Enskild;3,3;2,7;81,4;0,5;8;6;75,0;1;
Aneby;0604;Jönköpings län;06;Samtliga;64,0;42,4;66,2;8,8;80;58;72,5;9;
Aneby;0604;Jönköpings län;06;Kommunal;55,5;38,5;69,4;7,8;70;52;74,3;8;
Aneby;0604;Jönköpings län;06;Enskild;8,5;3,9;45,3;1,0;10;6;60,0;1;
Arboga;1984;Västmanlands län;19;Samtliga;104,1;71,5;68,7;15,2;124;89;71,8;16;
Arboga;1984;Västmanlands län;19;Kommunal;100,4;69,8;69,5;15,2;118;87;73,7;16;
Arboga;1984;Västmanlands län;19;Enskild;3,7;1,8;47,9;.;6;2;33,3;.;
Arjeplog;2506;Norrbottens län;25;Samtliga;20,7;9,0;43,3;1,5;27;15;55,6;2;
Arjeplog;2506;Norrbottens län;25;Kommunal;20,7;9,0;43,3;1,5;27;15;55,6;2;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;46,9;32,4;69,0;3,2;55;41;74,5;4;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;46,9;32,4;69,0;3,2;55;41;74,5;4;
Arvika;1784;Värmlands län;17;Samtliga;216,7;151,7;70,0;25,2;272;206;75,7;28;
Arvika;1784;Värmlands län;17;Kommunal;204,2;142,8;69,9;24,2;249;192;77,1;26;
Arvika;1784;Värmlands län;17;Enskild;12,5;8,9;71,1;1,0;23;14;60,9;2;
Askersund;1882;Örebro län;18;Samtliga;87,9;60,2;68,4;9,3;101;83;82,2;10;
Askersund;1882;Örebro län;18;Kommunal;87,9;60,2;68,4;9,3;101;83;82,2;10;
Avesta;2084;Dalarnas län;20;Samtliga;195,6;110,6;56,5;26,1;222;139;62,6;29;
Avesta;2084;Dalarnas län;20;Kommunal;187,2;106,1;56,7;26,1;211;133;63,0;29;
Avesta;2084;Dalarnas län;20;Enskild;8,5;4,5;53,0;.;11;6;54,5;.;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;83,5;55,4;66,4;9,0;95;69;72,6;10;
