Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2020/21
Valt uttag: 2021-02-12

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Ale;1440;Västra Götalands län;14;Samtliga;257,9;189,1;73,3;32,7;291;239;82,1;35;
Ale;1440;Västra Götalands län;14;Kommunal;238,1;171,3;72,0;30,1;270;219;81,1;32;
Ale;1440;Västra Götalands län;14;Enskild;19,9;17,8;89,7;2,6;21;20;95,2;3;
Alingsås;1489;Västra Götalands län;14;Samtliga;335,6;237,2;70,7;41,0;397;320;80,6;43;
Alingsås;1489;Västra Götalands län;14;Kommunal;282,0;204,7;72,6;32,3;336;274;81,5;34;
Alingsås;1489;Västra Götalands län;14;Enskild;53,5;32,4;60,6;8,7;61;46;75,4;9;
Alvesta;0764;Kronobergs län;07;Samtliga;182,7;126,1;69,0;28,6;208;173;83,2;31;
Alvesta;0764;Kronobergs län;07;Kommunal;176,9;123,3;69,7;27,6;200;168;84,0;30;
Alvesta;0764;Kronobergs län;07;Enskild;5,8;2,8;48,5;1,0;8;5;62,5;1;
Aneby;0604;Jönköpings län;06;Samtliga;64,0;40,6;63,4;8,3;81;59;72,8;9;
Aneby;0604;Jönköpings län;06;Kommunal;55,7;37,2;66,7;7,3;72;53;73,6;8;
Aneby;0604;Jönköpings län;06;Enskild;8,3;3,4;41,1;1,0;9;6;66,7;1;
Arboga;1984;Västmanlands län;19;Samtliga;102,7;73,0;71,0;18,3;114;89;78,1;19;
Arboga;1984;Västmanlands län;19;Kommunal;102,7;73,0;71,0;18,3;114;89;78,1;19;
Arjeplog;2506;Norrbottens län;25;Samtliga;19,7;11,0;55,9;0,9;24;18;75,0;1;
Arjeplog;2506;Norrbottens län;25;Kommunal;19,7;11,0;55,9;0,9;24;18;75,0;1;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;47,6;35,8;75,3;5,5;54;45;83,3;6;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;47,6;35,8;75,3;5,5;54;45;83,3;6;
Arvika;1784;Värmlands län;17;Samtliga;202,5;149,5;73,8;25,4;263;208;79,1;28;
Arvika;1784;Värmlands län;17;Kommunal;188,3;139,9;74,3;24,0;238;192;80,7;26;
Arvika;1784;Värmlands län;17;Enskild;14,2;9,6;67,6;1,4;25;16;64,0;2;
Askersund;1882;Örebro län;18;Samtliga;82,0;52,5;64,0;9,0;94;72;76,6;9;
Askersund;1882;Örebro län;18;Kommunal;82,0;52,5;64,0;9,0;94;72;76,6;9;
Avesta;2084;Dalarnas län;20;Samtliga;197,0;115,9;58,8;24,0;225;143;63,6;26;
Avesta;2084;Dalarnas län;20;Kommunal;189,7;111,7;58,9;24,0;215;138;64,2;26;
Avesta;2084;Dalarnas län;20;Enskild;7,3;4,3;58,4;.;10;5;50,0;.;
