Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2020/21
Valt uttag: 2021-02-12

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;82,7;51,8;62,7;8,6;96;67;69,8;10;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;82,7;51,8;62,7;8,6;96;67;69,8;10;
Berg;2326;Jämtlands län;23;Samtliga;62,0;41,4;66,8;7,8;84;60;71,4;9;
Berg;2326;Jämtlands län;23;Kommunal;58,7;38,9;66,4;7,1;77;56;72,7;8;
Berg;2326;Jämtlands län;23;Enskild;3,4;2,5;74,2;0,7;7;4;57,1;1;
Bjurholm;2403;Västerbottens län;24;Samtliga;22,6;18,6;82,1;2,0;26;24;92,3;2;
Bjurholm;2403;Västerbottens län;24;Kommunal;22,6;18,6;82,1;2,0;26;24;92,3;2;
Bjuv;1260;Skåne län;12;Samtliga;134,1;81,0;60,4;14,8;149;106;71,1;15;
Bjuv;1260;Skåne län;12;Kommunal;134,1;81,0;60,4;14,8;149;106;71,1;15;
Boden;2582;Norrbottens län;25;Samtliga;204,4;139,6;68,3;25,0;234;186;79,5;28;
Boden;2582;Norrbottens län;25;Kommunal;155,2;108,4;69,8;20,9;178;142;79,8;23;
Boden;2582;Norrbottens län;25;Enskild;49,3;31,2;63,4;4,1;56;44;78,6;5;
Bollebygd;1443;Västra Götalands län;14;Samtliga;85,1;62,8;73,8;17,2;112;90;80,4;20;
Bollebygd;1443;Västra Götalands län;14;Kommunal;77,1;56,8;73,6;11,2;100;79;79,0;12;
Bollebygd;1443;Västra Götalands län;14;Enskild;8,0;6,0;75,4;6,0;12;11;91,7;8;
Bollnäs;2183;Gävleborgs län;21;Samtliga;220,8;136,1;61,6;22,6;264;183;69,3;26;
Bollnäs;2183;Gävleborgs län;21;Kommunal;162,9;108,6;66,7;16,8;195;144;73,8;19;
Bollnäs;2183;Gävleborgs län;21;Enskild;57,9;27,4;47,4;5,9;70;39;55,7;7;
Borgholm;0885;Kalmar län;08;Samtliga;65,9;47,7;72,3;8,1;76;64;84,2;9;
Borgholm;0885;Kalmar län;08;Kommunal;65,9;47,7;72,3;8,1;76;64;84,2;9;
Borlänge;2081;Dalarnas län;20;Samtliga;468,1;285,2;60,9;57,4;536;360;67,2;64;
Borlänge;2081;Dalarnas län;20;Kommunal;427,5;260,7;61,0;55,8;489;326;66,7;62;
Borlänge;2081;Dalarnas län;20;Enskild;40,6;24,5;60,3;1,7;47;34;72,3;2;
Borås;1490;Västra Götalands län;14;Samtliga;905,8;597,9;66,0;109,4;1 054;756;71,7;119;
Borås;1490;Västra Götalands län;14;Kommunal;828,5;549,7;66,4;100,9;963;697;72,4;110;
Borås;1490;Västra Götalands län;14;Enskild;77,3;48,2;62,3;8,5;92;60;65,2;9;
Botkyrka;0127;Stockholms län;01;Samtliga;664,7;409,0;61,5;79,0;721;533;73,9;86;
Botkyrka;0127;Stockholms län;01;Kommunal;566,8;360,6;63,6;71,8;612;470;76,8;78;
Botkyrka;0127;Stockholms län;01;Enskild;97,9;48,5;49,5;7,2;111;64;57,7;8;
Boxholm;0560;Östergötlands län;05;Samtliga;44,2;33,4;75,5;5,1;52;43;82,7;6;
Boxholm;0560;Östergötlands län;05;Kommunal;44,2;33,4;75,5;5,1;52;43;82,7;6;
Bromölla;1272;Skåne län;12;Samtliga;112,6;83,7;74,3;11,8;128;104;81,3;13;
Bromölla;1272;Skåne län;12;Kommunal;112,6;83,7;74,3;11,8;128;104;81,3;13;
Bräcke;2305;Jämtlands län;23;Samtliga;53,0;30,6;57,6;7,2;69;47;68,1;8;
Bräcke;2305;Jämtlands län;23;Kommunal;53,0;30,6;57,6;7,2;69;47;68,1;8;
Burlöv;1231;Skåne län;12;Samtliga;122,7;77,2;62,9;14,1;136;106;77,9;19;
Burlöv;1231;Skåne län;12;Kommunal;122,7;77,2;62,9;14,1;136;106;77,9;19;
Båstad;1278;Skåne län;12;Samtliga;110,5;85,4;77,2;11,9;124;106;85,5;13;
Båstad;1278;Skåne län;12;Kommunal;102,7;78,8;76,7;10,9;114;97;85,1;12;
Båstad;1278;Skåne län;12;Enskild;7,9;6,6;84,1;1,0;14;11;78,6;1;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;43,4;31,6;72,8;6,0;48;38;79,2;6;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;43,4;31,6;72,8;6,0;48;38;79,2;6;
Danderyd;0162;Stockholms län;01;Samtliga;287,5;229,5;79,8;49,7;333;288;86,5;51;
Danderyd;0162;Stockholms län;01;Kommunal;222,2;181,6;81,7;41,9;247;219;88,7;43;
Danderyd;0162;Stockholms län;01;Enskild;65,2;47,9;73,5;7,8;89;71;79,8;8;
Degerfors;1862;Örebro län;18;Samtliga;84,6;60,1;71,0;9,7;92;77;83,7;10;
Degerfors;1862;Örebro län;18;Kommunal;84,6;60,1;71,0;9,7;92;77;83,7;10;
Dorotea;2425;Västerbottens län;24;Samtliga;22,2;14,9;67,1;.;27;20;74,1;.;
Dorotea;2425;Västerbottens län;24;Kommunal;22,2;14,9;67,1;.;27;20;74,1;.;
Eda;1730;Värmlands län;17;Samtliga;75,3;47,0;62,4;6,1;85;60;70,6;7;
Eda;1730;Värmlands län;17;Kommunal;75,3;47,0;62,4;6,1;85;60;70,6;7;
Ekerö;0125;Stockholms län;01;Samtliga;242,2;173,6;71,7;31,8;266;216;81,2;35;
Ekerö;0125;Stockholms län;01;Kommunal;220,6;157,8;71,5;29,2;241;197;81,7;31;
Ekerö;0125;Stockholms län;01;Enskild;21,6;15,8;73,3;2,6;27;20;74,1;4;
Eksjö;0686;Jönköpings län;06;Samtliga;157,8;95,7;60,6;20,2;202;130;64,4;22;
Eksjö;0686;Jönköpings län;06;Kommunal;147,4;91,3;61,9;20,2;191;124;64,9;22;
Eksjö;0686;Jönköpings län;06;Enskild;10,4;4,4;42,3;.;11;6;54,5;.;
Emmaboda;0862;Kalmar län;08;Samtliga;88,6;67,5;76,2;8,7;109;91;83,5;10;
Emmaboda;0862;Kalmar län;08;Kommunal;88,6;67,5;76,2;8,7;109;91;83,5;10;
Enköping;0381;Uppsala län;03;Samtliga;370,1;251,6;68,0;37,9;413;316;76,5;41;
Enköping;0381;Uppsala län;03;Kommunal;294,6;209,0;71,0;32,4;323;260;80,5;35;
Enköping;0381;Uppsala län;03;Enskild;75,5;42,6;56,5;5,6;91;57;62,6;6;
Eskilstuna;0484;Södermanlands län;04;Samtliga;731,1;468,6;64,1;87,4;794;587;73,9;94;
Eskilstuna;0484;Södermanlands län;04;Kommunal;679,1;440,9;64,9;83,1;726;548;75,5;88;
Eskilstuna;0484;Södermanlands län;04;Enskild;52,0;27,7;53,3;4,3;69;40;58,0;6;
Eslöv;1285;Skåne län;12;Samtliga;271,6;195,4;71,9;29,5;298;248;83,2;30;
Eslöv;1285;Skåne län;12;Kommunal;268,0;192,8;71,9;29,5;294;244;83,0;30;
Eslöv;1285;Skåne län;12;Enskild;3,6;2,6;72,2;.;6;4;66,7;.;
Essunga;1445;Västra Götalands län;14;Samtliga;41,3;27,9;67,7;6,3;50;35;70,0;7;
Essunga;1445;Västra Götalands län;14;Kommunal;41,3;27,9;67,7;6,3;50;35;70,0;7;
Fagersta;1982;Västmanlands län;19;Samtliga;151,8;88,5;58,3;19,0;165;110;66,7;20;
Fagersta;1982;Västmanlands län;19;Kommunal;132,8;73,7;55,5;18,0;144;93;64,6;19;
Fagersta;1982;Västmanlands län;19;Enskild;18,9;14,7;77,8;1,0;21;17;81,0;1;
Falkenberg;1382;Hallands län;13;Samtliga;377,6;284,3;75,3;40,1;436;359;82,3;42;
Falkenberg;1382;Hallands län;13;Kommunal;324,6;254,5;78,4;35,2;371;316;85,2;37;
Falkenberg;1382;Hallands län;13;Enskild;52,9;29,9;56,5;4,9;65;43;66,2;5;
Falköping;1499;Västra Götalands län;14;Samtliga;288,2;190,3;66,0;37,2;346;250;72,3;41;
Falköping;1499;Västra Götalands län;14;Kommunal;278,6;187,6;67,3;35,8;333;244;73,3;39;
Falköping;1499;Västra Götalands län;14;Enskild;9,6;2,7;28,2;1,4;13;6;46,2;2;
Falun;2080;Dalarnas län;20;Samtliga;472,5;327,6;69,3;47,9;546;419;76,7;50;
Falun;2080;Dalarnas län;20;Kommunal;407,8;281,9;69,1;39,9;467;358;76,7;42;
Falun;2080;Dalarnas län;20;Enskild;64,7;45,6;70,6;8,0;79;61;77,2;8;
Filipstad;1782;Värmlands län;17;Samtliga;91,2;52,4;57,4;7,2;110;68;61,8;8;
Filipstad;1782;Värmlands län;17;Kommunal;88,0;50,5;57,3;6,2;106;65;61,3;7;
Filipstad;1782;Värmlands län;17;Enskild;3,2;1,9;59,6;1,0;5;3;60,0;1;
Finspång;0562;Östergötlands län;05;Samtliga;158,8;102,7;64,7;12,8;210;148;70,5;14;
Finspång;0562;Östergötlands län;05;Kommunal;156,6;101,3;64,7;12,8;205;145;70,7;14;
Finspång;0562;Östergötlands län;05;Enskild;2,2;1,4;63,5;.;5;3;60,0;.;
Flen;0482;Södermanlands län;04;Samtliga;127,7;69,2;54,2;19,2;152;91;59,9;21;
Flen;0482;Södermanlands län;04;Kommunal;97,3;56,3;57,8;16,4;111;72;64,9;18;
Flen;0482;Södermanlands län;04;Enskild;30,4;12,9;42,4;2,9;41;19;46,3;3;
Forshaga;1763;Värmlands län;17;Samtliga;100,6;79,3;78,8;11,5;121;105;86,8;12;
Forshaga;1763;Värmlands län;17;Kommunal;100,6;79,3;78,8;11,5;121;105;86,8;12;
Färgelanda;1439;Västra Götalands län;14;Samtliga;61,9;42,3;68,4;7,9;76;59;77,6;10;
Färgelanda;1439;Västra Götalands län;14;Kommunal;54,8;39,3;71,7;7,4;66;55;83,3;9;
Färgelanda;1439;Västra Götalands län;14;Enskild;7,1;3,0;42,8;0,5;10;4;40,0;1;
Gagnef;2026;Dalarnas län;20;Samtliga;83,7;63,9;76,3;8,4;102;84;82,4;10;
Gagnef;2026;Dalarnas län;20;Kommunal;83,7;63,9;76,3;8,4;102;84;82,4;10;
Gislaved;0662;Jönköpings län;06;Samtliga;263,6;156,1;59,2;38,1;305;217;71,1;43;
Gislaved;0662;Jönköpings län;06;Kommunal;253,2;150,4;59,4;38,1;291;208;71,5;43;
Gislaved;0662;Jönköpings län;06;Enskild;10,4;5,7;54,7;.;14;9;64,3;.;
Gnesta;0461;Södermanlands län;04;Samtliga;83,5;56,5;67,6;14,7;101;78;77,2;16;
Gnesta;0461;Södermanlands län;04;Kommunal;83,5;56,5;67,6;14,7;101;78;77,2;16;
Gnosjö;0617;Jönköpings län;06;Samtliga;89,8;57,2;63,7;12,7;112;79;70,5;13;
Gnosjö;0617;Jönköpings län;06;Kommunal;89,8;57,2;63,7;12,7;112;79;70,5;13;
Gotland;0980;Gotlands län;09;Samtliga;468,4;321,4;68,6;52,2;534;404;75,7;58;
Gotland;0980;Gotlands län;09;Kommunal;419,0;293,5;70,1;47,7;468;361;77,1;52;
Gotland;0980;Gotlands län;09;Enskild;49,4;27,9;56,5;4,5;67;44;65,7;6;
Grums;1764;Värmlands län;17;Samtliga;77,1;59,6;77,3;9,0;94;74;78,7;10;
Grums;1764;Värmlands län;17;Kommunal;69,1;54,1;78,3;8,0;77;64;83,1;9;
Grums;1764;Värmlands län;17;Enskild;8,0;5,5;68,7;1,0;17;10;58,8;1;
Grästorp;1444;Västra Götalands län;14;Samtliga;44,0;35,8;81,4;4,0;54;47;87,0;5;
Grästorp;1444;Västra Götalands län;14;Kommunal;44,0;35,8;81,4;4,0;54;47;87,0;5;
Gullspång;1447;Västra Götalands län;14;Samtliga;42,1;29,4;69,7;6,5;51;39;76,5;7;
Gullspång;1447;Västra Götalands län;14;Kommunal;42,1;29,4;69,7;6,5;51;39;76,5;7;
Gällivare;2523;Norrbottens län;25;Samtliga;125,0;66,2;52,9;15,3;141;82;58,2;16;
Gällivare;2523;Norrbottens län;25;Kommunal;112,2;56,4;50,3;15,3;126;69;54,8;16;
Gällivare;2523;Norrbottens län;25;Enskild;9,6;7,5;77,9;.;12;9;75,0;.;
Gällivare;2523;Norrbottens län;25;Statlig;3,2;2,3;70,8;.;4;4;100,0;.;
Gävle;2180;Gävleborgs län;21;Samtliga;718,1;489,8;68,2;91,2;812;634;78,1;97;
Gävle;2180;Gävleborgs län;21;Kommunal;612,4;427,7;69,8;77,3;693;555;80,1;82;
Gävle;2180;Gävleborgs län;21;Enskild;105,8;62,1;58,7;13,8;121;80;66,1;15;
Göteborg;1480;Västra Götalands län;14;Samtliga;3 681,1;2 687,3;73,0;470,1;4 185;3 441;82,2;506;
Göteborg;1480;Västra Götalands län;14;Kommunal;2 916,0;2 152,4;73,8;366,3;3 273;2 726;83,3;393;
Göteborg;1480;Västra Götalands län;14;Enskild;765,1;534,8;69,9;103,8;918;717;78,1;113;
Götene;1471;Västra Götalands län;14;Samtliga;109,4;77,2;70,5;15,2;125;103;82,4;19;
Götene;1471;Västra Götalands län;14;Kommunal;109,4;77,2;70,5;15,2;125;103;82,4;19;
Habo;0643;Jönköpings län;06;Samtliga;133,1;115,7;86,9;15,3;162;150;92,6;17;
Habo;0643;Jönköpings län;06;Kommunal;133,1;115,7;86,9;15,3;162;150;92,6;17;
Hagfors;1783;Värmlands län;17;Samtliga;74,6;50,7;67,9;11,9;86;65;75,6;12;
Hagfors;1783;Värmlands län;17;Kommunal;74,6;50,7;67,9;11,9;86;65;75,6;12;
Hallsberg;1861;Örebro län;18;Samtliga;126,2;84,6;67,1;9,0;154;114;74,0;13;
Hallsberg;1861;Örebro län;18;Kommunal;126,2;84,6;67,1;9,0;154;114;74,0;13;
Hallstahammar;1961;Västmanlands län;19;Samtliga;136,7;89,3;65,4;18,8;150;117;78,0;21;
Hallstahammar;1961;Västmanlands län;19;Kommunal;136,7;89,3;65,4;18,8;150;117;78,0;21;
Halmstad;1380;Hallands län;13;Samtliga;759,0;568,6;74,9;83,6;839;733;87,4;88;
Halmstad;1380;Hallands län;13;Kommunal;710,6;535,3;75,3;76,0;783;690;88,1;79;
Halmstad;1380;Hallands län;13;Enskild;48,4;33,3;68,8;7,7;56;43;76,8;9;
Hammarö;1761;Värmlands län;17;Samtliga;167,2;138,2;82,7;14,7;184;165;89,7;15;
Hammarö;1761;Värmlands län;17;Kommunal;167,2;138,2;82,7;14,7;184;165;89,7;15;
Haninge;0136;Stockholms län;01;Samtliga;622,3;367,0;59,0;79,6;690;470;68,1;84;
Haninge;0136;Stockholms län;01;Kommunal;520,5;316,8;60,9;68,1;574;404;70,4;72;
Haninge;0136;Stockholms län;01;Enskild;101,8;50,2;49,3;11,5;118;67;56,8;12;
Haparanda;2583;Norrbottens län;25;Samtliga;86,0;54,9;63,9;12,8;106;70;66,0;13;
Haparanda;2583;Norrbottens län;25;Kommunal;81,9;53,6;65,4;11,8;101;67;66,3;12;
Haparanda;2583;Norrbottens län;25;Enskild;4,1;1,4;32,9;1,0;5;3;60,0;1;
Heby;0331;Uppsala län;03;Samtliga;97,8;68,8;70,3;13,6;122;94;77,0;15;
Heby;0331;Uppsala län;03;Kommunal;94,3;66,6;70,6;12,6;117;91;77,8;14;
Heby;0331;Uppsala län;03;Enskild;3,5;2,2;62,0;1,0;5;3;60,0;1;
Hedemora;2083;Dalarnas län;20;Samtliga;127,6;70,5;55,3;16,2;152;100;65,8;20;
Hedemora;2083;Dalarnas län;20;Kommunal;103,5;58,9;56,9;14,9;119;80;67,2;17;
Hedemora;2083;Dalarnas län;20;Enskild;24,1;11,6;48,4;1,4;33;20;60,6;3;
Helsingborg;1283;Skåne län;12;Samtliga;1 121,4;767,0;68,4;172,4;1 294;962;74,3;183;
Helsingborg;1283;Skåne län;12;Kommunal;884,4;628,7;71,1;136,3;998;779;78,1;144;
Helsingborg;1283;Skåne län;12;Enskild;237,0;138,3;58,4;36,1;299;186;62,2;39;
Herrljunga;1466;Västra Götalands län;14;Samtliga;89,7;63,7;71,0;11,5;108;87;80,6;13;
Herrljunga;1466;Västra Götalands län;14;Kommunal;89,7;63,7;71,0;11,5;108;87;80,6;13;
Hjo;1497;Västra Götalands län;14;Samtliga;74,1;57,4;77,4;8,7;91;72;79,1;10;
Hjo;1497;Västra Götalands län;14;Kommunal;74,1;57,4;77,4;8,7;91;72;79,1;10;
Hofors;2104;Gävleborgs län;21;Samtliga;69,4;43,0;62,0;8,0;80;56;70,0;9;
Hofors;2104;Gävleborgs län;21;Kommunal;69,4;43,0;62,0;8,0;80;56;70,0;9;
Huddinge;0126;Stockholms län;01;Samtliga;726,8;527,7;72,6;98,6;801;654;81,6;107;
Huddinge;0126;Stockholms län;01;Kommunal;646,1;473,4;73,3;88,9;704;581;82,5;96;
Huddinge;0126;Stockholms län;01;Enskild;80,7;54,3;67,4;9,7;97;73;75,3;11;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;316,2;206,6;65,4;24,2;377;270;71,6;27;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;289,0;190,7;66,0;24,2;341;250;73,3;27;
Hudiksvall;2184;Gävleborgs län;21;Enskild;27,3;16,0;58,6;.;37;20;54,1;.;
Hultsfred;0860;Kalmar län;08;Samtliga;115,5;55,5;48,1;9,8;157;82;52,2;11;
Hultsfred;0860;Kalmar län;08;Kommunal;92,7;44,4;47,9;9,8;129;66;51,2;11;
Hultsfred;0860;Kalmar län;08;Enskild;22,7;11,1;48,6;.;28;16;57,1;.;
Hylte;1315;Hallands län;13;Samtliga;110,0;57,8;52,5;8,6;133;88;66,2;9;
Hylte;1315;Hallands län;13;Kommunal;102,5;54,3;53,0;8,6;122;82;67,2;9;
Hylte;1315;Hallands län;13;Enskild;7,6;3,4;45,5;.;12;7;58,3;.;
Hällefors;1863;Örebro län;18;Samtliga;65,2;34,4;52,8;5,5;78;44;56,4;6;
Hällefors;1863;Örebro län;18;Kommunal;65,2;34,4;52,8;5,5;78;44;56,4;6;
Härjedalen;2361;Jämtlands län;23;Samtliga;74,6;47,6;63,7;3,4;94;68;72,3;4;
Härjedalen;2361;Jämtlands län;23;Kommunal;74,6;47,6;63,7;3,4;94;68;72,3;4;
Härnösand;2280;Västernorrlands län;22;Samtliga;208,1;147,7;71,0;23,1;232;190;81,9;24;
Härnösand;2280;Västernorrlands län;22;Kommunal;190,5;136,7;71,7;22,1;213;175;82,2;23;
Härnösand;2280;Västernorrlands län;22;Enskild;17,6;11,0;62,7;1,0;19;15;78,9;1;
Härryda;1401;Västra Götalands län;14;Samtliga;388,7;299,7;77,1;37,9;464;397;85,6;42;
Härryda;1401;Västra Götalands län;14;Kommunal;354,3;273,9;77,3;32,9;425;366;86,1;37;
Härryda;1401;Västra Götalands län;14;Enskild;34,5;25,8;74,9;5,0;40;32;80,0;5;
Hässleholm;1293;Skåne län;12;Samtliga;445,8;323,2;72,5;45,4;509;402;79,0;50;
Hässleholm;1293;Skåne län;12;Kommunal;421,8;306,8;72,7;43,1;478;379;79,3;47;
Hässleholm;1293;Skåne län;12;Enskild;24,0;16,4;68,3;2,3;31;23;74,2;3;
Håbo;0305;Uppsala län;03;Samtliga;188,7;121,2;64,3;25,7;218;162;74,3;28;
Håbo;0305;Uppsala län;03;Kommunal;157,9;103,7;65,7;21,5;178;135;75,8;23;
Håbo;0305;Uppsala län;03;Enskild;30,8;17,6;57,1;4,2;40;27;67,5;5;
Höganäs;1284;Skåne län;12;Samtliga;225,2;168,1;74,6;27,3;253;209;82,6;29;
Höganäs;1284;Skåne län;12;Kommunal;201,2;158,7;78,9;24,7;220;191;86,8;26;
Höganäs;1284;Skåne län;12;Enskild;24,1;9,4;39,1;2,7;33;18;54,5;3;
Högsby;0821;Kalmar län;08;Samtliga;58,9;26,9;45,7;6,0;66;38;57,6;6;
Högsby;0821;Kalmar län;08;Kommunal;58,9;26,9;45,7;6,0;66;38;57,6;6;
Hörby;1266;Skåne län;12;Samtliga;119,6;81,0;67,7;9,5;150;109;72,7;11;
Hörby;1266;Skåne län;12;Kommunal;104,3;70,9;68,0;9,5;131;96;73,3;11;
Hörby;1266;Skåne län;12;Enskild;15,4;10,1;65,8;.;19;13;68,4;.;
Höör;1267;Skåne län;12;Samtliga;128,3;83,6;65,2;13,8;159;115;72,3;15;
Höör;1267;Skåne län;12;Kommunal;107,6;71,8;66,7;13,8;131;95;72,5;15;
Höör;1267;Skåne län;12;Enskild;20,7;11,9;57,4;.;28;20;71,4;.;
Jokkmokk;2510;Norrbottens län;25;Samtliga;38,8;18,1;46,7;4,8;56;29;51,8;5;
Jokkmokk;2510;Norrbottens län;25;Kommunal;29,4;13,8;47,1;4,0;40;21;52,5;4;
Jokkmokk;2510;Norrbottens län;25;Statlig;7,0;3,0;42,6;.;12;6;50,0;.;
Jokkmokk;2510;Norrbottens län;25;Enskild;2,5;1,3;53,5;0,8;5;3;60,0;1;
Järfälla;0123;Stockholms län;01;Samtliga;505,3;350,8;69,4;59,7;544;436;80,1;62;
Järfälla;0123;Stockholms län;01;Kommunal;470,8;334,3;71,0;55,9;503;411;81,7;58;
Järfälla;0123;Stockholms län;01;Enskild;34,5;16,5;47,8;3,8;42;25;59,5;4;
Jönköping;0680;Jönköpings län;06;Samtliga;1 118,0;864,6;77,3;123,5;1 302;1 092;83,9;134;
Jönköping;0680;Jönköpings län;06;Kommunal;1 019,4;818,0;80,2;116,4;1 180;1 020;86,4;126;
Jönköping;0680;Jönköpings län;06;Enskild;98,7;46,6;47,2;7,1;124;73;58,9;8;
Kalix;2514;Norrbottens län;25;Samtliga;127,6;100,8;79,1;13,6;146;128;87,7;15;
Kalix;2514;Norrbottens län;25;Kommunal;115,9;93,3;80,5;11,6;132;119;90,2;13;
Kalix;2514;Norrbottens län;25;Enskild;11,7;7,5;64,5;2,0;14;9;64,3;2;
Kalmar;0880;Kalmar län;08;Samtliga;566,8;496,2;87,5;62,0;645;594;92,1;70;
Kalmar;0880;Kalmar län;08;Kommunal;512,0;457,5;89,3;57,8;572;534;93,4;64;
Kalmar;0880;Kalmar län;08;Enskild;54,8;38,8;70,7;4,2;74;60;81,1;6;
Karlsborg;1446;Västra Götalands län;14;Samtliga;58,5;43,5;74,3;6,0;68;56;82,4;6;
Karlsborg;1446;Västra Götalands län;14;Kommunal;49,6;38,9;78,4;5,0;59;49;83,1;5;
Karlsborg;1446;Västra Götalands län;14;Enskild;9,0;4,6;51,6;1,0;9;7;77,8;1;
Karlshamn;1082;Blekinge län;10;Samtliga;233,2;175,3;75,2;31,5;287;227;79,1;35;
Karlshamn;1082;Blekinge län;10;Kommunal;207,9;161,4;77,6;26,7;255;209;82,0;30;
Karlshamn;1082;Blekinge län;10;Enskild;25,3;13,9;54,9;4,8;34;18;52,9;5;
Karlskoga;1883;Örebro län;18;Samtliga;234,7;171,2;72,9;28,9;272;214;78,7;32;
Karlskoga;1883;Örebro län;18;Kommunal;228,1;165,6;72,6;28,9;263;206;78,3;32;
Karlskoga;1883;Örebro län;18;Enskild;6,7;5,6;84,1;.;9;8;88,9;.;
Karlskrona;1080;Blekinge län;10;Samtliga;527,2;371,5;70,5;62,2;598;483;80,8;65;
Karlskrona;1080;Blekinge län;10;Kommunal;411,3;293,4;71,3;44,1;463;380;82,1;45;
Karlskrona;1080;Blekinge län;10;Enskild;115,9;78,1;67,5;18,2;136;104;76,5;20;
Karlstad;1780;Värmlands län;17;Samtliga;585,8;477,6;81,5;82,7;690;605;87,7;91;
Karlstad;1780;Värmlands län;17;Kommunal;558,5;462,3;82,8;80,8;650;582;89,5;89;
Karlstad;1780;Värmlands län;17;Enskild;27,4;15,3;56,1;1,9;46;27;58,7;2;
Katrineholm;0483;Södermanlands län;04;Samtliga;300,3;186,9;62,2;39,2;353;248;70,3;44;
Katrineholm;0483;Södermanlands län;04;Kommunal;275,6;170,1;61,7;35,2;326;228;69,9;40;
Katrineholm;0483;Södermanlands län;04;Enskild;24,7;16,8;67,9;4,0;27;20;74,1;4;
Kil;1715;Värmlands län;17;Samtliga;111,4;89,1;80,0;6,7;127;118;92,9;8;
