Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2024/25

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Elever, årskurs 1-9;
Ale;1440;Västra Götalands län;14;Samtliga;47,8;24,3;66,8;444;477;479;453;477;440;444;457;431;4 102;
Ale;1440;Västra Götalands län;14;Kommunal;47,9;25,6;66,5;438;440;455;407;453;415;395;432;406;3 841;
Ale;1440;Västra Götalands län;14;Enskild;46,7;5,7;72,0;6;37;24;46;24;25;49;25;25;261;
Alingsås;1489;Västra Götalands län;14;Samtliga;48,9;15,7;69,2;539;565;537;562;507;560;561;589;559;4 979;
Alingsås;1489;Västra Götalands län;14;Kommunal;48,5;16,5;67,5;464;488;461;479;426;462;448;478;448;4 154;
Alingsås;1489;Västra Götalands län;14;Enskild;50,7;11,6;77,5;75;77;76;83;81;98;113;111;111;825;
Alvesta;0764;Kronobergs län;07;Samtliga;45,6;32,1;53,6;241;281;223;244;252;244;234;231;242;2 192;
Alvesta;0764;Kronobergs län;07;Kommunal;45,6;32,4;53,6;237;279;212;237;249;231;234;231;242;2 152;
Alvesta;0764;Kronobergs län;07;Enskild;47,5;12,5;52,5;4;2;11;7;3;13;.;.;.;40;
Aneby;0604;Jönköpings län;06;Samtliga;49,4;20,6;58,5;110;90;91;75;88;82;89;79;74;778;
Aneby;0604;Jönköpings län;06;Kommunal;49,7;20,3;58,9;109;88;91;72;85;81;83;77;74;760;
Aneby;0604;Jönköpings län;06;Enskild;33,3;33,3;38,9;1;2;.;3;3;1;6;2;.;18;
Arboga;1984;Västmanlands län;19;Samtliga;48,0;22,9;56,3;165;164;151;151;165;157;158;171;135;1 417;
Arboga;1984;Västmanlands län;19;Kommunal;48,2;23,4;56,5;162;161;145;147;159;153;158;171;135;1 391;
Arboga;1984;Västmanlands län;19;Enskild;34,6;.;46,2;3;3;6;4;6;4;.;.;.;26;
Arjeplog;2506;Norrbottens län;25;Samtliga;49,4;6,4;51,1;28;27;19;26;26;27;32;26;22;233;
Arjeplog;2506;Norrbottens län;25;Kommunal;49,4;6,4;51,1;28;27;19;26;26;27;32;26;22;233;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;49,9;11,7;44,0;72;54;72;74;64;59;68;64;52;579;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;49,9;11,7;44,0;72;54;72;74;64;59;68;64;52;579;
Arvika;1784;Värmlands län;17;Samtliga;48,4;17,8;56,8;276;300;279;289;326;299;288;292;293;2 642;
Arvika;1784;Värmlands län;17;Kommunal;46,8;17,8;55,7;276;300;279;289;326;299;237;222;244;2 472;
Arvika;1784;Värmlands län;17;Enskild;70,6;16,5;72,4;.;.;.;.;.;.;51;70;49;170;
Askersund;1882;Örebro län;18;Samtliga;47,8;13,4;44,0;93;118;108;112;111;119;122;117;110;1 010;
Askersund;1882;Örebro län;18;Kommunal;47,8;13,4;44,0;93;118;108;112;111;119;122;117;110;1 010;
Avesta;2084;Dalarnas län;20;Samtliga;50,5;26,5;48,8;248;272;251;246;252;276;252;264;216;2 277;
Avesta;2084;Dalarnas län;20;Kommunal;51,0;28,1;48,0;227;251;231;225;232;255;252;264;216;2 153;
Avesta;2084;Dalarnas län;20;Enskild;41,9;.;62,1;21;21;20;21;20;21;.;.;.;124;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;48,7;27,1;47,6;74;91;81;84;91;98;92;94;98;803;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;48,7;27,1;47,6;74;91;81;84;91;98;92;94;98;803;
Berg;2326;Jämtlands län;23;Samtliga;47,1;15,8;51,6;78;82;81;78;67;73;67;69;68;663;
Berg;2326;Jämtlands län;23;Kommunal;46,6;..;50,5;68;77;72;71;62;66;67;69;68;620;
Berg;2326;Jämtlands län;23;Enskild;53,5;..;67,4;10;5;9;7;5;7;.;.;.;43;
Bjurholm;2403;Västerbottens län;24;Samtliga;47,7;10,5;57,0;30;34;23;18;24;25;29;28;26;237;
Bjurholm;2403;Västerbottens län;24;Kommunal;47,7;10,5;57,0;30;34;23;18;24;25;29;28;26;237;
Bjuv;1260;Skåne län;12;Samtliga;48,9;38,6;40,3;185;215;163;179;198;181;182;160;188;1 651;
Bjuv;1260;Skåne län;12;Kommunal;48,9;38,6;40,3;185;215;163;179;198;181;182;160;188;1 651;
Boden;2582;Norrbottens län;25;Samtliga;47,1;16,4;62,1;287;302;320;274;287;286;296;271;312;2 635;
